"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 12:27","https://sullygnome.com/channel/3ldiablo_tv/stream/35073104800","708","1416","2","8","7","0","68","5","PUBG: BATTLEGROUNDS"
"2","Friday 26th July 2019 15:26","https://sullygnome.com/channel/3ldiablo_tv/stream/35050767024","229","458","2","6","6","1","28","7","PUBG: BATTLEGROUNDS"
"3","Wednesday 24th July 2019 09:02","https://sullygnome.com/channel/3ldiablo_tv/stream/35023954000","328","656","2","6","1","0","9","1","PUBG: BATTLEGROUNDS"
"4","Friday 19th July 2019 09:00","https://sullygnome.com/channel/3ldiablo_tv/stream/34961219840","135","540","4","7","2","0","11","4","PUBG: BATTLEGROUNDS"
"5","Thursday 18th July 2019 13:00","https://sullygnome.com/channel/3ldiablo_tv/stream/34950258320","240","480","2","8","0","0","41","9","PUBG: BATTLEGROUNDS"
"6","Thursday 18th July 2019 08:09","https://sullygnome.com/channel/3ldiablo_tv/stream/34948582736","246","738","3","7","3","0","50","11","PUBG: BATTLEGROUNDS"
"7","Wednesday 17th July 2019 09:24","https://sullygnome.com/channel/3ldiablo_tv/stream/34936275568","51","102","2","5","0","0","7","5","PUBG: BATTLEGROUNDS"
"8","Friday 12th July 2019 09:17","https://sullygnome.com/channel/3ldiablo_tv/stream/34874095024","133","399","3","6","0","0","11","4","PUBG: BATTLEGROUNDS"
"9","Friday 12th July 2019 07:45","https://sullygnome.com/channel/3ldiablo_tv/stream/34873559536","60","60","1","1","0","0","6","4","PUBG: BATTLEGROUNDS"
"10","Thursday 11th July 2019 14:48","https://sullygnome.com/channel/3ldiablo_tv/stream/34863799184","417","1251","3","9","3","0","49","6","PUBG: BATTLEGROUNDS"
"11","Monday 8th July 2019 09:45","https://sullygnome.com/channel/3ldiablo_tv/stream/34824154384","105","105","1","3","1","0","9","4","PUBG: BATTLEGROUNDS"
"12","Sunday 7th July 2019 12:30","https://sullygnome.com/channel/3ldiablo_tv/stream/34812988032","195","195","1","3","0","0","17","4","PUBG: BATTLEGROUNDS"
