"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:00","https://sullygnome.com/channel/abortedtv/stream/35112938448","480","1920","4","9","1","0","40","4","Kingdom Come: Deliverance,Squad"
"2","Monday 29th July 2019 17:11","https://sullygnome.com/channel/abortedtv/stream/35087229200","409","2045","5","11","1","0","14","2","Wolfenstein: Youngblood,Kingdom Come: Deliverance"
"3","Saturday 27th July 2019 17:00","https://sullygnome.com/channel/abortedtv/stream/35063649616","345","1035","3","5","0","0","25","4","Grand Theft Auto V"
"4","Friday 26th July 2019 17:00","https://sullygnome.com/channel/abortedtv/stream/35051649824","450","1350","3","6","0","0","27","3","Wolfenstein: Youngblood,Kingdom Come: Deliverance"
"5","Wednesday 24th July 2019 17:15","https://sullygnome.com/channel/abortedtv/stream/35027451872","435","435","1","5","2","0","18","2","Post Scriptum,Kingdom Come: Deliverance"
"6","Monday 22nd July 2019 18:28","https://sullygnome.com/channel/abortedtv/stream/35003705168","302","1510","5","8","2","0","46","8","Just Chatting,Unlisted on Twitch,Kingdom Come: Deliverance"
"7","Saturday 20th July 2019 17:15","https://sullygnome.com/channel/abortedtv/stream/34977944896","450","900","2","5","0","0","19","2","Grand Theft Auto V"
"8","Friday 19th July 2019 17:09","https://sullygnome.com/channel/abortedtv/stream/34964911568","546","1638","3","6","1","0","41","4","Kingdom Come: Deliverance,Squad"
"9","Friday 19th July 2019 09:45","https://sullygnome.com/channel/abortedtv/stream/34961289312","195","390","2","8","0","0","36","10","Rising Storm 2: Vietnam,Tom Clancy's Ghost Recon: Wildlands,Insurgency: Sandstorm"
"10","Wednesday 17th July 2019 17:04","https://sullygnome.com/channel/abortedtv/stream/34939857456","371","1484","4","8","-1","0","13","2","Kingdom Come: Deliverance,Just Chatting"
"11","Monday 15th July 2019 17:06","https://sullygnome.com/channel/abortedtv/stream/34914791424","279","558","2","5","1","0","19","4","Kingdom Come: Deliverance"
"12","Saturday 13th July 2019 19:31","https://sullygnome.com/channel/abortedtv/stream/34892009088","389","1167","3","5","0","0","15","2","Grand Theft Auto V"
"13","Friday 12th July 2019 17:15","https://sullygnome.com/channel/abortedtv/stream/34877671392","450","2250","5","12","0","0","27","3","The Sinking City,DayZ"
"14","Wednesday 10th July 2019 17:30","https://sullygnome.com/channel/abortedtv/stream/34852821024","270","1080","4","8","2","0","48","10","Rising Storm 2: Vietnam"
"15","Monday 8th July 2019 19:30","https://sullygnome.com/channel/abortedtv/stream/34829129104","150","300","2","4","0","0","14","5","The Sinking City"
"16","Monday 8th July 2019 17:15","https://sullygnome.com/channel/abortedtv/stream/34827646448","105","105","1","3","0","0","5","2","The Sinking City"
"17","Saturday 6th July 2019 17:15","https://sullygnome.com/channel/abortedtv/stream/34803014640","510","1530","3","5","0","0","25","2","The Sinking City,DayZ"
"18","Friday 5th July 2019 17:15","https://sullygnome.com/channel/abortedtv/stream/34790321488","375","1125","3","5","0","0","18","2","DayZ"
"19","Monday 1st July 2019 17:15","https://sullygnome.com/channel/abortedtv/stream/34741505872","195","1170","6","11","1","0","18","5","The Sinking City"
