"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:14","https://sullygnome.com/channel/advhaunted/stream/35116010000","166","664","4","8","1","0","13","4","Call of Duty: Black Ops 4"
"2","Wednesday 31st July 2019 02:16","https://sullygnome.com/channel/advhaunted/stream/35104245552","284","1704","6","10","1","0","108","14","Call of Duty: Black Ops 4"
"3","Tuesday 30th July 2019 23:15","https://sullygnome.com/channel/advhaunted/stream/35104020960","0","0","1","2","0","0","6","24","Call of Duty: Black Ops 4"
"4","Tuesday 30th July 2019 04:49","https://sullygnome.com/channel/advhaunted/stream/35094749920","146","1168","8","9","0","0","15","6","Call of Duty: Black Ops 4"
"5","Tuesday 30th July 2019 03:22","https://sullygnome.com/channel/advhaunted/stream/35094056944","53","424","8","9","0","0","13","13","Call of Duty: Black Ops 4"
"6","Monday 29th July 2019 23:10","https://sullygnome.com/channel/advhaunted/stream/35091402208","200","2200","11","17","0","0","55","15","Call of Duty: Black Ops 4"
"7","Tuesday 23rd July 2019 03:28","https://sullygnome.com/channel/advhaunted/stream/35009602832","242","1452","6","15","0","0","44","10","Call of Duty: Black Ops 4"
"8","Saturday 20th July 2019 17:39","https://sullygnome.com/channel/advhaunted/stream/34978479840","456","1824","4","9","5","0","50","6","Call of Duty: Black Ops 4"
"9","Saturday 20th July 2019 08:18","https://sullygnome.com/channel/advhaunted/stream/34973626656","477","6201","13","25","39","4","170","20","Call of Duty: Black Ops 4"
"10","Thursday 18th July 2019 18:22","https://sullygnome.com/channel/advhaunted/stream/34953299568","413","4543","11","24","16","2","128","18","Call of Duty: Black Ops 4"
"11","Thursday 18th July 2019 16:45","https://sullygnome.com/channel/advhaunted/stream/34952060592","75","1125","15","24","11","7","41","27","Call of Duty: Black Ops 4"
"12","Thursday 18th July 2019 00:45","https://sullygnome.com/channel/advhaunted/stream/34945131952","375","7125","19","94","17","2","240","36","Call of Duty: Black Ops 4"
"13","Tuesday 16th July 2019 05:30","https://sullygnome.com/channel/advhaunted/stream/34922493984","285","4845","17","30","11","2","148","31","Call of Duty: Black Ops 4,Blackjack,Counter-Strike: Global Offensive"
"14","Tuesday 16th July 2019 03:01","https://sullygnome.com/channel/advhaunted/stream/34921362240","134","2144","16","28","5","2","98","39","Call of Duty: Black Ops 4"
"15","Monday 15th July 2019 04:18","https://sullygnome.com/channel/advhaunted/stream/34909231584","102","1632","16","32","2","0","101","36","Blackjack,Call of Duty: Black Ops 4"
"16","Sunday 14th July 2019 05:56","https://sullygnome.com/channel/advhaunted/stream/34897954144","259","4921","19","98","9","2","123","27","Call of Duty: Black Ops 4"
"17","Sunday 14th July 2019 00:30","https://sullygnome.com/channel/advhaunted/stream/34894960992","75","675","9","11","1","0","23","15","Call of Duty: Black Ops 4"
"18","Saturday 13th July 2019 17:27","https://sullygnome.com/channel/advhaunted/stream/34890574464","33","396","12","19","2","2","11","14","Call of Duty: Black Ops 4"
"19","Saturday 13th July 2019 05:26","https://sullygnome.com/channel/advhaunted/stream/34885351328","364","4368","12","25","13","2","132","21","Call of Duty: Black Ops 4,Golf With Your Friends"
"20","Friday 12th July 2019 07:13","https://sullygnome.com/channel/advhaunted/stream/34870149040","362","6154","17","128","20","1","279","21","Call of Duty: Black Ops 4,Blackjack,Monopoly,BlackOut"
"21","Wednesday 10th July 2019 04:31","https://sullygnome.com/channel/advhaunted/stream/34847572816","164","7708","47","128","4","1","101","33","Unlisted on Twitch,Call of Duty: Black Ops 4"
"22","Tuesday 9th July 2019 03:59","https://sullygnome.com/channel/advhaunted/stream/34834756336","31","93","3","5","0","0","8","10","Call of Duty: Black Ops 4"
"23","Saturday 6th July 2019 23:15","https://sullygnome.com/channel/advhaunted/stream/34807048048","75","600","8","15","18","12","27","18","Call of Duty: Black Ops 4"
"24","Friday 5th July 2019 20:03","https://sullygnome.com/channel/advhaunted/stream/34792324224","837","12555","15","23","16","1","313","22","Call of Duty: Black Ops 4,Teamfight Tactics"
"25","Friday 5th July 2019 10:23","https://sullygnome.com/channel/advhaunted/stream/34787084624","127","3683","29","41","13","5","78","34","Call of Duty: Black Ops 4"
"26","Thursday 4th July 2019 23:31","https://sullygnome.com/channel/advhaunted/stream/34782861840","614","15350","25","86","17","1","362","34","Call of Duty: Black Ops 4"
"27","Wednesday 3rd July 2019 03:16","https://sullygnome.com/channel/advhaunted/stream/34760542224","44","132","3","9","0","0","9","9","Call of Duty: Black Ops 4"
"28","Tuesday 2nd July 2019 03:19","https://sullygnome.com/channel/advhaunted/stream/34748003152","296","5032","17","30","3","0","104","20","Call of Duty: Black Ops 4"
"29","Monday 1st July 2019 03:45","https://sullygnome.com/channel/advhaunted/stream/34736117264","240","1920","8","13","4","0","84","19","Call of Duty: Black Ops 4"
