"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 11:32","https://sullygnome.com/channel/aeliael/stream/35110162704","238","7378","31","51","16","4","368","92","Just Chatting"
"2","Tuesday 30th July 2019 11:45","https://sullygnome.com/channel/aeliael/stream/35097024416","180","5760","32","48","18","5","431","132","Just Chatting"
"3","Monday 29th July 2019 14:16","https://sullygnome.com/channel/aeliael/stream/35085590608","344","11352","33","57","26","4","513","85","Just Chatting"
"4","Wednesday 24th July 2019 11:35","https://sullygnome.com/channel/aeliael/stream/35024757728","340","14620","43","60","36","6","659","119","Just Chatting,Outlast"
"5","Monday 22nd July 2019 11:56","https://sullygnome.com/channel/aeliael/stream/35000179104","259","6216","24","34","10","2","351","78","Just Chatting,Teamfight Tactics"
"6","Sunday 21st July 2019 14:00","https://sullygnome.com/channel/aeliael/stream/34989254832","270","8910","33","49","18","4","482","107","Just Chatting"
"7","Wednesday 17th July 2019 11:38","https://sullygnome.com/channel/aeliael/stream/34937080288","502","16064","32","46","34","4","795","93","Just Chatting"
"8","Tuesday 16th July 2019 10:53","https://sullygnome.com/channel/aeliael/stream/34924157136","262","10480","40","55","39","8","621","138","Just Chatting"
"9","Monday 15th July 2019 11:07","https://sullygnome.com/channel/aeliael/stream/34911856720","248","11408","46","60","42","10","608","152","Just Chatting"
"10","Sunday 14th July 2019 11:25","https://sullygnome.com/channel/aeliael/stream/34899814880","260","10140","39","50","45","10","570","134","Just Chatting"
"11","Thursday 11th July 2019 13:26","https://sullygnome.com/channel/aeliael/stream/34863146144","49","1715","35","38","6","8","238","317","Just Chatting"
"12","Thursday 11th July 2019 10:51","https://sullygnome.com/channel/aeliael/stream/34862098400","144","3744","26","38","12","4","341","136","Just Chatting"
"13","Wednesday 10th July 2019 10:53","https://sullygnome.com/channel/aeliael/stream/34849643328","217","3689","17","23","13","3","185","49","Just Chatting,League of Legends,Teamfight Tactics"
"14","Monday 8th July 2019 11:12","https://sullygnome.com/channel/aeliael/stream/34824702128","258","6708","26","40","21","5","332","83","Just Chatting,League of Legends"
"15","Sunday 7th July 2019 11:17","https://sullygnome.com/channel/aeliael/stream/34812507184","283","9339","33","45","34","7","561","118","Just Chatting"
"16","Thursday 4th July 2019 11:03","https://sullygnome.com/channel/aeliael/stream/34775856160","237","5688","24","31","15","3","328","82","Just Chatting,Teamfight Tactics"
