"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:56","https://sullygnome.com/channel/aldwulf/stream/35114331936","379","9096","24","47","13","2","451","69","Super Mario Maker 2"
"2","Tuesday 30th July 2019 23:25","https://sullygnome.com/channel/aldwulf/stream/35104248672","170","850","5","7","0","0","14","4","Super Mario Maker 2,The Legend of Zelda: Ocarina of Time"
"3","Tuesday 30th July 2019 19:01","https://sullygnome.com/channel/aldwulf/stream/35101203632","209","2299","11","18","4","1","14","4","Super Mario Maker 2"
"4","Monday 29th July 2019 18:59","https://sullygnome.com/channel/aldwulf/stream/35088532144","466","6524","14","23","12","1","95","12","Super Mario Maker 2"
"5","Sunday 28th July 2019 19:56","https://sullygnome.com/channel/aldwulf/stream/35077353648","394","6304","16","28","7","1","114","16","Super Mario Maker 2"
"6","Wednesday 24th July 2019 18:59","https://sullygnome.com/channel/aldwulf/stream/35028744368","421","5473","13","23","5","0","93","13","Super Mario Maker 2"
"7","Tuesday 23rd July 2019 20:07","https://sullygnome.com/channel/aldwulf/stream/35017353056","338","3380","10","18","1","0","42","7","Super Mario Maker 2"
"8","Monday 22nd July 2019 20:19","https://sullygnome.com/channel/aldwulf/stream/35005058432","311","8708","28","90","12","2","171","32","Super Mario Maker 2"
"9","Monday 22nd July 2019 04:00","https://sullygnome.com/channel/aldwulf/stream/34997623504","195","390","2","6","2","0","20","5","Super Mario Maker 2,The Legend of Zelda: Ocarina of Time"
"10","Sunday 21st July 2019 18:20","https://sullygnome.com/channel/aldwulf/stream/34991834496","310","3410","11","18","0","0","54","10","Super Mario Maker 2"
"11","Thursday 4th July 2019 19:10","https://sullygnome.com/channel/aldwulf/stream/34780264336","245","2695","11","16","2","0","33","7","Super Mario Maker 2"
"12","Wednesday 3rd July 2019 20:17","https://sullygnome.com/channel/aldwulf/stream/34768654720","223","2676","12","21","5","1","42","11","Super Mario Maker 2"
"13","Tuesday 2nd July 2019 20:11","https://sullygnome.com/channel/aldwulf/stream/34755991280","394","5122","13","24","4","0","108","16","Super Mario Maker 2"
"14","Tuesday 2nd July 2019 02:07","https://sullygnome.com/channel/aldwulf/stream/34747325504","158","1264","8","19","1","0","61","22","The Legend of Zelda: Ocarina of Time"
"15","Monday 1st July 2019 17:24","https://sullygnome.com/channel/aldwulf/stream/34741578528","261","1305","5","8","-1","0","37","8","Super Mario Maker 2"
