"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 04:00","https://sullygnome.com/channel/alesandramw/stream/35107276784","180","1080","6","10","0","0","24","7","Dota 2"
"2","Tuesday 30th July 2019 05:30","https://sullygnome.com/channel/alesandramw/stream/35094918208","165","660","4","8","1","0","17","5","Dota 2"
"3","Monday 29th July 2019 02:29","https://sullygnome.com/channel/alesandramw/stream/35081261392","196","980","5","11","2","0","19","6","Dota 2"
"4","Tuesday 16th July 2019 02:07","https://sullygnome.com/channel/alesandramw/stream/34920833040","383","1532","4","8","1","0","36","5","Dota 2"
"5","Monday 15th July 2019 04:20","https://sullygnome.com/channel/alesandramw/stream/34909716080","190","380","2","5","1","0","18","5","Dota 2"
"6","Sunday 14th July 2019 02:55","https://sullygnome.com/channel/alesandramw/stream/34896525024","425","1700","4","11","3","0","40","5","Dota 2,Friday the 13th: The Game"
"7","Sunday 14th July 2019 00:15","https://sullygnome.com/channel/alesandramw/stream/34894937088","105","210","2","3","0","0","10","5","Dota 2"
"8","Saturday 13th July 2019 04:14","https://sullygnome.com/channel/alesandramw/stream/34884802880","271","813","3","8","3","0","22","4","Dota 2"
"9","Friday 12th July 2019 03:18","https://sullygnome.com/channel/alesandramw/stream/34871896608","297","1485","5","8","1","0","18","3","Dota 2,Friday the 13th: The Game"
"10","Thursday 11th July 2019 03:00","https://sullygnome.com/channel/alesandramw/stream/34859329728","300","1200","4","8","1","0","14","2","Dota Underlords,Friday the 13th: The Game"
"11","Tuesday 9th July 2019 04:00","https://sullygnome.com/channel/alesandramw/stream/34834759024","180","720","4","7","0","0","14","4","Dota 2"
"12","Monday 8th July 2019 02:36","https://sullygnome.com/channel/alesandramw/stream/34821618112","264","792","3","6","0","0","13","2","Dota 2"
"13","Sunday 7th July 2019 03:51","https://sullygnome.com/channel/alesandramw/stream/34809715664","279","837","3","7","1","0","30","6","Dota 2"
"14","Saturday 6th July 2019 02:23","https://sullygnome.com/channel/alesandramw/stream/34796331168","457","2742","6","12","5","0","53","6","Dota 2"
"15","Friday 5th July 2019 03:29","https://sullygnome.com/channel/alesandramw/stream/34784755696","256","1280","5","9","-1","0","33","7","Dota 2"
"16","Thursday 4th July 2019 23:30","https://sullygnome.com/channel/alesandramw/stream/34782810432","180","900","5","10","2","0","17","5","Dota 2"
"17","Thursday 4th July 2019 04:00","https://sullygnome.com/channel/alesandramw/stream/34773400288","225","900","4","7","1","0","20","5","Dota 2,Dota Underlords"
"18","Wednesday 3rd July 2019 04:20","https://sullygnome.com/channel/alesandramw/stream/34761078208","235","1175","5","10","0","0","27","6","Dota 2,Dota Underlords"
"19","Tuesday 2nd July 2019 05:00","https://sullygnome.com/channel/alesandramw/stream/34748691120","135","540","4","7","0","0","19","7","Dota 2"
"20","Monday 1st July 2019 04:00","https://sullygnome.com/channel/alesandramw/stream/34736177152","180","360","2","6","1","0","11","3","Dota 2"
