"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:15","https://sullygnome.com/channel/alexixsk/stream/35113996352","0","0","1","1","0","0","0","0","League of Legends"
"2","Tuesday 30th July 2019 23:15","https://sullygnome.com/channel/alexixsk/stream/35104048352","0","0","0","0","0","0","0","0","League of Legends"
"3","Tuesday 30th July 2019 15:30","https://sullygnome.com/channel/alexixsk/stream/35098842000","375","0","0","1","1","0","8","2","Counter-Strike: Global Offensive,League of Legends"
"4","Monday 29th July 2019 16:30","https://sullygnome.com/channel/alexixsk/stream/35086775408","45","0","0","0","0","0","1","1","Teamfight Tactics"
"5","Sunday 28th July 2019 21:30","https://sullygnome.com/channel/alexixsk/stream/35078362112","0","0","0","0","0","0","0","0","Counter-Strike: Global Offensive"
"6","Sunday 28th July 2019 18:15","https://sullygnome.com/channel/alexixsk/stream/35076299072","60","0","0","1","0","0","0","0","League of Legends"
"7","Tuesday 23rd July 2019 13:00","https://sullygnome.com/channel/alexixsk/stream/35012993968","225","0","0","0","0","0","0","0","League of Legends,Teamfight Tactics"
"8","Monday 22nd July 2019 14:15","https://sullygnome.com/channel/alexixsk/stream/35001114176","165","0","0","0","0","0","0","0","Unlisted on Twitch"
"9","Monday 22nd July 2019 12:30","https://sullygnome.com/channel/alexixsk/stream/35000384848","0","0","0","0","0","0","0","0","League of Legends"
"10","Sunday 21st July 2019 15:45","https://sullygnome.com/channel/alexixsk/stream/34990133472","60","0","0","0","0","0","0","0","League of Legends"
"11","Thursday 18th July 2019 17:15","https://sullygnome.com/channel/alexixsk/stream/34952490128","0","0","1","1","0","0","0","0","Teamfight Tactics"
"12","Thursday 18th July 2019 11:15","https://sullygnome.com/channel/alexixsk/stream/34949557024","330","0","0","0","1","0","1","0","Fortnite,League of Legends,Teamfight Tactics"
"13","Wednesday 17th July 2019 17:30","https://sullygnome.com/channel/alexixsk/stream/34940049888","285","0","0","1","0","0","1","0","Teamfight Tactics"
"14","Wednesday 17th July 2019 11:15","https://sullygnome.com/channel/alexixsk/stream/34936879360","210","0","0","0","0","0","2","0","Teamfight Tactics"
"15","Tuesday 16th July 2019 22:45","https://sullygnome.com/channel/alexixsk/stream/34931192912","15","0","0","1","0","0","4","8","Counter-Strike: Global Offensive"
"16","Tuesday 16th July 2019 22:00","https://sullygnome.com/channel/alexixsk/stream/34930577872","0","0","0","1","0","0","4","16","Fortnite"
"17","Tuesday 16th July 2019 17:00","https://sullygnome.com/channel/alexixsk/stream/34927092320","30","0","0","0","0","0","0","0","Teamfight Tactics"
"18","Tuesday 16th July 2019 13:00","https://sullygnome.com/channel/alexixsk/stream/34925011408","165","0","0","0","0","0","1","0","Teamfight Tactics"
"19","Monday 15th July 2019 16:45","https://sullygnome.com/channel/alexixsk/stream/34914500624","45","0","0","0","0","0","0","0","Teamfight Tactics,Counter-Strike: Global Offensive"
"20","Friday 12th July 2019 16:15","https://sullygnome.com/channel/alexixsk/stream/34877084032","60","0","0","0","0","0","0","0","Fortnite"
"21","Friday 12th July 2019 11:00","https://sullygnome.com/channel/alexixsk/stream/34874593104","150","0","0","0","0","0","0","0","Teamfight Tactics,Fortnite"
"22","Thursday 11th July 2019 13:00","https://sullygnome.com/channel/alexixsk/stream/34862921408","360","0","0","1","0","0","2","0","Teamfight Tactics"
"23","Tuesday 9th July 2019 09:45","https://sullygnome.com/channel/alexixsk/stream/34836643104","405","0","0","2","0","0","3","0","Teamfight Tactics"
"24","Monday 8th July 2019 21:15","https://sullygnome.com/channel/alexixsk/stream/34829774496","15","15","1","1","0","0","0","0","Teamfight Tactics"
"25","Monday 8th July 2019 16:45","https://sullygnome.com/channel/alexixsk/stream/34827364752","45","0","0","0","0","0","0","0","Teamfight Tactics"
"26","Thursday 4th July 2019 11:30","https://sullygnome.com/channel/alexixsk/stream/34775992864","330","0","0","1","0","0","1","0","Teamfight Tactics"
"27","Wednesday 3rd July 2019 09:45","https://sullygnome.com/channel/alexixsk/stream/34762850544","180","0","0","0","0","0","5","1","Teamfight Tactics,League of Legends"
"28","Tuesday 2nd July 2019 08:30","https://sullygnome.com/channel/alexixsk/stream/34749803216","480","0","0","2","1","0","7","0","Fortnite,Teamfight Tactics"
"29","Monday 1st July 2019 18:00","https://sullygnome.com/channel/alexixsk/stream/34741922640","0","0","0","0","0","0","0","0","Teamfight Tactics"
"30","Monday 1st July 2019 15:15","https://sullygnome.com/channel/alexixsk/stream/34740211920","0","0","0","0","0","0","0","0","Fortnite"
