"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","League of Legends","1710","4665","2","6","332","11.649122"
"2","7 Days to Die","375","1305","3","9","83","13.28"
"3","Teamfight Tactics","360","1005","3","8","42","7"
"4","Dofus","120","270","2","7","26","13"
"5","Resident Evil 2","105","465","4","10","24","13.714285"
"6","Garry's Mod","75","255","3","6","14","11.2"
"7","Call of Duty: Black Ops II","60","240","4","8","9","9"
"8","Blade & Soul","45","75","1","2","17","22.666666"
"9","Age of Empires II","45","165","3","5","5","6.666666"
"10","Pokémon Ruby/Sapphire","15","15","1","1","9","36"
"11","Minecraft","15","30","2","2","12","48"
