"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 03:26","https://sullygnome.com/channel/angelvantage/stream/35107007632","169","2028","12","21","5","1","63","21","Grand Theft Auto V"
"2","Tuesday 30th July 2019 01:53","https://sullygnome.com/channel/angelvantage/stream/35093184016","472","8496","18","31","9","1","236","29","Unturned,Just Chatting,League of Legends,Age of Empires II,Grand Theft Auto V"
"3","Monday 29th July 2019 01:04","https://sullygnome.com/channel/angelvantage/stream/35080459600","326","6520","20","32","10","1","173","30","Unturned"
"4","Saturday 27th July 2019 02:27","https://sullygnome.com/channel/angelvantage/stream/35057488592","423","8037","19","25","23","3","182","25","Grand Theft Auto V"
"5","Friday 26th July 2019 03:03","https://sullygnome.com/channel/angelvantage/stream/35046033072","477","7155","15","21","23","2","161","20","Grand Theft Auto V"
"6","Thursday 25th July 2019 04:11","https://sullygnome.com/channel/angelvantage/stream/35034568128","304","5472","18","24","8","1","117","23","Just Chatting,Grand Theft Auto V"
"7","Wednesday 24th July 2019 02:53","https://sullygnome.com/channel/angelvantage/stream/35021678480","382","6494","17","23","10","1","142","23","Grand Theft Auto V"
"8","Tuesday 23rd July 2019 01:45","https://sullygnome.com/channel/angelvantage/stream/35008590544","360","4680","13","19","0","0","114","19","Just Chatting,Shelter 2,Stranded Deep,Unlisted on Twitch,Teamfight Tactics"
"9","Saturday 20th July 2019 01:47","https://sullygnome.com/channel/angelvantage/stream/34970659440","598","10166","17","26","23","2","199","19","Just Chatting,Grand Theft Auto V"
"10","Friday 19th July 2019 01:05","https://sullygnome.com/channel/angelvantage/stream/34957765792","325","3900","12","19","3","0","121","21","DayZ"
"11","Thursday 18th July 2019 01:51","https://sullygnome.com/channel/angelvantage/stream/34945868896","324","6480","20","35","7","1","147","28","Just Chatting,Don't Starve Together"
"12","Wednesday 17th July 2019 01:56","https://sullygnome.com/channel/angelvantage/stream/34933295008","514","9766","19","28","31","3","240","28","DayZ,Grand Theft Auto V"
"13","Tuesday 16th July 2019 02:56","https://sullygnome.com/channel/angelvantage/stream/34921313264","199","2786","14","21","6","2","80","26","DayZ"
"14","Sunday 14th July 2019 00:45","https://sullygnome.com/channel/angelvantage/stream/34895256800","750","16500","22","35","30","2","227","18","Just Chatting,Grand Theft Auto V"
"15","Saturday 13th July 2019 02:48","https://sullygnome.com/channel/angelvantage/stream/34884002272","402","6030","15","24","8","1","142","21","DayZ,Just Chatting,Overwatch,Deceit"
"16","Friday 12th July 2019 01:12","https://sullygnome.com/channel/angelvantage/stream/34870612288","573","10314","18","29","23","2","202","20","Grand Theft Auto V"
"17","Thursday 11th July 2019 00:49","https://sullygnome.com/channel/angelvantage/stream/34857936912","521","7294","14","22","10","1","138","15","Just Chatting,Teamfight Tactics,League of Legends,Grand Theft Auto V"
"18","Wednesday 10th July 2019 00:47","https://sullygnome.com/channel/angelvantage/stream/34845380528","418","6688","16","33","9","1","178","25","Don't Starve Together,Grand Theft Auto V"
"19","Tuesday 9th July 2019 00:07","https://sullygnome.com/channel/angelvantage/stream/34832437568","428","6848","16","26","15","2","131","18","Grand Theft Auto V"
"20","Monday 8th July 2019 02:41","https://sullygnome.com/channel/angelvantage/stream/34821660256","229","4351","19","35","3","0","111","27","The Isle,Deceit"
"21","Saturday 6th July 2019 21:54","https://sullygnome.com/channel/angelvantage/stream/34806287232","891","12474","14","26","16","1","238","16","Just Chatting,Teamfight Tactics,Grand Theft Auto V"
"22","Thursday 4th July 2019 02:00","https://sullygnome.com/channel/angelvantage/stream/34772209808","555","9435","17","31","13","1","184","19","Grand Theft Auto V"
"23","Tuesday 2nd July 2019 01:00","https://sullygnome.com/channel/angelvantage/stream/34746617072","540","8100","15","26","15","1","194","20","The Isle,Grand Theft Auto V"
"24","Monday 1st July 2019 02:03","https://sullygnome.com/channel/angelvantage/stream/34735243440","267","3204","12","21","3","0","110","23","Oxygen Not Included,Minecraft"
