"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 27th July 2019 13:33","https://sullygnome.com/channel/angrysebbe/stream/35061793488","477","2862","6","13","-7","0","367","44","League of Legends,Counter-Strike: Global Offensive"
"2","Thursday 25th July 2019 18:02","https://sullygnome.com/channel/angrysebbe/stream/35040251952","178","1246","7","12","-4","-1","111","37","League of Legends"
"3","Tuesday 23rd July 2019 17:58","https://sullygnome.com/channel/angrysebbe/stream/35015782400","107","642","6","10","-2","-1","93","53","League of Legends"
"4","Sunday 21st July 2019 16:07","https://sullygnome.com/channel/angrysebbe/stream/34990380000","233","1864","8","15","-4","-1","177","44","League of Legends"
"5","Thursday 18th July 2019 17:10","https://sullygnome.com/channel/angrysebbe/stream/34952474976","215","2150","10","16","-7","-1","192","51","League of Legends"
"6","Saturday 13th July 2019 11:53","https://sullygnome.com/channel/angrysebbe/stream/34887587360","517","5687","11","19","-13","-1","496","56","League of Legends"
"7","Wednesday 10th July 2019 17:58","https://sullygnome.com/channel/angrysebbe/stream/34853264192","167","2505","15","19","-4","-1","258","86","League of Legends"
"8","Sunday 7th July 2019 20:17","https://sullygnome.com/channel/angrysebbe/stream/34817798864","73","730","10","18","-3","-2","82","54","League of Legends"
"9","Saturday 6th July 2019 19:16","https://sullygnome.com/channel/angrysebbe/stream/34804455680","359","4308","12","19","-10","-1","429","68","League of Legends"
"10","Friday 5th July 2019 22:58","https://sullygnome.com/channel/angrysebbe/stream/34794254656","92","920","10","15","-1","0","98","56","League of Legends"
"11","Friday 5th July 2019 16:20","https://sullygnome.com/channel/angrysebbe/stream/34789780144","115","2415","21","28","-3","-1","184","92","League of Legends"
