"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 15:24","https://sullygnome.com/channel/arsenio/stream/35074505632","336","14112","42","59","17","3","408","77","Paladins"
"2","Saturday 27th July 2019 18:56","https://sullygnome.com/channel/arsenio/stream/35064797856","304","4864","16","25","5","0","326","62","Just Chatting"
"3","Saturday 27th July 2019 13:02","https://sullygnome.com/channel/arsenio/stream/35061557264","193","7913","41","55","9","3","245","81","Paladins"
"4","Thursday 25th July 2019 23:46","https://sullygnome.com/channel/arsenio/stream/35043987632","89","2225","25","36","0","0","124","70","Paladins"
"5","Monday 22nd July 2019 23:39","https://sullygnome.com/channel/arsenio/stream/35007218416","156","2652","17","24","3","1","121","44","Just Chatting"
"6","Sunday 21st July 2019 03:17","https://sullygnome.com/channel/arsenio/stream/34985115792","133","1596","12","21","0","0","74","32","Dota Underlords"
"7","Saturday 20th July 2019 17:17","https://sullygnome.com/channel/arsenio/stream/34978050944","193","2509","13","17","-1","0","145","44","Waku Waku Volley"
"8","Saturday 20th July 2019 01:41","https://sullygnome.com/channel/arsenio/stream/34970601024","334","14362","43","77","21","3","527","91","Paladins"
"9","Wednesday 17th July 2019 23:12","https://sullygnome.com/channel/arsenio/stream/34944123872","198","6930","35","70","10","2","351","100","Paladins"
"10","Tuesday 16th July 2019 23:53","https://sullygnome.com/channel/arsenio/stream/34931922928","112","1680","15","22","1","0","61","40","Dota Underlords"
"11","Monday 15th July 2019 23:32","https://sullygnome.com/channel/arsenio/stream/34919170256","133","5187","39","48","11","4","179","79","Paladins"
"12","Sunday 14th July 2019 21:44","https://sullygnome.com/channel/arsenio/stream/34906028288","286","6292","22","30","8","1","238","47","Dota Underlords"
"13","Saturday 13th July 2019 22:31","https://sullygnome.com/channel/arsenio/stream/34893990496","374","7480","20","31","5","0","319","51","Dota Underlords"
"14","Saturday 13th July 2019 15:30","https://sullygnome.com/channel/arsenio/stream/34889365056","75","975","13","18","-2","-1","67","44","Book of Demons"
"15","Saturday 13th July 2019 02:35","https://sullygnome.com/channel/arsenio/stream/34883876672","160","2240","14","20","7","2","107","38","Dota Underlords"
"16","Thursday 11th July 2019 23:20","https://sullygnome.com/channel/arsenio/stream/34869390448","190","3610","19","28","4","1","160","49","Just Chatting,Dota Underlords"
"17","Tuesday 9th July 2019 21:56","https://sullygnome.com/channel/arsenio/stream/34843556656","244","5368","22","38","2","0","226","53","Dota Underlords"
"18","Monday 8th July 2019 23:40","https://sullygnome.com/channel/arsenio/stream/34832142576","320","6720","21","30","3","0","264","48","Dota Underlords,Just Chatting"
"19","Monday 8th July 2019 16:54","https://sullygnome.com/channel/arsenio/stream/34827500992","201","4020","20","32","-1","0","128","36","Dota Underlords"
"20","Monday 8th July 2019 01:34","https://sullygnome.com/channel/arsenio/stream/34821030016","281","5620","20","38","7","1","187","39","Dota Underlords"
"21","Sunday 7th July 2019 00:30","https://sullygnome.com/channel/arsenio/stream/34807692240","195","3900","20","25","0","0","140","40","Dota Underlords"
"22","Saturday 6th July 2019 01:39","https://sullygnome.com/channel/arsenio/stream/34795680352","231","5313","23","31","7","1","212","49","Dota Underlords"
"23","Friday 5th July 2019 02:03","https://sullygnome.com/channel/arsenio/stream/34784089264","222","3996","18","22","-2","0","117","31","Dota Underlords"
"24","Wednesday 3rd July 2019 23:30","https://sullygnome.com/channel/arsenio/stream/34770716432","195","3315","17","27","4","1","209","59","Dota Underlords"
"25","Tuesday 2nd July 2019 22:10","https://sullygnome.com/channel/arsenio/stream/34757322768","230","4830","21","30","4","1","202","50","Dota Underlords"
"26","Monday 1st July 2019 22:28","https://sullygnome.com/channel/arsenio/stream/34745043776","272","5712","21","32","-1","0","229","48","Dota Underlords"
