"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 09:15","https://sullygnome.com/channel/benlook/stream/35109254272","165","165","1","3","0","0","5","1","Monster Hunter: World"
"2","Tuesday 30th July 2019 10:15","https://sullygnome.com/channel/benlook/stream/35096480512","225","225","1","2","0","0","10","2","Monster Hunter: World"
"3","Monday 29th July 2019 09:30","https://sullygnome.com/channel/benlook/stream/35083703328","300","0","0","2","0","0","10","1","Monster Hunter: World"
"4","Sunday 28th July 2019 09:15","https://sullygnome.com/channel/benlook/stream/35071834656","330","330","1","3","0","0","11","1","Monster Hunter: World"
"5","Saturday 27th July 2019 09:29","https://sullygnome.com/channel/benlook/stream/35060272288","211","633","3","4","0","0","6","1","Monster Hunter: World"
"6","Friday 26th July 2019 09:45","https://sullygnome.com/channel/benlook/stream/35048430160","210","210","1","3","0","0","6","1","Monster Hunter: World"
"7","Wednesday 24th July 2019 11:30","https://sullygnome.com/channel/benlook/stream/35024654080","180","180","1","2","0","0","6","1","Teamfight Tactics,Just Chatting"
"8","Tuesday 23rd July 2019 07:45","https://sullygnome.com/channel/benlook/stream/35011179952","225","225","1","2","0","0","7","1","League of Legends"
"9","Monday 22nd July 2019 05:15","https://sullygnome.com/channel/benlook/stream/34998153104","510","510","1","2","0","0","5","0","League of Legends"
"10","Friday 19th July 2019 07:15","https://sullygnome.com/channel/benlook/stream/34960675872","345","345","1","1","0","0","2","0","League of Legends"
"11","Wednesday 17th July 2019 11:00","https://sullygnome.com/channel/benlook/stream/34936693040","150","150","1","2","0","0","0","0","League of Legends"
"12","Wednesday 17th July 2019 08:00","https://sullygnome.com/channel/benlook/stream/34935899136","75","0","0","1","0","0","2","1","League of Legends"
"13","Wednesday 17th July 2019 07:30","https://sullygnome.com/channel/benlook/stream/34935682960","0","0","1","1","0","0","0","0","League of Legends"
"14","Tuesday 16th July 2019 06:15","https://sullygnome.com/channel/benlook/stream/34922758272","390","390","1","3","0","0","8","1","League of Legends"
"15","Monday 15th July 2019 05:30","https://sullygnome.com/channel/benlook/stream/34909993648","45","90","2","2","0","0","1","1","League of Legends"
"16","Sunday 14th July 2019 06:30","https://sullygnome.com/channel/benlook/stream/34898159232","180","180","1","2","0","0","4","1","Just Chatting"
"17","Saturday 13th July 2019 07:00","https://sullygnome.com/channel/benlook/stream/34885873008","285","285","1","2","0","0","1","0","League of Legends"
"18","Friday 12th July 2019 06:00","https://sullygnome.com/channel/benlook/stream/34873077008","360","360","1","2","0","0","8","1","League of Legends"
"19","Thursday 11th July 2019 06:45","https://sullygnome.com/channel/benlook/stream/34860815328","255","0","0","2","0","0","4","0","League of Legends"
"20","Wednesday 10th July 2019 07:15","https://sullygnome.com/channel/benlook/stream/34848443024","300","300","1","3","0","0","4","0","League of Legends,Diablo III"
"21","Tuesday 9th July 2019 07:07","https://sullygnome.com/channel/benlook/stream/34835908528","638","638","1","5","0","0","43","4","League of Legends,Diablo III"
"22","Monday 8th July 2019 08:15","https://sullygnome.com/channel/benlook/stream/34823719536","600","600","1","4","-1","0","30","2","League of Legends,Diablo III"
"23","Sunday 7th July 2019 12:44","https://sullygnome.com/channel/benlook/stream/34813123216","361","722","2","4","2","0","50","8","Diablo III"
"24","Sunday 7th July 2019 07:00","https://sullygnome.com/channel/benlook/stream/34810981440","120","120","1","2","0","0","2","0","League of Legends"
"25","Saturday 6th July 2019 07:30","https://sullygnome.com/channel/benlook/stream/34798611616","300","300","1","2","0","0","7","1","League of Legends"
"26","Friday 5th July 2019 07:15","https://sullygnome.com/channel/benlook/stream/34786110720","315","315","1","2","0","0","9","1","League of Legends"
"27","Thursday 4th July 2019 07:45","https://sullygnome.com/channel/benlook/stream/34774791632","345","345","1","3","0","0","6","1","League of Legends"
"28","Wednesday 3rd July 2019 06:45","https://sullygnome.com/channel/benlook/stream/34761954656","450","0","0","2","0","0","4","0","League of Legends,Teamfight Tactics"
"29","Tuesday 2nd July 2019 06:45","https://sullygnome.com/channel/benlook/stream/34749287712","375","375","1","2","0","0","12","1","League of Legends,Teamfight Tactics"
"30","Monday 1st July 2019 08:00","https://sullygnome.com/channel/benlook/stream/34737492400","495","495","1","2","0","0","20","2","Monster Hunter: World,Teamfight Tactics"
"31","Monday 1st July 2019 05:30","https://sullygnome.com/channel/benlook/stream/34736823696","75","0","0","0","0","0","2","1","League of Legends"
