"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","1875","591090","303","431","11067","354.144"
"2","Hunt: Showdown","1500","441930","288","995","11843","473.72"
"3","Wolfenstein II: The New Colossus","810","227535","269","547","2586","191.555555"
"4","They Are Billions","720","157650","200","294","3398","283.166666"
"5","Wolfenstein: The New Order","600","162900","271","318","2137","213.7"
"6","Wolfenstein: The Old Blood","285","72390","250","301","697","146.736842"
"7","Wolfenstein: Youngblood","270","90150","333","414","882","196"
"8","Just Chatting","225","28650","121","238","578","154.133333"
"9","Worms W.M.D","195","62970","327","345","671","206.461538"
"10","Surviving Mars","120","25980","216","260","307","153.5"
"11","GOLD EXPRESS","75","13605","181","270","322","257.6"
"12","Hunt","15","435","29","29","101","404"
