"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:00","https://sullygnome.com/channel/baileyreichenberg/stream/35115799776","105","210","2","5","0","0","7","3","Overwatch"
"2","Tuesday 30th July 2019 17:30","https://sullygnome.com/channel/baileyreichenberg/stream/35099900048","90","180","2","4","0","0","5","2","Assassin's Creed Odyssey"
"3","Sunday 28th July 2019 14:12","https://sullygnome.com/channel/baileyreichenberg/stream/35073899840","258","516","2","6","1","0","11","2","Assassin's Creed Odyssey,Overwatch"
"4","Tuesday 23rd July 2019 22:45","https://sullygnome.com/channel/baileyreichenberg/stream/35019015024","45","45","1","2","0","0","3","3","Overwatch"
"5","Tuesday 23rd July 2019 17:45","https://sullygnome.com/channel/baileyreichenberg/stream/35015598400","150","150","1","3","0","0","3","1","Assassin's Creed Odyssey,Overwatch"
"6","Sunday 21st July 2019 16:30","https://sullygnome.com/channel/baileyreichenberg/stream/34990598304","135","270","2","5","0","0","12","4","Overwatch"
"7","Tuesday 16th July 2019 23:54","https://sullygnome.com/channel/baileyreichenberg/stream/34931940112","111","333","3","4","0","0","8","4","Overwatch"
"8","Sunday 14th July 2019 17:07","https://sullygnome.com/channel/baileyreichenberg/stream/34902796416","293","879","3","6","0","0","21","4","Assassin's Creed Odyssey,Overwatch"
"9","Tuesday 9th July 2019 19:45","https://sullygnome.com/channel/baileyreichenberg/stream/34841819360","195","195","1","5","0","0","5","1","Assassin's Creed Odyssey,Overwatch"
"10","Sunday 7th July 2019 19:24","https://sullygnome.com/channel/baileyreichenberg/stream/34817165840","156","468","3","7","0","0","10","3","Assassin's Creed Odyssey,Overwatch"
"11","Tuesday 2nd July 2019 22:30","https://sullygnome.com/channel/baileyreichenberg/stream/34757478816","90","270","3","7","0","0","6","3","Overwatch"
"12","Tuesday 2nd July 2019 17:30","https://sullygnome.com/channel/baileyreichenberg/stream/34753571248","150","300","2","4","0","0","3","1","Assassin's Creed Odyssey"
