"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:30","https://sullygnome.com/channel/baragoz/stream/35111930080","150","600","4","7","0","0","29","10","Dota 2"
"2","Tuesday 30th July 2019 14:45","https://sullygnome.com/channel/baragoz/stream/35098331296","120","720","6","12","6","2","31","13","Dota 2"
"3","Friday 19th July 2019 16:32","https://sullygnome.com/channel/baragoz/stream/34964521040","298","596","2","8","1","0","83","16","Dota 2"
"4","Sunday 14th July 2019 14:17","https://sullygnome.com/channel/baragoz/stream/34901142160","163","652","4","6","2","0","14","5","Dota 2"
"5","Saturday 13th July 2019 15:59","https://sullygnome.com/channel/baragoz/stream/34889641808","226","1582","7","12","9","2","42","10","Dota 2"
"6","Friday 12th July 2019 15:45","https://sullygnome.com/channel/baragoz/stream/34876663472","0","0","2","2","0","0","0","0","Dota 2"
"7","Monday 8th July 2019 14:26","https://sullygnome.com/channel/baragoz/stream/34826103760","229","1145","5","10","2","0","85","21","Dota 2"
"8","Sunday 7th July 2019 16:08","https://sullygnome.com/channel/baragoz/stream/34814927856","232","928","4","9","5","1","70","17","Dota 2"
"9","Saturday 6th July 2019 14:12","https://sullygnome.com/channel/baragoz/stream/34801308256","318","1590","5","10","7","1","112","20","Dota 2"
"10","Monday 1st July 2019 18:45","https://sullygnome.com/channel/baragoz/stream/34742512048","45","315","7","8","1","1","34","34","Dota 2"
"11","Monday 1st July 2019 13:09","https://sullygnome.com/channel/baragoz/stream/34739261264","171","1026","6","10","1","0","55","18","Dota 2"
