"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 11:12","https://sullygnome.com/channel/basementcasanova/stream/35110041648","468","936","2","5","0","0","10","1","Teamfight Tactics"
"2","Monday 29th July 2019 11:23","https://sullygnome.com/channel/basementcasanova/stream/35084328592","367","1101","3","5","-1","0","19","3","Teamfight Tactics"
"3","Saturday 27th July 2019 09:15","https://sullygnome.com/channel/basementcasanova/stream/35060154624","285","855","3","6","0","0","11","2","Teamfight Tactics"
"4","Friday 26th July 2019 06:00","https://sullygnome.com/channel/basementcasanova/stream/35047269408","405","810","2","6","0","0","8","1","Teamfight Tactics"
"5","Thursday 25th July 2019 02:49","https://sullygnome.com/channel/basementcasanova/stream/35033852128","506","2024","4","9","0","0","17","1","Teamfight Tactics"
"6","Wednesday 24th July 2019 02:45","https://sullygnome.com/channel/basementcasanova/stream/35021421184","195","585","3","6","-1","0","9","2","Teamfight Tactics"
"7","Tuesday 23rd July 2019 01:45","https://sullygnome.com/channel/basementcasanova/stream/35008593872","435","2610","6","18","1","0","46","6","Teamfight Tactics"
"8","Friday 19th July 2019 00:04","https://sullygnome.com/channel/basementcasanova/stream/34957125728","191","764","4","7","0","0","8","2","Teamfight Tactics"
"9","Wednesday 17th July 2019 22:58","https://sullygnome.com/channel/basementcasanova/stream/34943966688","467","1401","3","7","-1","0","24","3","Teamfight Tactics"
"10","Wednesday 17th July 2019 04:00","https://sullygnome.com/channel/basementcasanova/stream/34934410176","165","330","2","4","0","0","15","5","Just Chatting,Teamfight Tactics,Doki Doki Literature Club!"
"11","Tuesday 16th July 2019 02:00","https://sullygnome.com/channel/basementcasanova/stream/34920696560","255","1020","4","7","1","0","11","2","Teamfight Tactics,Just Chatting"
"12","Sunday 14th July 2019 18:38","https://sullygnome.com/channel/basementcasanova/stream/34903857840","427","1708","4","7","0","0","21","2","Teamfight Tactics,League of Legends"
"13","Saturday 13th July 2019 20:22","https://sullygnome.com/channel/basementcasanova/stream/34892594864","443","1329","3","7","1","0","21","2","Just Chatting,Teamfight Tactics,Super Mario Maker 2"
"14","Saturday 13th July 2019 02:04","https://sullygnome.com/channel/basementcasanova/stream/34883557408","251","1004","4","7","0","0","6","1","Teamfight Tactics"
"15","Friday 12th July 2019 00:00","https://sullygnome.com/channel/basementcasanova/stream/34869841472","75","0","0","2","0","0","3","2","Teamfight Tactics"
"16","Thursday 11th July 2019 15:45","https://sullygnome.com/channel/basementcasanova/stream/34864315808","360","1800","5","10","-1","0","18","2","Tetris,Teamfight Tactics"
"17","Wednesday 10th July 2019 16:30","https://sullygnome.com/channel/basementcasanova/stream/34852200144","210","840","4","6","0","0","9","2","Teamfight Tactics"
"18","Wednesday 10th July 2019 10:15","https://sullygnome.com/channel/basementcasanova/stream/34849367792","120","360","3","5","0","0","4","1","Teamfight Tactics"
"19","Tuesday 9th July 2019 11:15","https://sullygnome.com/channel/basementcasanova/stream/34837121840","435","1305","3","7","1","0","31","4","Teamfight Tactics,Super Mario Maker 2"
"20","Monday 8th July 2019 18:45","https://sullygnome.com/channel/basementcasanova/stream/34828653360","75","225","3","3","0","0","5","3","Teamfight Tactics"
"21","Monday 8th July 2019 12:00","https://sullygnome.com/channel/basementcasanova/stream/34824984256","270","1080","4","7","2","0","20","4","Super Mario Maker 2,Teamfight Tactics"
"22","Sunday 7th July 2019 06:45","https://sullygnome.com/channel/basementcasanova/stream/34810935344","480","1920","4","12","0","0","36","4","Teamfight Tactics,Super Mario Maker 2"
"23","Saturday 6th July 2019 06:39","https://sullygnome.com/channel/basementcasanova/stream/34798364448","381","1524","4","9","2","0","54","8","Super Mario Maker 2,Baba is You,Teamfight Tactics"
"24","Friday 5th July 2019 02:22","https://sullygnome.com/channel/basementcasanova/stream/34784239936","533","2665","5","9","0","0","28","3","Teamfight Tactics"
"25","Thursday 4th July 2019 04:00","https://sullygnome.com/channel/basementcasanova/stream/34773383856","465","1860","4","9","0","0","19","2","Tetris,Teamfight Tactics"
"26","Wednesday 3rd July 2019 01:19","https://sullygnome.com/channel/basementcasanova/stream/34759368272","476","2380","5","8","1","0","23","2","Tetris,Teamfight Tactics"
"27","Monday 1st July 2019 23:28","https://sullygnome.com/channel/basementcasanova/stream/34745646448","572","4004","7","10","0","0","22","2","Super Mario Maker 2,Teamfight Tactics"
"28","Sunday 30th June 2019 23:53","https://sullygnome.com/channel/basementcasanova/stream/34733982336","397","2382","6","9","1","0","25","3","Teamfight Tactics"
