"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 19:32","https://sullygnome.com/channel/berrofronzo/stream/35114790240","208","4784","23","31","-2","0","241","68","Just Chatting,Wolfenstein: Youngblood"
"2","Monday 29th July 2019 19:46","https://sullygnome.com/channel/berrofronzo/stream/35089120656","224","11200","50","74","3","0","1527","381","Just Chatting,Wolfenstein: Youngblood"
"3","Sunday 28th July 2019 19:52","https://sullygnome.com/channel/berrofronzo/stream/35077307792","158","9006","57","77","4","1","1216","442","Dungeons &amp; Dragons"
"4","Sunday 28th July 2019 16:30","https://sullygnome.com/channel/berrofronzo/stream/35075040480","0","0","25","25","0","0","0","0","Dungeons &amp; Dragons"
"5","Saturday 27th July 2019 12:47","https://sullygnome.com/channel/berrofronzo/stream/35061446176","208","8112","39","61","2","0","832","256","Graveyard Keeper,Dungeons &amp; Dragons"
"6","Friday 26th July 2019 12:33","https://sullygnome.com/channel/berrofronzo/stream/35049427520","222","9990","45","57","1","0","1284","342","Just Chatting,Graveyard Keeper,Dungeons &amp; Dragons"
"7","Thursday 25th July 2019 20:36","https://sullygnome.com/channel/berrofronzo/stream/35041141616","174","7482","43","64","10","2","1894","445","Just Chatting,Unlisted on Twitch,Grand Theft Auto V"
"8","Thursday 25th July 2019 12:35","https://sullygnome.com/channel/berrofronzo/stream/35037405504","160","7200","45","55","3","1","959","348","Just Chatting,Graveyard Keeper"
"9","Wednesday 24th July 2019 19:00","https://sullygnome.com/channel/berrofronzo/stream/35028757968","210","8190","39","47","2","0","1281","366","Just Chatting"
"10","Wednesday 24th July 2019 12:56","https://sullygnome.com/channel/berrofronzo/stream/35025286448","214","7490","35","55","1","0","1392","371","Just Chatting,Graveyard Keeper"
"11","Tuesday 23rd July 2019 19:00","https://sullygnome.com/channel/berrofronzo/stream/35016540592","210","7140","34","53","0","0","627","179","Just Chatting,Hand of Fate 2"
"12","Tuesday 23rd July 2019 12:30","https://sullygnome.com/channel/berrofronzo/stream/35012832208","180","7560","42","55","-2","0","962","296","Just Chatting,Graveyard Keeper"
"13","Monday 22nd July 2019 19:03","https://sullygnome.com/channel/berrofronzo/stream/35004135984","222","9102","41","62","6","1","1158","308","Just Chatting,Guitar Hero III: Legends of Rock"
"14","Monday 22nd July 2019 12:29","https://sullygnome.com/channel/berrofronzo/stream/35000401696","211","10550","50","68","4","1","1717","457","Just Chatting,Graveyard Keeper"
"15","Saturday 20th July 2019 16:10","https://sullygnome.com/channel/berrofronzo/stream/34977220736","410","10660","26","41","1","0","818","116","Just Chatting,Art"
"16","Friday 19th July 2019 14:57","https://sullygnome.com/channel/berrofronzo/stream/34963629824","288","11520","40","50","0","0","655","137","Just Chatting,Graveyard Keeper"
"17","Thursday 18th July 2019 12:33","https://sullygnome.com/channel/berrofronzo/stream/34950059280","87","3915","45","55","-1","0","413","275","Just Chatting,Teamfight Tactics"
"18","Wednesday 17th July 2019 18:54","https://sullygnome.com/channel/berrofronzo/stream/34941177024","276","9384","34","51","6","1","1062","236","Just Chatting,Torchlight,Teamfight Tactics"
"19","Wednesday 17th July 2019 12:54","https://sullygnome.com/channel/berrofronzo/stream/34937594480","186","8370","45","62","4","1","1153","354","Just Chatting,Graveyard Keeper"
"20","Tuesday 16th July 2019 18:55","https://sullygnome.com/channel/berrofronzo/stream/34928543392","170","6460","38","52","1","0","393","131","Just Chatting,Sea of Thieves"
"21","Tuesday 16th July 2019 12:34","https://sullygnome.com/channel/berrofronzo/stream/34924809536","176","9504","54","64","1","0","1467","489","Just Chatting,Graveyard Keeper"
"22","Monday 15th July 2019 18:58","https://sullygnome.com/channel/berrofronzo/stream/34916116816","287","15785","55","95","9","1","1270","267","Just Chatting,Graveyard Keeper"
"23","Monday 15th July 2019 12:19","https://sullygnome.com/channel/berrofronzo/stream/34912311632","176","7040","40","50","3","1","1108","369","Just Chatting,Teamfight Tactics"
"24","Sunday 14th July 2019 18:56","https://sullygnome.com/channel/berrofronzo/stream/34904082960","214","9202","43","57","-1","0","597","159","Graveyard Keeper,Just Chatting"
"25","Saturday 13th July 2019 18:02","https://sullygnome.com/channel/berrofronzo/stream/34890965408","253","11385","45","56","1","0","1287","302","Just Chatting,Graveyard Keeper"
"26","Friday 12th July 2019 19:00","https://sullygnome.com/channel/berrofronzo/stream/34878973024","210","7560","36","49","4","1","650","185","Just Chatting,Guitar Hero III: Legends of Rock"
"27","Friday 12th July 2019 11:55","https://sullygnome.com/channel/berrofronzo/stream/34874977040","185","11100","60","85","2","0","1715","527","Just Chatting,Darkest Dungeon"
"28","Thursday 11th July 2019 17:55","https://sullygnome.com/channel/berrofronzo/stream/34865691040","290","10440","36","50","1","0","1578","315","Just Chatting,Barotrauma"
"29","Thursday 11th July 2019 11:57","https://sullygnome.com/channel/berrofronzo/stream/34862507440","198","9702","49","66","3","0","1239","381","Just Chatting,Darkest Dungeon"
"30","Wednesday 10th July 2019 13:15","https://sullygnome.com/channel/berrofronzo/stream/34850582096","240","11280","47","63","1","0","1459","389","Just Chatting,Darkest Dungeon,Barotrauma"
"31","Tuesday 9th July 2019 18:11","https://sullygnome.com/channel/berrofronzo/stream/34840890432","259","8547","33","42","-5","-1","779","173","Just Chatting,World of Warcraft"
"32","Tuesday 9th July 2019 12:27","https://sullygnome.com/channel/berrofronzo/stream/34837641632","153","7650","50","68","-1","0","1153","419","Just Chatting,Darkest Dungeon"
"33","Monday 8th July 2019 17:57","https://sullygnome.com/channel/berrofronzo/stream/34828216864","258","7998","31","41","3","0","612","136","Just Chatting,Darkest Dungeon,Overcooked! 2"
"34","Monday 8th July 2019 11:56","https://sullygnome.com/channel/berrofronzo/stream/34824984944","214","10058","47","61","-2","0","1631","434","Just Chatting,Darkest Dungeon,Art"
"35","Saturday 6th July 2019 17:58","https://sullygnome.com/channel/berrofronzo/stream/34803509328","122","9394","77","107","5","2","2067","918","Just Chatting,Guitar Hero III: Legends of Rock"
"36","Saturday 6th July 2019 11:57","https://sullygnome.com/channel/berrofronzo/stream/34800238080","228","13452","59","75","1","0","1972","493","Just Chatting,Teamfight Tactics"
"37","Friday 5th July 2019 17:56","https://sullygnome.com/channel/berrofronzo/stream/34790792240","244","12444","51","74","2","0","2000","470","Just Chatting,Sea of Solitude"
"38","Friday 5th July 2019 12:02","https://sullygnome.com/channel/berrofronzo/stream/34787686688","223","9589","43","58","2","0","1439","383","Just Chatting,Teamfight Tactics"
"39","Thursday 4th July 2019 18:07","https://sullygnome.com/channel/berrofronzo/stream/34779502272","533","23452","44","73","7","0","2714","301","Just Chatting,The Sinking City"
"40","Wednesday 3rd July 2019 18:56","https://sullygnome.com/channel/berrofronzo/stream/34767651040","259","8029","31","45","0","0","933","207","Just Chatting,The Sinking City"
"41","Wednesday 3rd July 2019 11:58","https://sullygnome.com/channel/berrofronzo/stream/34763634288","227","8172","36","57","2","0","1263","315","Just Chatting,World of Warcraft"
"42","Tuesday 2nd July 2019 17:55","https://sullygnome.com/channel/berrofronzo/stream/34754251232","380","13680","36","52","2","0","1106","176","Just Chatting,The Sinking City"
"43","Tuesday 2nd July 2019 11:57","https://sullygnome.com/channel/berrofronzo/stream/34750968768","198","9108","46","61","0","0","1191","366","Just Chatting,World of Warcraft"
"44","Monday 1st July 2019 18:12","https://sullygnome.com/channel/berrofronzo/stream/34742139104","333","14319","43","63","4","0","1045","190","Just Chatting,The Sinking City"
"45","Monday 1st July 2019 11:56","https://sullygnome.com/channel/berrofronzo/stream/34738765728","184","9016","49","68","1","0","1572","483","Just Chatting,World of Warcraft"
