"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 19:00","https://sullygnome.com/channel/bingulz/stream/35114169856","165","330","2","5","1","0","16","5","Fortnite"
"2","Tuesday 30th July 2019 20:18","https://sullygnome.com/channel/bingulz/stream/35102162656","222","444","2","5","-1","0","30","8","Fortnite"
"3","Tuesday 30th July 2019 10:00","https://sullygnome.com/channel/bingulz/stream/35096404464","270","0","0","4","5","1","31","6","Fortnite"
"4","Friday 26th July 2019 12:15","https://sullygnome.com/channel/bingulz/stream/35049254976","120","240","2","4","1","0","19","8","Fortnite"
"5","Thursday 25th July 2019 10:45","https://sullygnome.com/channel/bingulz/stream/35036669408","195","780","4","29","17","4","11","3","Fortnite"
"6","Wednesday 24th July 2019 10:22","https://sullygnome.com/channel/bingulz/stream/35024354752","218","436","2","4","7","1","27","7","Fortnite"
"7","Friday 19th July 2019 10:39","https://sullygnome.com/channel/bingulz/stream/34961765056","216","1080","5","33","6","1","31","8","Fortnite"
"8","Thursday 18th July 2019 13:08","https://sullygnome.com/channel/bingulz/stream/34950312608","262","1310","5","14","9","2","54","12","Fortnite"
"9","Wednesday 17th July 2019 11:30","https://sullygnome.com/channel/bingulz/stream/34936979344","0","0","2","2","0","0","0","0","Fortnite"
"10","Tuesday 16th July 2019 10:44","https://sullygnome.com/channel/bingulz/stream/34924104272","391","3519","9","20","23","3","102","15","Fortnite"
"11","Monday 15th July 2019 10:03","https://sullygnome.com/channel/bingulz/stream/34911512448","447","894","2","8","6","0","74","9","League of Legends,Fortnite,Just Chatting"
"12","Sunday 14th July 2019 19:30","https://sullygnome.com/channel/bingulz/stream/34904380224","150","150","1","3","1","0","23","8","Fortnite"
"13","Friday 12th July 2019 10:45","https://sullygnome.com/channel/bingulz/stream/34874493344","330","660","2","10","6","1","28","4","Fortnite"
"14","Thursday 11th July 2019 10:07","https://sullygnome.com/channel/bingulz/stream/34861864688","533","2132","4","9","15","1","62","6","Fortnite,League of Legends"
"15","Wednesday 10th July 2019 14:30","https://sullygnome.com/channel/bingulz/stream/34851035040","75","225","3","5","-1","0","11","7","Fortnite"
"16","Tuesday 9th July 2019 11:16","https://sullygnome.com/channel/bingulz/stream/34837168560","464","1392","3","9","13","1","81","10","Fortnite,League of Legends,Teamfight Tactics"
"17","Monday 8th July 2019 18:45","https://sullygnome.com/channel/bingulz/stream/34828908400","15","45","3","5","1","2","16","32","Fortnite"
"18","Monday 8th July 2019 13:15","https://sullygnome.com/channel/bingulz/stream/34825408688","300","900","3","5","6","1","32","6","Fortnite,Just Chatting"
"19","Friday 5th July 2019 10:30","https://sullygnome.com/channel/bingulz/stream/34787013120","525","1050","2","8","4","0","53","5","League of Legends,Fortnite,Far Cry 3,Just Chatting"
"20","Thursday 4th July 2019 10:14","https://sullygnome.com/channel/bingulz/stream/34775576320","256","512","2","6","2","0","49","10","Fortnite,League of Legends"
"21","Wednesday 3rd July 2019 10:15","https://sullygnome.com/channel/bingulz/stream/34762961696","240","480","2","7","0","0","28","6","Fortnite"
"22","Tuesday 2nd July 2019 11:08","https://sullygnome.com/channel/bingulz/stream/34750660592","187","748","4","8","5","1","21","6","Fortnite"
"23","Monday 1st July 2019 10:30","https://sullygnome.com/channel/bingulz/stream/34738203840","240","960","4","8","1","0","40","9","Fortnite,Unlisted on Twitch"
