"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 23:17","https://sullygnome.com/channel/blackwolfhb/stream/35114760432","163","1956","12","19","5","0","150","24","Overwatch"
"2","Tuesday 30th July 2019 17:01","https://sullygnome.com/channel/blackwolfhb/stream/35099742928","434","4774","11","17","2","0","151","20","Overwatch,Counter-Strike: Global Offensive"
"3","Monday 29th July 2019 20:04","https://sullygnome.com/channel/blackwolfhb/stream/35089337792","536","7504","14","25","3","0","185","20","Overwatch,Counter-Strike: Global Offensive"
"4","Sunday 28th July 2019 18:44","https://sullygnome.com/channel/blackwolfhb/stream/35076553952","646","14858","23","108","22","2","270","24","Counter-Strike: Global Offensive,League of Legends,Overwatch"
"5","Sunday 28th July 2019 00:41","https://sullygnome.com/channel/blackwolfhb/stream/35068228496","214","856","4","9","2","0","40","10","Counter-Strike: Global Offensive"
"6","Friday 26th July 2019 21:28","https://sullygnome.com/channel/blackwolfhb/stream/35054554640","452","9492","21","36","2","0","105","14","Overwatch,Hunt: Showdown,Counter-Strike: Global Offensive,League of Legends"
"7","Thursday 25th July 2019 17:59","https://sullygnome.com/channel/blackwolfhb/stream/35040219504","601","5409","9","18","3","0","142","13","Overwatch,Counter-Strike: Global Offensive"
"8","Thursday 25th July 2019 01:45","https://sullygnome.com/channel/blackwolfhb/stream/35033105184","255","13005","51","127","11","2","171","38","Counter-Strike: Global Offensive"
"9","Wednesday 24th July 2019 13:34","https://sullygnome.com/channel/blackwolfhb/stream/35025509568","251","1757","7","11","0","0","91","20","Overwatch"
"10","Tuesday 23rd July 2019 19:36","https://sullygnome.com/channel/blackwolfhb/stream/35016979648","144","864","6","11","0","0","33","13","Counter-Strike: Global Offensive"
"11","Saturday 20th July 2019 20:59","https://sullygnome.com/channel/blackwolfhb/stream/34981385760","226","1808","8","13","3","0","42","10","Hunt: Showdown,Counter-Strike: Global Offensive"
"12","Friday 19th July 2019 21:11","https://sullygnome.com/channel/blackwolfhb/stream/34967775168","379","4548","12","34","10","1","105","16","Paranormal Activity: The Lost Soul,Counter-Strike: Global Offensive"
"13","Friday 19th July 2019 20:39","https://sullygnome.com/channel/blackwolfhb/stream/34967421440","21","126","6","9","0","0","18","36","Paranormal Activity: The Lost Soul"
"14","Thursday 18th July 2019 20:24","https://sullygnome.com/channel/blackwolfhb/stream/34954767744","621","3726","6","14","2","0","101","9","Counter-Strike: Global Offensive,League of Legends,Teamfight Tactics"
"15","Thursday 18th July 2019 11:46","https://sullygnome.com/channel/blackwolfhb/stream/34949747488","194","776","4","9","3","0","22","6","Counter-Strike: Global Offensive"
"16","Tuesday 16th July 2019 18:49","https://sullygnome.com/channel/blackwolfhb/stream/34928467584","266","1064","4","7","0","0","36","7","League of Legends,Beat Saber"
"17","Monday 15th July 2019 17:55","https://sullygnome.com/channel/blackwolfhb/stream/34915336096","470","4700","10","16","3","0","100","12","Overwatch,Counter-Strike: Global Offensive,Paranormal Activity: The Lost Soul"
"18","Sunday 14th July 2019 22:30","https://sullygnome.com/channel/blackwolfhb/stream/34906440304","285","8550","30","126","21","4","208","41","Beat Saber,Hunt: Showdown"
"19","Sunday 14th July 2019 18:45","https://sullygnome.com/channel/blackwolfhb/stream/34903760480","120","720","6","10","4","1","20","8","Counter-Strike: Global Offensive,Overwatch"
"20","Saturday 13th July 2019 17:58","https://sullygnome.com/channel/blackwolfhb/stream/34890915120","617","4936","8","13","1","0","109","10","Overwatch,Beat Saber,Pavlov VR"
"21","Saturday 13th July 2019 03:45","https://sullygnome.com/channel/blackwolfhb/stream/34884311360","45","90","2","3","0","0","4","4","Beat Saber"
"22","Friday 12th July 2019 16:45","https://sullygnome.com/channel/blackwolfhb/stream/34877370416","315","1575","5","10","0","0","46","8","Counter-Strike: Global Offensive,Beat Saber,Lost,Unlisted on Twitch,Jurassic World Evolution,Flying Aces - Navy Pilot Simulator"
"23","Thursday 11th July 2019 19:51","https://sullygnome.com/channel/blackwolfhb/stream/34865970896","399","1995","5","9","4","0","125","15","Pavlov VR,Counter-Strike: Global Offensive,Unlisted on Twitch,Hand Simulator,Beat Saber"
"24","Thursday 11th July 2019 00:00","https://sullygnome.com/channel/blackwolfhb/stream/34857346048","135","5805","43","119","21","8","152","60","Beat Saber"
"25","Wednesday 10th July 2019 18:41","https://sullygnome.com/channel/blackwolfhb/stream/34853801872","199","1393","7","10","1","0","42","12","Pavlov VR,Beat Saber"
"26","Tuesday 9th July 2019 23:00","https://sullygnome.com/channel/blackwolfhb/stream/34844161472","15","30","2","3","0","0","0","0","Pavlov VR"
"27","Tuesday 9th July 2019 22:15","https://sullygnome.com/channel/blackwolfhb/stream/34843630864","15","60","4","5","0","0","9","18","Pavlov VR"
"28","Tuesday 9th July 2019 14:53","https://sullygnome.com/channel/blackwolfhb/stream/34838807568","82","574","7","9","0","0","24","16","Counter-Strike: Global Offensive"
"29","Monday 8th July 2019 19:45","https://sullygnome.com/channel/blackwolfhb/stream/34829478688","120","480","4","7","-1","0","14","6","Metro Exodus,League of Legends"
"30","Saturday 6th July 2019 16:41","https://sullygnome.com/channel/blackwolfhb/stream/34802689808","499","6986","14","24","-1","0","84","9","Counter-Strike: Global Offensive,Tom Clancy's Rainbow Six Siege,skribbl.io,PUBG: BATTLEGROUNDS"
"31","Friday 5th July 2019 21:21","https://sullygnome.com/channel/blackwolfhb/stream/34793222464","324","2268","7","10","2","0","54","9","Counter-Strike: Global Offensive"
"32","Wednesday 3rd July 2019 23:15","https://sullygnome.com/channel/blackwolfhb/stream/34770082240","45","135","3","4","0","0","6","6","Counter-Strike: Global Offensive"
"33","Wednesday 3rd July 2019 21:31","https://sullygnome.com/channel/blackwolfhb/stream/34769476976","44","352","8","9","0","0","3","4","Counter-Strike: Global Offensive"
"34","Wednesday 3rd July 2019 17:15","https://sullygnome.com/channel/blackwolfhb/stream/34766278640","150","600","4","7","0","0","25","9","Far Cry New Dawn,Counter-Strike: Global Offensive"
"35","Wednesday 3rd July 2019 16:30","https://sullygnome.com/channel/blackwolfhb/stream/34765694800","15","60","4","6","0","0","12","24","Far Cry New Dawn"
"36","Wednesday 3rd July 2019 15:45","https://sullygnome.com/channel/blackwolfhb/stream/34765410960","15","45","3","6","0","0","12","24","Far Cry New Dawn"
"37","Tuesday 2nd July 2019 21:03","https://sullygnome.com/channel/blackwolfhb/stream/34753014096","207","1035","5","10","0","0","63","7","Counter-Strike: Global Offensive,Metro Exodus,Far Cry New Dawn"
"38","Monday 1st July 2019 16:36","https://sullygnome.com/channel/blackwolfhb/stream/34741055264","159","795","5","9","0","0","29","10","Counter-Strike: Global Offensive"
