"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:29","https://sullygnome.com/channel/bozelthebear/stream/35116173120","226","678","3","6","1","0","23","5","Escape from Tarkov"
"2","Monday 29th July 2019 18:30","https://sullygnome.com/channel/bozelthebear/stream/35088083680","135","270","2","3","0","0","6","2","Escape from Tarkov,Heroes of the Storm"
"3","Sunday 28th July 2019 17:43","https://sullygnome.com/channel/bozelthebear/stream/35075879952","542","1084","2","6","0","0","22","2","Heroes of the Storm,Escape from Tarkov"
"4","Saturday 27th July 2019 18:00","https://sullygnome.com/channel/bozelthebear/stream/35064076080","600","600","1","4","1","0","23","2","Escape from Tarkov,Heroes of the Storm"
"5","Monday 22nd July 2019 20:45","https://sullygnome.com/channel/bozelthebear/stream/35005321872","0","0","1","1","0","0","0","0","Escape from Tarkov"
"6","Friday 19th July 2019 22:00","https://sullygnome.com/channel/bozelthebear/stream/34968143984","135","270","2","5","0","0","14","5","Escape from Tarkov,Heroes of the Storm"
"7","Thursday 18th July 2019 19:06","https://sullygnome.com/channel/bozelthebear/stream/34953850288","399","1197","3","7","2","0","21","3","Escape from Tarkov"
"8","Wednesday 17th July 2019 20:30","https://sullygnome.com/channel/bozelthebear/stream/34942152592","180","540","3","6","0","0","40","12","Escape from Tarkov"
"9","Tuesday 16th July 2019 19:01","https://sullygnome.com/channel/bozelthebear/stream/34928631408","554","2216","4","11","2","0","65","7","Escape from Tarkov,Middle-earth: Shadow of Mordor"
"10","Tuesday 16th July 2019 02:30","https://sullygnome.com/channel/bozelthebear/stream/34921004144","45","90","2","4","0","0","8","8","Middle-earth: Shadow of War"
"11","Monday 15th July 2019 19:49","https://sullygnome.com/channel/bozelthebear/stream/34916746064","371","1484","4","11","1","0","40","6","Escape from Tarkov"
