"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 00:15","https://sullygnome.com/channel/brawlerdood/stream/35104769808","135","540","4","7","0","0","39","15","Fortnite"
"2","Tuesday 30th July 2019 00:01","https://sullygnome.com/channel/brawlerdood/stream/35091952784","149","447","3","7","0","0","30","12","Minecraft"
"3","Sunday 28th July 2019 00:38","https://sullygnome.com/channel/brawlerdood/stream/35068204464","172","688","4","9","0","0","26","8","Fortnite"
"4","Thursday 25th July 2019 00:12","https://sullygnome.com/channel/brawlerdood/stream/35032205136","123","492","4","7","0","0","26","11","Apex Legends"
"5","Tuesday 23rd July 2019 23:17","https://sullygnome.com/channel/brawlerdood/stream/35019394288","208","832","4","8","0","0","47","13","Fortnite"
"6","Tuesday 23rd July 2019 00:05","https://sullygnome.com/channel/brawlerdood/stream/35007506416","205","1025","5","7","1","0","41","11","Minecraft"
"7","Sunday 21st July 2019 23:30","https://sullygnome.com/channel/brawlerdood/stream/34995004752","150","300","2","5","0","0","17","6","Fortnite"
"8","Sunday 21st July 2019 15:02","https://sullygnome.com/channel/brawlerdood/stream/34989777632","358","1074","3","7","1","0","46","7","Fortnite,Minecraft"
"9","Saturday 20th July 2019 18:00","https://sullygnome.com/channel/brawlerdood/stream/34978614720","15","75","5","7","0","0","0","0","Fortnite"
"10","Saturday 20th July 2019 01:32","https://sullygnome.com/channel/brawlerdood/stream/34970501232","133","532","4","7","1","0","19","8","Fortnite"
"11","Thursday 18th July 2019 22:36","https://sullygnome.com/channel/brawlerdood/stream/34956191728","234","936","4","10","0","0","46","11","Apex Legends"
"12","Thursday 18th July 2019 01:43","https://sullygnome.com/channel/brawlerdood/stream/34945781472","122","244","2","6","1","0","15","7","Fortnite"
"13","Wednesday 17th July 2019 01:18","https://sullygnome.com/channel/brawlerdood/stream/34932882160","72","288","4","6","4","4","15","15","Minecraft"
"14","Wednesday 17th July 2019 00:45","https://sullygnome.com/channel/brawlerdood/stream/34932266496","30","120","4","5","2","2","31","41","Minecraft"
"15","Tuesday 16th July 2019 22:30","https://sullygnome.com/channel/brawlerdood/stream/34930997248","105","420","4","7","3","1","29","14","Minecraft"
"16","Saturday 13th July 2019 23:15","https://sullygnome.com/channel/brawlerdood/stream/34894273424","300","1500","5","11","2","0","39","7","Just Chatting,Fortnite,Apex Legends"
"17","Saturday 13th July 2019 02:45","https://sullygnome.com/channel/brawlerdood/stream/34883861824","135","405","3","6","1","0","7","2","Just Chatting"
"18","Friday 12th July 2019 01:00","https://sullygnome.com/channel/brawlerdood/stream/34870385856","105","420","4","7","0","0","15","7","Fortnite"
"19","Tuesday 9th July 2019 00:01","https://sullygnome.com/channel/brawlerdood/stream/34832364112","164","656","4","6","0","0","23","7","Minecraft"
"20","Sunday 7th July 2019 23:49","https://sullygnome.com/channel/brawlerdood/stream/34819994816","296","1776","6","10","2","0","42","8","Fortnite,Minecraft"
"21","Saturday 6th July 2019 01:23","https://sullygnome.com/channel/brawlerdood/stream/34795729760","172","1548","9","15","0","0","457","152","Call of Duty: Black Ops 4,Apex Legends"
"22","Thursday 4th July 2019 02:15","https://sullygnome.com/channel/brawlerdood/stream/34772405120","240","3840","16","31","3","0","560","140","Fortnite"
"23","Wednesday 3rd July 2019 00:16","https://sullygnome.com/channel/brawlerdood/stream/34758681472","134","804","6","9","3","1","26","11","Fortnite"
"24","Monday 1st July 2019 23:59","https://sullygnome.com/channel/brawlerdood/stream/34745968752","256","1024","4","7","2","0","38","8","Minecraft"
