"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 19:50","https://sullygnome.com/channel/catempleton/stream/35077292896","730","18250","25","85","6","0","293","23","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"2","Saturday 27th July 2019 22:49","https://sullygnome.com/channel/catempleton/stream/35067192640","251","2259","9","13","1","0","37","8","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"3","Thursday 25th July 2019 11:28","https://sullygnome.com/channel/catempleton/stream/35036982432","317","6340","20","33","2","0","54","10","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"4","Wednesday 24th July 2019 16:04","https://sullygnome.com/channel/catempleton/stream/35026842736","536","9112","17","26","5","0","125","13","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"5","Tuesday 23rd July 2019 11:42","https://sullygnome.com/channel/catempleton/stream/35012519328","378","6804","18","28","3","0","103","15","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"6","Monday 22nd July 2019 07:32","https://sullygnome.com/channel/catempleton/stream/34998845024","538","8608","16","25","2","0","123","13","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"7","Saturday 20th July 2019 22:19","https://sullygnome.com/channel/catempleton/stream/34982263632","416","5824","14","33","1","0","105","15","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"8","Saturday 20th July 2019 00:46","https://sullygnome.com/channel/catempleton/stream/34970010720","614","11666","19","41","1","0","169","16","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"9","Friday 19th July 2019 15:30","https://sullygnome.com/channel/catempleton/stream/34963931664","270","5400","20","26","0","0","68","17","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"10","Thursday 18th July 2019 02:29","https://sullygnome.com/channel/catempleton/stream/34946273008","601","11419","19","36","7","0","177","17","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"11","Wednesday 17th July 2019 02:47","https://sullygnome.com/channel/catempleton/stream/34933813008","628","10676","17","28","4","0","111","10","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"12","Monday 15th July 2019 14:54","https://sullygnome.com/channel/catempleton/stream/34913485920","606","10908","18","34","3","0","223","21","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"13","Thursday 11th July 2019 00:45","https://sullygnome.com/channel/catempleton/stream/34857831344","15","15","1","2","0","0","1","2","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"14","Wednesday 10th July 2019 01:43","https://sullygnome.com/channel/catempleton/stream/34846011632","347","2082","6","11","2","0","39","6","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"15","Tuesday 9th July 2019 00:59","https://sullygnome.com/channel/catempleton/stream/34832975056","541","6492","12","21","0","0","97","10","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"16","Friday 5th July 2019 21:12","https://sullygnome.com/channel/catempleton/stream/34793131104","243","2916","12","28","8","2","79","21","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"17","Friday 5th July 2019 14:52","https://sullygnome.com/channel/catempleton/stream/34788985424","248","3472","14","23","-1","0","49","11","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"18","Thursday 4th July 2019 13:15","https://sullygnome.com/channel/catempleton/stream/34776742000","240","2160","9","17","2","0","47","11","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"19","Wednesday 3rd July 2019 16:29","https://sullygnome.com/channel/catempleton/stream/34765428544","571","5710","10","18","3","0","79","7","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"20","Tuesday 2nd July 2019 13:00","https://sullygnome.com/channel/catempleton/stream/34751407520","405","4455","11","16","6","0","80","11","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"21","Monday 1st July 2019 19:15","https://sullygnome.com/channel/catempleton/stream/34742721728","30","480","16","18","0","0","31","41","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
"22","Monday 1st July 2019 11:05","https://sullygnome.com/channel/catempleton/stream/34738462624","445","6230","14","24","5","0","113","15","Kingdom Hearts HD 1.5 + 2.5 ReMIX"
