"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 08:15","https://sullygnome.com/channel/chlny/stream/35095806000","240","960","4","7","2","0","24","5","Neverwinter"
"2","Monday 29th July 2019 02:30","https://sullygnome.com/channel/chlny/stream/35081234944","405","1620","4","9","3","0","61","8","The Elder Scrolls Online,Neverwinter"
"3","Friday 26th July 2019 02:30","https://sullygnome.com/channel/chlny/stream/35045567088","360","720","2","4","0","0","26","4","The Sinking City,The Elder Scrolls Online,Neverwinter"
"4","Thursday 25th July 2019 07:30","https://sullygnome.com/channel/chlny/stream/35035603936","135","945","7","10","0","0","12","4","Neverwinter,The Sinking City"
"5","Monday 22nd July 2019 06:00","https://sullygnome.com/channel/chlny/stream/34998395904","240","1440","6","10","1","0","36","8","Neverwinter"
"6","Monday 22nd July 2019 02:10","https://sullygnome.com/channel/chlny/stream/34996717872","155","310","2","5","2","0","6","2","The Elder Scrolls Online,Neverwinter"
"7","Sunday 21st July 2019 02:43","https://sullygnome.com/channel/chlny/stream/34984804192","452","3616","8","17","3","0","65","8","Neverwinter"
"8","Friday 19th July 2019 01:45","https://sullygnome.com/channel/chlny/stream/34958227536","300","600","2","7","0","0","19","3","The Elder Scrolls Online,Neverwinter"
"9","Tuesday 16th July 2019 23:13","https://sullygnome.com/channel/chlny/stream/34931501168","182","546","3","6","1","0","18","6","Neverwinter"
"10","Tuesday 16th July 2019 03:15","https://sullygnome.com/channel/chlny/stream/34921492416","210","630","3","9","0","0","19","5","Neverwinter"
"11","Monday 15th July 2019 00:02","https://sullygnome.com/channel/chlny/stream/34907380320","238","1190","5","9","0","0","18","5","Neverwinter,The Elder Scrolls Online"
"12","Saturday 13th July 2019 18:22","https://sullygnome.com/channel/chlny/stream/34891200384","518","6734","13","30","5","0","206","24","Neverwinter"
"13","Wednesday 10th July 2019 07:30","https://sullygnome.com/channel/chlny/stream/34848557808","525","525","1","4","3","0","30","3","Neverwinter"
"14","Monday 8th July 2019 03:00","https://sullygnome.com/channel/chlny/stream/34821803632","405","1215","3","7","3","0","46","6","The Elder Scrolls Online,Neverwinter"
"15","Sunday 7th July 2019 04:30","https://sullygnome.com/channel/chlny/stream/34810007904","315","0","0","2","0","0","10","1","Neverwinter"
"16","Saturday 6th July 2019 07:45","https://sullygnome.com/channel/chlny/stream/34798747840","45","135","3","6","0","0","5","5","Neverwinter"
"17","Thursday 4th July 2019 05:30","https://sullygnome.com/channel/chlny/stream/34774030064","120","840","7","17","2","0","51","22","Neverwinter"
"18","Wednesday 3rd July 2019 04:30","https://sullygnome.com/channel/chlny/stream/34761083408","390","390","1","4","2","0","20","2","Neverwinter"
"19","Tuesday 2nd July 2019 01:45","https://sullygnome.com/channel/chlny/stream/34747128544","135","270","2","4","0","0","3","1","Neverwinter"
"20","Monday 1st July 2019 02:30","https://sullygnome.com/channel/chlny/stream/34735434864","435","870","2","6","1","0","28","3","The Elder Scrolls Online,Neverwinter"
