"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 22:31","https://sullygnome.com/channel/clubordie/stream/35116838048","74","518","7","17","1","0","5","4","WWE 2K19"
"2","Wednesday 31st July 2019 22:15","https://sullygnome.com/channel/clubordie/stream/35116571824","0","0","11","17","0","0","4","16","WWE 2K19"
"3","Wednesday 31st July 2019 19:30","https://sullygnome.com/channel/clubordie/stream/35114774416","135","2025","15","21","1","0","11","4","WWE 2K19"
"4","Monday 29th July 2019 11:57","https://sullygnome.com/channel/clubordie/stream/35084547616","93","837","9","12","-1","0","13","8","WWE 2K19"
"5","Monday 29th July 2019 09:51","https://sullygnome.com/channel/clubordie/stream/35083442416","99","693","7","12","2","0","41","12","WWE 2K19"
"6","Monday 29th July 2019 02:44","https://sullygnome.com/channel/clubordie/stream/35081396176","316","3160","10","16","3","0","51","9","WWE 2K19"
"7","Sunday 28th July 2019 09:08","https://sullygnome.com/channel/clubordie/stream/35071871808","157","1413","9","13","2","0","15","5","WWE 2K19"
"8","Sunday 28th July 2019 03:13","https://sullygnome.com/channel/clubordie/stream/35069652592","272","3264","12","17","-1","0","24","5","WWE 2K19"
"9","Sunday 28th July 2019 02:12","https://sullygnome.com/channel/clubordie/stream/35069091360","33","330","10","13","0","0","5","6","WWE 2K19"
"10","Saturday 27th July 2019 06:10","https://sullygnome.com/channel/clubordie/stream/35058662288","365","5475","15","32","4","0","74","9","WWE 2K19"
"11","Saturday 27th July 2019 02:00","https://sullygnome.com/channel/clubordie/stream/35057206256","120","1080","9","16","1","0","16","7","WWE 2K19"
"12","Friday 26th July 2019 13:33","https://sullygnome.com/channel/clubordie/stream/35049853952","162","1782","11","16","0","0","14","5","WWE 2K19"
"13","Thursday 25th July 2019 23:08","https://sullygnome.com/channel/clubordie/stream/35043609008","187","1870","10","18","1","0","22","6","WWE 2K19"
"14","Thursday 25th July 2019 16:23","https://sullygnome.com/channel/clubordie/stream/35039214032","172","2580","15","20","4","1","27","9","WWE 2K19"
"15","Thursday 25th July 2019 13:30","https://sullygnome.com/channel/clubordie/stream/35037800192","165","1815","11","17","6","2","22","7","WWE 2K19"
"16","Wednesday 24th July 2019 13:45","https://sullygnome.com/channel/clubordie/stream/35025659920","180","1800","10","18","1","0","21","7","WWE 2K19"
"17","Wednesday 24th July 2019 00:00","https://sullygnome.com/channel/clubordie/stream/35019802752","330","0","0","1","1","0","9","1","Grand Theft Auto V"
"18","Tuesday 23rd July 2019 20:39","https://sullygnome.com/channel/clubordie/stream/35017709648","96","288","3","8","0","0","8","5","Grand Theft Auto V"
"19","Monday 22nd July 2019 23:00","https://sullygnome.com/channel/clubordie/stream/35006815056","180","720","4","10","0","0","17","5","Art"
"20","Sunday 21st July 2019 19:33","https://sullygnome.com/channel/clubordie/stream/34992710288","162","1458","9","13","3","1","14","5","WWE 2K19"
"21","Thursday 18th July 2019 15:40","https://sullygnome.com/channel/clubordie/stream/34951568480","215","2365","11","18","4","1","21","5","WWE 2K19"
"22","Thursday 18th July 2019 00:00","https://sullygnome.com/channel/clubordie/stream/34944599920","105","420","4","8","0","0","6","3","Apex Legends"
"23","Tuesday 16th July 2019 23:30","https://sullygnome.com/channel/clubordie/stream/34931719472","30","120","4","8","0","0","2","2","WWE 2K19"
"24","Tuesday 16th July 2019 19:00","https://sullygnome.com/channel/clubordie/stream/34928599296","15","75","5","7","0","0","0","0","WWE 2K19"
"25","Monday 15th July 2019 09:01","https://sullygnome.com/channel/clubordie/stream/34911210992","59","295","5","10","0","0","8","6","WWE 2K19"
"26","Monday 15th July 2019 03:44","https://sullygnome.com/channel/clubordie/stream/34909445312","271","2981","11","17","4","0","28","6","WWE 2K19"
"27","Sunday 14th July 2019 04:57","https://sullygnome.com/channel/clubordie/stream/34897547200","303","3030","10","16","3","0","43","8","WWE 2K19"
"28","Thursday 11th July 2019 14:00","https://sullygnome.com/channel/clubordie/stream/34863408560","60","600","10","14","0","0","16","16","Unlisted on Twitch"
"29","Tuesday 9th July 2019 02:00","https://sullygnome.com/channel/clubordie/stream/34833599168","0","0","0","0","0","0","0","0","Apex Legends"
"30","Monday 8th July 2019 23:07","https://sullygnome.com/channel/clubordie/stream/34831798032","68","952","14","22","0","0","14","11","Unlisted on Twitch"
"31","Monday 8th July 2019 14:00","https://sullygnome.com/channel/clubordie/stream/34825887008","0","0","0","0","0","0","0","0","Wrestling"
"32","Monday 1st July 2019 22:16","https://sullygnome.com/channel/clubordie/stream/34744932448","59","354","6","12","1","0","4","3","WWE 2K19"
"33","Monday 1st July 2019 13:00","https://sullygnome.com/channel/clubordie/stream/34739194544","195","390","2","6","1","0","12","3","WWE 2K19"
