"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 21:30","https://sullygnome.com/channel/capelor/stream/35090240048","270","540","2","4","0","0","12","2","Fortnite"
"2","Sunday 28th July 2019 17:15","https://sullygnome.com/channel/capelor/stream/35075401536","225","225","1","4","0","0","6","1","Fortnite"
"3","Saturday 27th July 2019 17:00","https://sullygnome.com/channel/capelor/stream/35063492496","240","480","2","4","0","0","12","2","Fortnite"
"4","Tuesday 23rd July 2019 22:00","https://sullygnome.com/channel/capelor/stream/35018628656","255","510","2","5","1","0","19","4","Fortnite"
"5","Tuesday 23rd July 2019 02:09","https://sullygnome.com/channel/capelor/stream/35008843920","231","924","4","13","3","0","25","6","Fortnite"
"6","Tuesday 23rd July 2019 00:15","https://sullygnome.com/channel/capelor/stream/35007630208","60","60","1","4","1","0","9","7","Fortnite"
"7","Monday 22nd July 2019 02:30","https://sullygnome.com/channel/capelor/stream/34996821088","60","0","0","1","1","0","7","5","Fortnite"
"8","Saturday 20th July 2019 22:00","https://sullygnome.com/channel/capelor/stream/34981830528","30","30","1","2","0","0","0","0","Fortnite"
"9","Friday 19th July 2019 00:30","https://sullygnome.com/channel/capelor/stream/34957442752","255","510","2","5","-1","0","20","4","Fortnite"
"10","Wednesday 17th July 2019 04:08","https://sullygnome.com/channel/capelor/stream/34934538768","112","224","2","4","1","0","10","5","Fortnite"
"11","Tuesday 16th July 2019 00:46","https://sullygnome.com/channel/capelor/stream/34919959392","119","238","2","4","1","0","5","2","Fortnite,Life is Strange"
"12","Sunday 14th July 2019 21:45","https://sullygnome.com/channel/capelor/stream/34906050528","150","300","2","5","-1","0","23","8","Fortnite"
"13","Sunday 14th July 2019 01:00","https://sullygnome.com/channel/capelor/stream/34895254048","105","315","3","6","1","0","7","3","Fortnite"
"14","Thursday 11th July 2019 23:00","https://sullygnome.com/channel/capelor/stream/34869141920","345","690","2","5","5","0","30","5","Fortnite,Life is Strange"
"15","Wednesday 10th July 2019 23:43","https://sullygnome.com/channel/capelor/stream/34857214304","212","636","3","7","0","0","22","5","Fortnite"
"16","Tuesday 9th July 2019 22:21","https://sullygnome.com/channel/capelor/stream/34843830464","234","468","2","5","1","0","14","3","Fortnite,Life is Strange"
"17","Tuesday 9th July 2019 01:01","https://sullygnome.com/channel/capelor/stream/34833003312","74","74","1","3","4","3","3","2","Fortnite"
"18","Thursday 4th July 2019 14:45","https://sullygnome.com/channel/capelor/stream/34777469664","135","135","1","3","3","1","3","1","Fortnite"
"19","Wednesday 3rd July 2019 04:30","https://sullygnome.com/channel/capelor/stream/34761094912","150","750","5","18","21","7","77","28","Fortnite"
