"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 01:00","https://sullygnome.com/channel/caracarnvi/stream/35105363200","180","1440","8","14","0","0","39","12","Magic: The Gathering"
"2","Tuesday 30th July 2019 00:23","https://sullygnome.com/channel/caracarnvi/stream/35092203808","262","3406","13","21","-4","0","98","21","Magic: The Gathering"
"3","Monday 29th July 2019 01:46","https://sullygnome.com/channel/caracarnvi/stream/35080864320","149","2384","16","18","0","0","75","30","The Legend of Zelda,Magic: The Gathering"
"4","Sunday 28th July 2019 15:10","https://sullygnome.com/channel/caracarnvi/stream/35074381728","530","101760","192","278","17","1","1250","138","FINAL FANTASY X,FINAL FANTASY IV"
"5","Saturday 27th July 2019 15:46","https://sullygnome.com/channel/caracarnvi/stream/35062895168","644","134596","209","284","8","0","1312","122","FINAL FANTASY X"
"6","Sunday 21st July 2019 15:04","https://sullygnome.com/channel/caracarnvi/stream/34989796400","731","122077","167","275","9","0","1600","130","FINAL FANTASY X,Magic: The Gathering"
"7","Saturday 20th July 2019 16:07","https://sullygnome.com/channel/caracarnvi/stream/34977185856","698","174500","250","360","8","0","1606","136","FINAL FANTASY X"
"8","Thursday 18th July 2019 02:37","https://sullygnome.com/channel/caracarnvi/stream/34946358416","68","680","10","16","0","0","18","18","The Legend of Zelda"
"9","Tuesday 16th July 2019 00:57","https://sullygnome.com/channel/caracarnvi/stream/34920075168","153","2142","14","23","-3","-1","66","24","The Legend of Zelda: A Link to the Past"
"10","Sunday 14th July 2019 21:27","https://sullygnome.com/channel/caracarnvi/stream/34905855312","363","9075","25","33","2","0","231","36","The Legend of Zelda: A Link to the Past,FINAL FANTASY IV,The Legend of Zelda"
"11","Saturday 13th July 2019 16:04","https://sullygnome.com/channel/caracarnvi/stream/34889699744","536","132392","247","318","17","1","1412","156","FINAL FANTASY X"
"12","Friday 12th July 2019 19:40","https://sullygnome.com/channel/caracarnvi/stream/34879474432","455","52780","116","245","5","0","670","86","FINAL FANTASY X,The Legend of Zelda: A Link to the Past"
"13","Thursday 11th July 2019 23:56","https://sullygnome.com/channel/caracarnvi/stream/34869768592","199","2587","13","20","-3","0","67","19","The Legend of Zelda: A Link to the Past"
"14","Thursday 11th July 2019 00:57","https://sullygnome.com/channel/caracarnvi/stream/34858019536","138","3312","24","34","0","0","68","34","The Legend of Zelda: A Link to the Past"
"15","Monday 8th July 2019 01:56","https://sullygnome.com/channel/caracarnvi/stream/34821239920","79","2528","32","37","-1","0","55","36","The Legend of Zelda"
"16","Sunday 7th July 2019 14:15","https://sullygnome.com/channel/caracarnvi/stream/34813888976","615","182040","296","409","10","1","1803","180","FINAL FANTASY X"
"17","Saturday 6th July 2019 16:16","https://sullygnome.com/channel/caracarnvi/stream/34802449776","599","113211","189","318","5","0","1408","137","FINAL FANTASY X,FINAL FANTASY IV"
"18","Thursday 4th July 2019 17:15","https://sullygnome.com/channel/caracarnvi/stream/34778775632","720","202320","281","362","16","1","1722","140","FINAL FANTASY X"
"19","Thursday 4th July 2019 01:45","https://sullygnome.com/channel/caracarnvi/stream/34772093600","345","18975","55","203","1","0","352","61","FINAL FANTASY X"
"20","Wednesday 3rd July 2019 00:47","https://sullygnome.com/channel/caracarnvi/stream/34759009712","148","7104","48","68","1","0","129","51","FINAL FANTASY X"
"21","Tuesday 2nd July 2019 02:04","https://sullygnome.com/channel/caracarnvi/stream/34747292176","146","7300","50","64","0","0","147","58","FINAL FANTASY X"
