"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 09:57","https://sullygnome.com/channel/carrieadrian/stream/35109615872","258","3612","14","21","-1","0","118","26","Just Chatting,Counter-Strike: Global Offensive"
"2","Tuesday 30th July 2019 10:29","https://sullygnome.com/channel/carrieadrian/stream/35096560656","181","2896","16","22","-2","0","74","24","Just Chatting"
"3","Monday 29th July 2019 12:17","https://sullygnome.com/channel/carrieadrian/stream/35084684096","283","3113","11","17","1","0","135","28","Just Chatting,Counter-Strike: Global Offensive"
"4","Friday 26th July 2019 11:13","https://sullygnome.com/channel/carrieadrian/stream/35048919840","47","329","7","10","0","0","17","17","Travel &amp; Outdoors"
"5","Thursday 25th July 2019 18:30","https://sullygnome.com/channel/carrieadrian/stream/35040544096","0","0","2","2","0","0","0","0","Travel &amp; Outdoors"
"6","Wednesday 24th July 2019 09:30","https://sullygnome.com/channel/carrieadrian/stream/35024059520","0","0","4","4","0","0","0","0","Travel &amp; Outdoors"
"7","Wednesday 24th July 2019 06:44","https://sullygnome.com/channel/carrieadrian/stream/35023291472","46","414","9","18","-2","-2","15","15","Just Chatting"
"8","Tuesday 23rd July 2019 12:15","https://sullygnome.com/channel/carrieadrian/stream/35012662992","0","0","16","16","0","0","0","0","Travel &amp; Outdoors"
"9","Tuesday 23rd July 2019 11:45","https://sullygnome.com/channel/carrieadrian/stream/35012453216","0","0","10","13","2","8","12","48","Travel &amp; Outdoors"
"10","Tuesday 23rd July 2019 10:53","https://sullygnome.com/channel/carrieadrian/stream/35012216992","22","220","10","13","2","4","12","24","Travel &amp; Outdoors"
"11","Monday 22nd July 2019 12:00","https://sullygnome.com/channel/carrieadrian/stream/35000190640","120","1200","10","18","3","1","66","29","Just Chatting"
"12","Sunday 21st July 2019 18:52","https://sullygnome.com/channel/carrieadrian/stream/34992209824","53","742","14","17","0","0","27","36","Just Chatting"
"13","Sunday 21st July 2019 15:49","https://sullygnome.com/channel/carrieadrian/stream/34990206592","56","504","9","11","1","1","14","18","Travel &amp; Outdoors"
"14","Thursday 18th July 2019 18:08","https://sullygnome.com/channel/carrieadrian/stream/34953132448","52","1040","20","26","0","0","63","84","Counter-Strike: Global Offensive"
"15","Thursday 18th July 2019 16:15","https://sullygnome.com/channel/carrieadrian/stream/34951774080","105","1470","14","26","6","3","121","60","Counter-Strike: Global Offensive"
"16","Thursday 18th July 2019 10:54","https://sullygnome.com/channel/carrieadrian/stream/34949424528","156","3120","20","26","5","1","79","28","Counter-Strike: Global Offensive"
"17","Thursday 18th July 2019 09:48","https://sullygnome.com/channel/carrieadrian/stream/34949070896","42","630","15","16","1","1","16","21","Counter-Strike: Global Offensive"
"18","Thursday 18th July 2019 09:15","https://sullygnome.com/channel/carrieadrian/stream/34948831216","0","0","17","17","0","0","0","0","Just Chatting"
"19","Wednesday 17th July 2019 11:32","https://sullygnome.com/channel/carrieadrian/stream/34937047456","163","1956","12","16","6","2","69","25","Just Chatting,Counter-Strike: Global Offensive"
"20","Tuesday 16th July 2019 14:49","https://sullygnome.com/channel/carrieadrian/stream/34925888816","56","448","8","10","-1","-1","24","24","Just Chatting"
"21","Tuesday 16th July 2019 11:49","https://sullygnome.com/channel/carrieadrian/stream/34924499360","161","2576","16","21","2","0","110","40","Just Chatting,Counter-Strike: Global Offensive"
"22","Sunday 14th July 2019 15:13","https://sullygnome.com/channel/carrieadrian/stream/34901641936","152","2432","16","21","0","0","85","34","Just Chatting,Counter-Strike: Global Offensive"
"23","Friday 12th July 2019 08:30","https://sullygnome.com/channel/carrieadrian/stream/34873816656","0","0","10","10","0","0","0","0","Travel &amp; Outdoors"
"24","Thursday 11th July 2019 12:54","https://sullygnome.com/channel/carrieadrian/stream/34862897136","96","960","10","13","-1","0","55","31","Just Chatting,Counter-Strike: Global Offensive"
"25","Wednesday 10th July 2019 18:45","https://sullygnome.com/channel/carrieadrian/stream/34853848656","165","2970","18","26","1","0","98","35","Counter-Strike: Global Offensive,Just Chatting"
"26","Wednesday 10th July 2019 16:00","https://sullygnome.com/channel/carrieadrian/stream/34851873168","150","2100","14","19","0","0","179","65","Just Chatting,Counter-Strike: Global Offensive"
"27","Wednesday 10th July 2019 09:45","https://sullygnome.com/channel/carrieadrian/stream/34849276224","135","1890","14","24","4","1","74","29","Just Chatting,Counter-Strike: Global Offensive,Overcooked! 2"
"28","Tuesday 9th July 2019 11:37","https://sullygnome.com/channel/carrieadrian/stream/34837301216","218","2616","12","17","3","0","99","26","Just Chatting,Overcooked! 2,Counter-Strike: Global Offensive"
"29","Monday 8th July 2019 19:35","https://sullygnome.com/channel/carrieadrian/stream/34829457872","190","1710","9","13","-1","0","59","21","Just Chatting,Counter-Strike: Global Offensive"
"30","Monday 8th July 2019 13:58","https://sullygnome.com/channel/carrieadrian/stream/34825052432","167","1503","9","17","1","0","133","28","Just Chatting,Counter-Strike: Global Offensive,Overcooked!"
"31","Sunday 7th July 2019 23:08","https://sullygnome.com/channel/carrieadrian/stream/34816845152","7","84","12","18","7","1","136","30","Just Chatting,Counter-Strike: Global Offensive"
"32","Sunday 7th July 2019 16:00","https://sullygnome.com/channel/carrieadrian/stream/34814839056","150","2250","15","20","7","3","73","32","Counter-Strike: Global Offensive,Just Chatting"
"33","Sunday 7th July 2019 08:59","https://sullygnome.com/channel/carrieadrian/stream/34811669808","76","532","7","12","2","1","50","40","Travel &amp; Outdoors"
"34","Sunday 7th July 2019 08:45","https://sullygnome.com/channel/carrieadrian/stream/34811555424","0","0","10","10","0","0","0","0","Travel &amp; Outdoors"
"35","Saturday 6th July 2019 22:01","https://sullygnome.com/channel/carrieadrian/stream/34806354864","59","708","12","15","0","0","46","46","Just Chatting"
"36","Saturday 6th July 2019 20:00","https://sullygnome.com/channel/carrieadrian/stream/34804945840","105","1785","17","27","2","1","64","32","Just Chatting"
"37","Saturday 6th July 2019 10:45","https://sullygnome.com/channel/carrieadrian/stream/34799760752","285","2850","10","15","4","0","151","27","Just Chatting"
"38","Friday 5th July 2019 19:19","https://sullygnome.com/channel/carrieadrian/stream/34791800064","161","1771","11","15","-1","0","111","40","Travel &amp; Outdoors"
"39","Friday 5th July 2019 07:53","https://sullygnome.com/channel/carrieadrian/stream/34786338560","202","2626","13","23","-1","0","81","23","Just Chatting,Counter-Strike: Global Offensive"
"40","Thursday 4th July 2019 11:29","https://sullygnome.com/channel/carrieadrian/stream/34776015440","166","1992","12","18","0","0","56","18","Just Chatting"
"41","Wednesday 3rd July 2019 19:31","https://sullygnome.com/channel/carrieadrian/stream/34768096320","89","1068","12","15","0","0","44","29","Just Chatting"
"42","Wednesday 3rd July 2019 14:15","https://sullygnome.com/channel/carrieadrian/stream/34764604016","165","1650","10","16","5","1","78","26","Just Chatting,Counter-Strike: Global Offensive"
"43","Wednesday 3rd July 2019 06:23","https://sullygnome.com/channel/carrieadrian/stream/34761869232","262","4454","17","23","0","0","123","28","Just Chatting"
"44","Tuesday 2nd July 2019 12:10","https://sullygnome.com/channel/carrieadrian/stream/34751056128","305","3355","11","16","4","0","127","24","Just Chatting,Seasons after Fall,Counter-Strike: Global Offensive"
