"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Retro","1830","69855","36","83","1364","44.721311"
"2","Outer Wilds","1110","36240","32","74","875","47.297297"
"3","Heavy Rain","405","18975","45","73","411","60.888888"
"4","Dusk","390","14625","38","68","263","40.461538"
"5","Just Chatting","390","10935","27","41","417","64.153846"
"6","Mutant Year Zero: Road to Eden","375","14385","38","48","247","39.52"
"7","Metal Gear Solid 3: Snake Eater","330","75885","229","488","766","139.272727"
"8","Apex Legends","300","10260","34","44","166","33.2"
"9","Escape from Tarkov","195","5100","26","34","80","24.615384"
"10","The Messenger","15","90","6","6","27","108"
