"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 11:26","https://sullygnome.com/channel/cerealbtw/stream/35084348960","484","7260","15","27","2","0","106","12","Sea of Thieves"
"2","Sunday 28th July 2019 13:21","https://sullygnome.com/channel/cerealbtw/stream/35073501120","609","15225","25","48","16","1","227","22","Sea of Thieves"
"3","Friday 26th July 2019 18:50","https://sullygnome.com/channel/cerealbtw/stream/35052813760","310","6200","20","84","3","0","501","100","Sea of Thieves,Overwatch"
"4","Wednesday 24th July 2019 21:02","https://sullygnome.com/channel/cerealbtw/stream/35030174976","373","5595","15","31","4","0","184","29","Sea of Thieves"
"5","Wednesday 24th July 2019 16:18","https://sullygnome.com/channel/cerealbtw/stream/35026975600","222","1554","7","14","5","1","58","15","Sea of Thieves"
"6","Wednesday 24th July 2019 03:51","https://sullygnome.com/channel/cerealbtw/stream/35017559616","279","2790","10","20","6","0","195","16","Sea of Thieves"
"7","Tuesday 23rd July 2019 17:49","https://sullygnome.com/channel/cerealbtw/stream/35015666928","146","1460","10","22","0","0","153","61","Sea of Thieves"
"8","Thursday 18th July 2019 20:46","https://sullygnome.com/channel/cerealbtw/stream/34950643536","284","3124","11","20","3","0","163","13","Sea of Thieves"
"9","Tuesday 16th July 2019 15:18","https://sullygnome.com/channel/cerealbtw/stream/34926163648","357","3213","9","36","2","0","68","11","The Elder Scrolls V: Skyrim,Sea of Thieves"
"10","Monday 15th July 2019 14:36","https://sullygnome.com/channel/cerealbtw/stream/34913340192","489","3423","7","13","1","0","70","8","Sea of Thieves,The Elder Scrolls V: Skyrim"
"11","Sunday 14th July 2019 17:14","https://sullygnome.com/channel/cerealbtw/stream/34902882752","586","9376","16","31","3","0","149","14","Sea of Thieves,The Elder Scrolls V: Skyrim"
"12","Saturday 13th July 2019 20:47","https://sullygnome.com/channel/cerealbtw/stream/34892886944","298","2980","10","18","2","0","61","11","Sea of Thieves"
"13","Friday 12th July 2019 20:16","https://sullygnome.com/channel/cerealbtw/stream/34879900432","314","1570","5","9","0","0","25","4","The Elder Scrolls V: Skyrim"
"14","Thursday 11th July 2019 12:53","https://sullygnome.com/channel/cerealbtw/stream/34862896592","457","5027","11","22","11","1","106","13","Fallout: New Vegas,Sea of Thieves"
"15","Wednesday 10th July 2019 07:34","https://sullygnome.com/channel/cerealbtw/stream/34848633168","491","5401","11","20","3","0","111","13","Fallout 76,Sea of Thieves"
"16","Monday 8th July 2019 17:41","https://sullygnome.com/channel/cerealbtw/stream/34828038432","259","2331","9","14","3","0","50","11","Fallout 76"
"17","Sunday 7th July 2019 14:46","https://sullygnome.com/channel/cerealbtw/stream/34814150640","224","2464","11","22","6","1","73","18","Fallout 76"
"18","Friday 5th July 2019 13:52","https://sullygnome.com/channel/cerealbtw/stream/34788487344","383","3830","10","29","1","0","86","13","Fallout 76,Sea of Thieves"
"19","Wednesday 3rd July 2019 19:10","https://sullygnome.com/channel/cerealbtw/stream/34767835136","215","1290","6","12","0","0","43","11","Sea of Thieves,Dead by Daylight,FINAL FANTASY XIV ONLINE,Just Chatting"
"20","Wednesday 3rd July 2019 02:45","https://sullygnome.com/channel/cerealbtw/stream/34760061744","600","2400","4","18","0","0","104","10","World of Warcraft,Unlisted on Twitch"
"21","Tuesday 2nd July 2019 12:49","https://sullygnome.com/channel/cerealbtw/stream/34751325024","296","2664","9","15","2","0","52","10","Sea of Thieves"
