"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 05:00","https://sullygnome.com/channel/chachihime/stream/35107766800","135","135","1","4","0","0","11","4","SMITE"
"2","Monday 29th July 2019 01:55","https://sullygnome.com/channel/chachihime/stream/35080946080","230","460","2","7","0","0","11","2","Overwatch"
"3","Friday 26th July 2019 04:15","https://sullygnome.com/channel/chachihime/stream/35046595216","210","210","1","3","1","0","5","1","SMITE"
"4","Thursday 25th July 2019 03:45","https://sullygnome.com/channel/chachihime/stream/35034194640","105","210","2","4","1","0","14","7","Overwatch"
"5","Thursday 25th July 2019 02:15","https://sullygnome.com/channel/chachihime/stream/35033424400","45","45","1","3","1","1","8","8","Overcooked! 2"
"6","Tuesday 16th July 2019 02:30","https://sullygnome.com/channel/chachihime/stream/34921049392","105","105","1","3","0","0","6","3","Overwatch"
"7","Friday 12th July 2019 02:45","https://sullygnome.com/channel/chachihime/stream/34871521232","60","0","0","2","0","0","2","1","Overwatch"
"8","Tuesday 9th July 2019 03:00","https://sullygnome.com/channel/chachihime/stream/34834131360","180","180","1","4","0","0","12","3","Overwatch"
"9","Monday 8th July 2019 01:01","https://sullygnome.com/channel/chachihime/stream/34820707984","194","582","3","6","-1","0","10","3","Overcooked! 2"
"10","Saturday 6th July 2019 01:45","https://sullygnome.com/channel/chachihime/stream/34795903456","150","450","3","5","0","0","8","2","Fez"
"11","Monday 1st July 2019 02:00","https://sullygnome.com/channel/chachihime/stream/34735171888","285","855","3","7","1","0","17","3","Overcooked! 2"
