"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 23:35","https://sullygnome.com/channel/cielly/stream/35091676688","190","1520","8","11","1","0","21","7","Dead by Daylight"
"2","Monday 29th July 2019 21:17","https://sullygnome.com/channel/cielly/stream/35090185840","133","798","6","10","5","2","17","6","Outlast"
"3","Saturday 27th July 2019 22:50","https://sullygnome.com/channel/cielly/stream/35066483568","190","1140","6","11","4","0","66","14","Outlast"
"4","Thursday 25th July 2019 20:57","https://sullygnome.com/channel/cielly/stream/35042245680","168","1008","6","11","1","0","16","5","Resident Evil 2"
"5","Wednesday 24th July 2019 23:45","https://sullygnome.com/channel/cielly/stream/35031896912","210","840","4","8","2","0","16","4","Resident Evil 2"
"6","Tuesday 23rd July 2019 17:55","https://sullygnome.com/channel/cielly/stream/35015734304","125","875","7","10","0","0","7","4","Resident Evil 2"
"7","Friday 19th July 2019 18:34","https://sullygnome.com/channel/cielly/stream/34965917088","266","1596","6","11","0","0","32","6","Alien: Isolation,Just Chatting"
"8","Wednesday 17th July 2019 17:47","https://sullygnome.com/channel/cielly/stream/34940333136","403","2015","5","8","2","0","34","4","Alien: Isolation"
"9","Wednesday 17th July 2019 01:43","https://sullygnome.com/channel/cielly/stream/34933158048","152","912","6","9","2","0","18","7","Alien: Isolation"
"10","Tuesday 16th July 2019 18:25","https://sullygnome.com/channel/cielly/stream/34928172576","110","770","7","12","2","1","12","6","Alien: Isolation"
