"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 21:03","https://sullygnome.com/channel/cocomichelle11/stream/35090035072","192","5568","29","40","4","1","131","40","The Elder Scrolls Online"
"2","Friday 26th July 2019 22:46","https://sullygnome.com/channel/cocomichelle11/stream/35055317360","179","3043","17","24","2","0","84","25","The Elder Scrolls Online"
"3","Thursday 25th July 2019 17:04","https://sullygnome.com/channel/cocomichelle11/stream/35039630672","266","5586","21","29","5","1","123","27","The Elder Scrolls Online"
"4","Sunday 21st July 2019 13:59","https://sullygnome.com/channel/cocomichelle11/stream/34989238240","241","8194","34","48","1","0","166","41","The Elder Scrolls Online"
"5","Saturday 20th July 2019 15:04","https://sullygnome.com/channel/cocomichelle11/stream/34976533424","281","12364","44","56","7","1","203","42","The Elder Scrolls Online"
"6","Friday 19th July 2019 17:01","https://sullygnome.com/channel/cocomichelle11/stream/34964816128","284","5964","21","31","3","0","118","23","The Elder Scrolls Online"
"7","Sunday 14th July 2019 14:23","https://sullygnome.com/channel/cocomichelle11/stream/34901193936","322","28658","89","169","28","5","527","95","The Elder Scrolls Online"
"8","Saturday 13th July 2019 14:03","https://sullygnome.com/channel/cocomichelle11/stream/34888598592","192","23616","123","199","36","11","727","223","The Elder Scrolls Online"
"9","Friday 12th July 2019 16:57","https://sullygnome.com/channel/cocomichelle11/stream/34877532368","348","13224","38","55","7","1","205","34","The Elder Scrolls Online"
"10","Thursday 11th July 2019 16:57","https://sullygnome.com/channel/cocomichelle11/stream/34865044640","363","15972","44","73","11","1","316","52","The Elder Scrolls Online"
"11","Sunday 7th July 2019 13:58","https://sullygnome.com/channel/cocomichelle11/stream/34813732816","362","22082","61","93","19","3","311","49","The Elder Scrolls Online"
"12","Saturday 6th July 2019 13:09","https://sullygnome.com/channel/cocomichelle11/stream/34800779584","411","28770","70","108","16","2","399","57","The Elder Scrolls Online"
"13","Friday 5th July 2019 19:59","https://sullygnome.com/channel/cocomichelle11/stream/34792272976","181","5249","29","54","3","1","151","50","The Elder Scrolls Online"
"14","Friday 5th July 2019 13:03","https://sullygnome.com/channel/cocomichelle11/stream/34788121248","132","4092","31","43","1","0","118","52","The Elder Scrolls Online"
