"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 06:14","https://sullygnome.com/channel/coldphazon/stream/35108334064","736","25760","35","64","10","0","376","30","Retro,Dead by Daylight"
"2","Monday 29th July 2019 11:07","https://sullygnome.com/channel/coldphazon/stream/35084238784","653","22855","35","60","18","1","342","31","Dead by Daylight"
"3","Sunday 28th July 2019 06:50","https://sullygnome.com/channel/coldphazon/stream/35071173520","700","44800","64","111","20","1","384","34","Retro,Dead by Daylight"
"4","Saturday 27th July 2019 07:41","https://sullygnome.com/channel/coldphazon/stream/35059743584","289","14161","49","64","12","2","273","60","Dead by Daylight"
"5","Friday 26th July 2019 05:43","https://sullygnome.com/channel/coldphazon/stream/35047233872","452","13108","29","41","9","1","172","22","Retro,Dead by Daylight"
"6","Thursday 25th July 2019 05:58","https://sullygnome.com/channel/coldphazon/stream/35035276976","287","7462","26","33","2","0","100","21","Dead by Daylight"
"7","Tuesday 23rd July 2019 08:27","https://sullygnome.com/channel/coldphazon/stream/35011432240","333","8991","27","40","6","1","142","24","Dead by Daylight"
"8","Monday 22nd July 2019 05:38","https://sullygnome.com/channel/coldphazon/stream/34998277072","292","8468","29","38","9","1","126","26","Dead by Daylight"
"9","Friday 19th July 2019 08:09","https://sullygnome.com/channel/coldphazon/stream/34961002176","711","29862","42","95","23","1","463","38","Dead by Daylight"
"10","Wednesday 17th July 2019 06:37","https://sullygnome.com/channel/coldphazon/stream/34935484144","908","29964","33","61","36","2","463","30","Super Mario Maker 2,Super Smash Bros. Ultimate,Dead by Daylight"
"11","Tuesday 16th July 2019 09:18","https://sullygnome.com/channel/coldphazon/stream/34923655104","312","13416","43","69","12","2","163","32","Dead by Daylight"
"12","Sunday 14th July 2019 10:00","https://sullygnome.com/channel/coldphazon/stream/34899289408","690","42780","62","109","24","2","473","43","Dead by Daylight"
"13","Saturday 13th July 2019 14:43","https://sullygnome.com/channel/coldphazon/stream/34888939600","152","5928","39","46","0","0","141","56","Dead by Daylight"
"14","Saturday 13th July 2019 07:19","https://sullygnome.com/channel/coldphazon/stream/34886038160","401","15639","39","106","13","1","289","42","Dead by Daylight"
"15","Friday 12th July 2019 09:03","https://sullygnome.com/channel/coldphazon/stream/34874020928","252","8568","34","45","6","1","102","24","Dead by Daylight"
"16","Wednesday 10th July 2019 06:05","https://sullygnome.com/channel/coldphazon/stream/34848170928","370","12950","35","57","12","1","183","29","Dead by Daylight"
"17","Tuesday 9th July 2019 09:16","https://sullygnome.com/channel/coldphazon/stream/34836527312","329","8225","25","33","4","0","141","25","Dead by Daylight"
"18","Monday 8th July 2019 08:39","https://sullygnome.com/channel/coldphazon/stream/34823886128","321","14445","45","59","15","2","191","34","Dead by Daylight"
"19","Sunday 7th July 2019 08:54","https://sullygnome.com/channel/coldphazon/stream/34811639584","396","26136","66","95","22","3","400","59","Dead by Daylight"
"20","Saturday 6th July 2019 06:48","https://sullygnome.com/channel/coldphazon/stream/34798417056","387","17415","45","58","39","6","202","31","Dead by Daylight"
"21","Thursday 4th July 2019 07:45","https://sullygnome.com/channel/coldphazon/stream/34774690784","375","13875","37","52","11","1","196","30","Dead by Daylight"
"22","Wednesday 3rd July 2019 06:58","https://sullygnome.com/channel/coldphazon/stream/34762048768","392","16464","42","63","12","1","240","36","Dead by Daylight"
"23","Tuesday 2nd July 2019 06:29","https://sullygnome.com/channel/coldphazon/stream/34749269104","376","21808","58","96","14","2","293","46","Dead by Daylight"
