"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 00:16","https://sullygnome.com/channel/colmer/stream/35092134416","344","27176","79","99","17","2","378","65","DARK SOULS III"
"2","Saturday 27th July 2019 23:03","https://sullygnome.com/channel/colmer/stream/35067329520","432","33264","77","101","18","2","405","57","The Elder Scrolls V: Skyrim"
"3","Friday 26th July 2019 00:05","https://sullygnome.com/channel/colmer/stream/35044195760","355","24495","69","94","9","1","331","55","DARK SOULS III"
"4","Thursday 25th July 2019 00:17","https://sullygnome.com/channel/colmer/stream/35032250240","358","27566","77","113","8","1","367","61","DARK SOULS III"
"5","Tuesday 23rd July 2019 23:56","https://sullygnome.com/channel/colmer/stream/35019787296","199","33233","167","315","13","3","603","172","DARK SOULS III"
"6","Tuesday 23rd July 2019 00:00","https://sullygnome.com/channel/colmer/stream/35007452736","240","27120","113","171","19","4","604","151","DARK SOULS III"
"7","Sunday 21st July 2019 22:16","https://sullygnome.com/channel/colmer/stream/34994475696","404","35552","88","123","14","2","584","83","The Elder Scrolls V: Skyrim"
"8","Thursday 18th July 2019 23:57","https://sullygnome.com/channel/colmer/stream/34957042336","393","29082","74","106","12","1","440","65","DARK SOULS III"
"9","Thursday 18th July 2019 01:52","https://sullygnome.com/channel/colmer/stream/34944717456","203","16037","79","108","14","2","493","93","DARK SOULS III"
"10","Sunday 14th July 2019 22:01","https://sullygnome.com/channel/colmer/stream/34906201648","164","12464","76","103","3","1","188","75","Dark Souls"
"11","Saturday 13th July 2019 22:21","https://sullygnome.com/channel/colmer/stream/34893888976","489","45477","93","124","21","2","632","79","Dark Souls,The Elder Scrolls V: Skyrim"
"12","Saturday 13th July 2019 00:12","https://sullygnome.com/channel/colmer/stream/34882398784","393","21222","54","74","14","2","328","48","The Elder Scrolls V: Skyrim"
"13","Friday 12th July 2019 00:05","https://sullygnome.com/channel/colmer/stream/34869882000","430","27950","65","83","27","3","469","64","DARK SOULS III"
"14","Thursday 11th July 2019 00:15","https://sullygnome.com/channel/colmer/stream/34857576736","285","21375","75","100","10","2","426","89","DARK SOULS III"
"15","Wednesday 10th July 2019 00:01","https://sullygnome.com/channel/colmer/stream/34844879360","299","25415","85","102","4","0","363","72","DARK SOULS III"
"16","Tuesday 9th July 2019 00:10","https://sullygnome.com/channel/colmer/stream/34832472272","200","11800","59","84","3","0","164","46","DARK SOULS III"
"17","Saturday 6th July 2019 00:03","https://sullygnome.com/channel/colmer/stream/34794923984","387","25929","67","80","20","3","420","67","The Elder Scrolls V: Skyrim"
"18","Thursday 4th July 2019 00:03","https://sullygnome.com/channel/colmer/stream/34771044352","357","26775","75","105","14","2","469","78","DARK SOULS III"
"19","Wednesday 3rd July 2019 00:15","https://sullygnome.com/channel/colmer/stream/34758670400","345","24840","72","84","11","2","390","70","DARK SOULS III"
"20","Monday 1st July 2019 05:24","https://sullygnome.com/channel/colmer/stream/34736778112","51","4131","81","87","1","1","120","160","The Elder Scrolls V: Skyrim"
"21","Monday 1st July 2019 00:09","https://sullygnome.com/channel/colmer/stream/34734142400","291","23571","81","161","18","3","475","95","The Elder Scrolls V: Skyrim"
