"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 16:43","https://sullygnome.com/channel/controllerbyte/stream/35086922448","227","4767","21","34","4","1","357","89","Just Chatting"
"2","Sunday 28th July 2019 12:35","https://sullygnome.com/channel/controllerbyte/stream/35073161680","400","18000","45","63","1","0","528","78","PUBG: BATTLEGROUNDS"
"3","Saturday 27th July 2019 13:14","https://sullygnome.com/channel/controllerbyte/stream/35061645840","406","12992","32","42","0","0","449","64","PUBG: BATTLEGROUNDS"
"4","Sunday 21st July 2019 04:45","https://sullygnome.com/channel/controllerbyte/stream/34985828848","300","15000","50","84","9","1","452","90","PUBG: BATTLEGROUNDS"
"5","Friday 19th July 2019 05:08","https://sullygnome.com/channel/controllerbyte/stream/34960017296","367","12478","34","45","2","0","335","53","PUBG: BATTLEGROUNDS"
"6","Thursday 18th July 2019 04:42","https://sullygnome.com/channel/controllerbyte/stream/34947433168","228","5928","26","43","2","0","180","45","PUBG: BATTLEGROUNDS"
"7","Wednesday 17th July 2019 04:34","https://sullygnome.com/channel/controllerbyte/stream/34934741904","401","14035","35","55","5","0","453","69","PUBG: BATTLEGROUNDS"
"8","Tuesday 16th July 2019 05:24","https://sullygnome.com/channel/controllerbyte/stream/34922456208","366","12810","35","48","4","0","353","56","PUBG: BATTLEGROUNDS"
"9","Sunday 14th July 2019 12:39","https://sullygnome.com/channel/controllerbyte/stream/34900339040","411","20961","51","72","7","1","746","106","PUBG: BATTLEGROUNDS"
"10","Saturday 13th July 2019 13:46","https://sullygnome.com/channel/controllerbyte/stream/34888445056","404","19392","48","60","8","1","606","89","PUBG: BATTLEGROUNDS"
"11","Friday 12th July 2019 12:56","https://sullygnome.com/channel/controllerbyte/stream/34875398208","454","19068","42","62","12","1","521","67","PUBG: BATTLEGROUNDS"
"12","Thursday 11th July 2019 04:34","https://sullygnome.com/channel/controllerbyte/stream/34860085232","416","14560","35","53","7","1","485","69","PUBG: BATTLEGROUNDS"
"13","Wednesday 10th July 2019 04:37","https://sullygnome.com/channel/controllerbyte/stream/34847621056","413","14868","36","52","8","1","362","53","PUBG: BATTLEGROUNDS"
"14","Tuesday 9th July 2019 04:29","https://sullygnome.com/channel/controllerbyte/stream/34834987824","421","18103","43","63","13","1","500","68","PUBG: BATTLEGROUNDS"
"15","Friday 5th July 2019 13:10","https://sullygnome.com/channel/controllerbyte/stream/34788173200","395","15010","38","51","4","0","452","66","PUBG: BATTLEGROUNDS"
"16","Thursday 4th July 2019 12:53","https://sullygnome.com/channel/controllerbyte/stream/34776577648","382","13752","36","50","3","0","399","61","PUBG: BATTLEGROUNDS,Rogue Heist"
"17","Wednesday 3rd July 2019 12:59","https://sullygnome.com/channel/controllerbyte/stream/34764074320","361","17689","49","66","5","0","498","79","PUBG: BATTLEGROUNDS"
"18","Tuesday 2nd July 2019 13:11","https://sullygnome.com/channel/controllerbyte/stream/34751493296","364","17108","47","145","0","0","488","78","PUBG: BATTLEGROUNDS"
"19","Monday 1st July 2019 13:12","https://sullygnome.com/channel/controllerbyte/stream/34739286064","363","13431","37","50","6","0","454","72","PUBG: BATTLEGROUNDS"
