"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 17:24","https://sullygnome.com/channel/diy_kurt/stream/35100010112","81","324","4","7","0","0","20","13","RuneScape"
"2","Saturday 27th July 2019 08:00","https://sullygnome.com/channel/diy_kurt/stream/35059797024","75","300","4","6","0","0","9","6","RuneScape"
"3","Friday 26th July 2019 17:15","https://sullygnome.com/channel/diy_kurt/stream/35051753008","105","210","2","4","0","0","14","7","RuneScape"
"4","Thursday 25th July 2019 17:38","https://sullygnome.com/channel/diy_kurt/stream/35039979760","82","492","6","7","0","0","24","16","RuneScape"
"5","Wednesday 24th July 2019 18:30","https://sullygnome.com/channel/diy_kurt/stream/35028386992","120","360","3","5","0","0","18","8","RuneScape"
"6","Tuesday 23rd July 2019 17:22","https://sullygnome.com/channel/diy_kurt/stream/35015371808","203","812","4","10","-1","0","26","7","RuneScape,Fortnite"
"7","Thursday 11th July 2019 18:15","https://sullygnome.com/channel/diy_kurt/stream/34865874768","30","150","5","9","-1","-1","6","8","RuneScape"
"8","Sunday 7th July 2019 08:30","https://sullygnome.com/channel/diy_kurt/stream/34811511184","255","3060","12","19","2","0","93","21","RuneScape"
"9","Saturday 6th July 2019 08:45","https://sullygnome.com/channel/diy_kurt/stream/34799037392","75","300","4","7","1","0","11","7","RuneScape"
"10","Friday 5th July 2019 13:34","https://sullygnome.com/channel/diy_kurt/stream/34788351104","71","426","6","10","0","0","20","16","RuneScape"
"11","Monday 1st July 2019 16:31","https://sullygnome.com/channel/diy_kurt/stream/34741004896","89","356","4","7","0","0","23","13","RuneScape"
