"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 10:00","https://sullygnome.com/channel/dancingwulf/stream/35096386112","90","360","4","5","0","0","8","4","Unlisted on Twitch"
"2","Monday 29th July 2019 22:00","https://sullygnome.com/channel/dancingwulf/stream/35090509456","690","690","1","4","0","0","28","2","Unlisted on Twitch"
"3","Monday 29th July 2019 08:45","https://sullygnome.com/channel/dancingwulf/stream/35083498960","480","2880","6","14","0","0","46","5","Retro,Unlisted on Twitch"
"4","Sunday 28th July 2019 14:55","https://sullygnome.com/channel/dancingwulf/stream/35074246384","95","285","3","5","0","0","3","2","Unlisted on Twitch"
"5","Sunday 28th July 2019 14:45","https://sullygnome.com/channel/dancingwulf/stream/35074127312","0","0","4","4","0","0","0","0","Unlisted on Twitch"
"6","Saturday 27th July 2019 13:15","https://sullygnome.com/channel/dancingwulf/stream/35061585664","210","840","4","6","0","0","14","3","Retro"
"7","Friday 26th July 2019 17:15","https://sullygnome.com/channel/dancingwulf/stream/35051824128","165","330","2","5","0","0","3","1","A Way Out"
"8","Friday 26th July 2019 09:15","https://sullygnome.com/channel/dancingwulf/stream/35048143552","30","0","0","1","0","0","0","0","Unlisted on Twitch"
"9","Thursday 25th July 2019 22:30","https://sullygnome.com/channel/dancingwulf/stream/35043083856","180","180","1","4","0","0","9","2","A Way Out"
"10","Thursday 25th July 2019 16:46","https://sullygnome.com/channel/dancingwulf/stream/35039430560","164","984","6","8","0","0","7","2","A Way Out"
"11","Thursday 25th July 2019 11:53","https://sullygnome.com/channel/dancingwulf/stream/35035592464","262","524","2","7","0","0","24","2","Unlisted on Twitch,Retro"
"12","Wednesday 24th July 2019 13:54","https://sullygnome.com/channel/dancingwulf/stream/35018603088","306","1836","6","19","5","0","113","5","Retro,Unlisted on Twitch,Detroit: Become Human"
"13","Tuesday 23rd July 2019 18:50","https://sullygnome.com/channel/dancingwulf/stream/35016410368","55","385","7","8","0","0","6","8","Retro"
"14","Tuesday 23rd July 2019 10:25","https://sullygnome.com/channel/dancingwulf/stream/35012065104","380","1520","4","8","0","0","33","5","Retro"
"15","Monday 22nd July 2019 16:03","https://sullygnome.com/channel/dancingwulf/stream/35002128464","732","2196","3","10","1","0","38","3","Unlisted on Twitch"
"16","Monday 22nd July 2019 06:52","https://sullygnome.com/channel/dancingwulf/stream/34998652912","293","293","1","4","0","0","6","1","Unlisted on Twitch"
"17","Sunday 21st July 2019 20:23","https://sullygnome.com/channel/dancingwulf/stream/34993276272","97","291","3","5","0","0","5","3","Unlisted on Twitch"
"18","Sunday 21st July 2019 09:00","https://sullygnome.com/channel/dancingwulf/stream/34987225056","300","900","3","6","0","0","7","1","Unlisted on Twitch"
"19","Sunday 21st July 2019 00:45","https://sullygnome.com/channel/dancingwulf/stream/34983604048","90","180","2","3","0","0","3","1","Unlisted on Twitch"
"20","Saturday 20th July 2019 20:45","https://sullygnome.com/channel/dancingwulf/stream/34981098880","30","90","3","5","0","0","1","1","Unlisted on Twitch"
"21","Saturday 20th July 2019 17:14","https://sullygnome.com/channel/dancingwulf/stream/34978012272","136","408","3","6","0","0","8","3","Unlisted on Twitch"
"22","Saturday 20th July 2019 09:25","https://sullygnome.com/channel/dancingwulf/stream/34973638512","185","370","2","5","0","0","4","0","Unlisted on Twitch,Detroit: Become Human"
"23","Friday 19th July 2019 21:00","https://sullygnome.com/channel/dancingwulf/stream/34967564592","120","360","3","4","0","0","8","3","Detroit: Become Human"
"24","Friday 19th July 2019 14:51","https://sullygnome.com/channel/dancingwulf/stream/34963572064","249","2490","10","26","0","0","22","5","Detroit: Become Human"
"25","Friday 19th July 2019 09:03","https://sullygnome.com/channel/dancingwulf/stream/34961263504","252","1260","5","11","1","0","7","1","Detroit: Become Human"
"26","Thursday 18th July 2019 22:24","https://sullygnome.com/channel/dancingwulf/stream/34956062944","156","624","4","16","0","0","6","2","Detroit: Become Human"
"27","Thursday 18th July 2019 19:45","https://sullygnome.com/channel/dancingwulf/stream/34954282288","135","1215","9","21","0","0","6","2","Heavy Rain"
"28","Thursday 18th July 2019 13:11","https://sullygnome.com/channel/dancingwulf/stream/34950336032","304","3344","11","21","0","0","17","3","Heavy Rain"
"29","Thursday 18th July 2019 12:15","https://sullygnome.com/channel/dancingwulf/stream/34949840096","30","120","4","6","0","0","1","1","Unlisted on Twitch"
"30","Thursday 18th July 2019 10:06","https://sullygnome.com/channel/dancingwulf/stream/34949168048","99","297","3","6","0","0","0","0","Heavy Rain"
"31","Wednesday 17th July 2019 20:00","https://sullygnome.com/channel/dancingwulf/stream/34941638816","810","2430","3","14","0","0","23","1","Unlisted on Twitch,Heavy Rain"
"32","Wednesday 17th July 2019 19:15","https://sullygnome.com/channel/dancingwulf/stream/34941435904","0","0","4","4","0","0","0","0","Detroit: Become Human"
"33","Wednesday 17th July 2019 18:30","https://sullygnome.com/channel/dancingwulf/stream/34940709840","0","0","3","3","0","0","0","0","Detroit: Become Human"
"34","Wednesday 17th July 2019 08:30","https://sullygnome.com/channel/dancingwulf/stream/34936005360","300","900","3","7","0","0","17","3","Retro"
"35","Tuesday 16th July 2019 20:45","https://sullygnome.com/channel/dancingwulf/stream/34929863648","285","570","2","6","-1","0","13","2","Unlisted on Twitch,Retro"
"36","Tuesday 16th July 2019 12:45","https://sullygnome.com/channel/dancingwulf/stream/34924849360","150","300","2","5","0","0","4","1","Unlisted on Twitch"
"37","Tuesday 16th July 2019 05:47","https://sullygnome.com/channel/dancingwulf/stream/34922593600","208","624","3","7","0","0","4","1","Unlisted on Twitch"
"38","Monday 15th July 2019 19:30","https://sullygnome.com/channel/dancingwulf/stream/34916499520","135","405","3","5","0","0","9","3","Unlisted on Twitch"
"39","Monday 15th July 2019 06:45","https://sullygnome.com/channel/dancingwulf/stream/34910549520","375","1500","4","7","0","0","12","1","Unlisted on Twitch,Quake"
"40","Sunday 14th July 2019 17:45","https://sullygnome.com/channel/dancingwulf/stream/34903069808","210","420","2","4","-1","0","16","4","Unlisted on Twitch"
"41","Sunday 14th July 2019 10:02","https://sullygnome.com/channel/dancingwulf/stream/34899300272","283","566","2","8","0","0","18","3","Unlisted on Twitch,Kerbal Space Program"
"42","Friday 12th July 2019 21:41","https://sullygnome.com/channel/dancingwulf/stream/34880845936","1684","6736","4","16","3","0","79","2","Unlisted on Twitch,Kerbal Space Program,Resident Evil"
"43","Friday 12th July 2019 19:15","https://sullygnome.com/channel/dancingwulf/stream/34879194384","0","0","0","0","0","0","0","0","Unlisted on Twitch"
"44","Wednesday 10th July 2019 20:59","https://sullygnome.com/channel/dancingwulf/stream/34855433280","1081","3243","3","9","0","0","25","1","Unlisted on Twitch,Kerbal Space Program"
"45","Wednesday 10th July 2019 10:46","https://sullygnome.com/channel/dancingwulf/stream/34849600416","284","1704","6","11","0","0","14","2","Retro"
"46","Wednesday 10th July 2019 00:45","https://sullygnome.com/channel/dancingwulf/stream/34845181168","90","270","3","6","0","0","5","2","Unlisted on Twitch"
"47","Tuesday 9th July 2019 17:37","https://sullygnome.com/channel/dancingwulf/stream/34840471232","398","1592","4","8","0","0","27","4","Retro"
"48","Tuesday 9th July 2019 10:45","https://sullygnome.com/channel/dancingwulf/stream/34836938768","120","0","0","1","0","0","4","1","Unlisted on Twitch"
"49","Monday 8th July 2019 20:30","https://sullygnome.com/channel/dancingwulf/stream/34830154464","195","585","3","6","0","0","11","3","Unlisted on Twitch"
"50","Monday 8th July 2019 10:35","https://sullygnome.com/channel/dancingwulf/stream/34824482560","400","1600","4","8","0","0","11","1","Retro,Unlisted on Twitch"
"51","Sunday 7th July 2019 14:30","https://sullygnome.com/channel/dancingwulf/stream/34814016960","225","900","4","10","0","0","14","3","Alien: Isolation"
"52","Sunday 7th July 2019 08:30","https://sullygnome.com/channel/dancingwulf/stream/34811443872","285","570","2","4","0","0","5","1","Unlisted on Twitch"
"53","Saturday 6th July 2019 21:00","https://sullygnome.com/channel/dancingwulf/stream/34805613456","180","360","2","4","0","0","9","2","Unlisted on Twitch"
"54","Saturday 6th July 2019 10:29","https://sullygnome.com/channel/dancingwulf/stream/34799671792","346","1730","5","8","2","0","20","3","Sleeping Dogs"
"55","Friday 5th July 2019 23:46","https://sullygnome.com/channel/dancingwulf/stream/34794743712","284","568","2","4","0","0","7","1","Unlisted on Twitch"
"56","Wednesday 3rd July 2019 21:15","https://sullygnome.com/channel/dancingwulf/stream/34768930288","240","240","1","3","0","0","6","1","Unlisted on Twitch"
"57","Tuesday 2nd July 2019 22:15","https://sullygnome.com/channel/dancingwulf/stream/34757246256","975","975","1","5","1","0","25","1","Unlisted on Twitch"
"58","Tuesday 2nd July 2019 08:44","https://sullygnome.com/channel/dancingwulf/stream/34749916448","376","1128","3","9","0","0","8","1","Unlisted on Twitch"
"59","Monday 1st July 2019 16:09","https://sullygnome.com/channel/dancingwulf/stream/34738010048","396","1980","5","13","2","0","30","2","Retro,Unlisted on Twitch,Resident Evil 2"
