"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 16:00","https://sullygnome.com/channel/darax_live/stream/35112302896","270","540","2","6","0","0","10","2","Tom Clancy's The Division 2"
"2","Tuesday 30th July 2019 22:15","https://sullygnome.com/channel/darax_live/stream/35103354672","0","0","3","3","0","0","0","0","Unlisted on Twitch"
"3","Tuesday 30th July 2019 16:01","https://sullygnome.com/channel/darax_live/stream/35099121680","269","807","3","10","1","0","31","6","Astellia,Just Chatting,Tom Clancy's The Division 2"
"4","Monday 29th July 2019 16:00","https://sullygnome.com/channel/darax_live/stream/35086501824","165","165","1","2","0","0","6","2","Tom Clancy's The Division 2"
"5","Sunday 28th July 2019 19:00","https://sullygnome.com/channel/darax_live/stream/35076153824","135","405","3","6","0","0","5","2","Tom Clancy's The Division 2"
"6","Sunday 28th July 2019 18:00","https://sullygnome.com/channel/darax_live/stream/35076054432","0","0","1","1","0","0","0","0","Tom Clancy's The Division 2"
"7","Sunday 28th July 2019 12:00","https://sullygnome.com/channel/darax_live/stream/35072917168","195","390","2","5","1","0","10","2","Tom Clancy's The Division 2"
"8","Saturday 27th July 2019 18:30","https://sullygnome.com/channel/darax_live/stream/35064209504","165","495","3","7","0","0","11","3","Tom Clancy's The Division 2"
"9","Saturday 27th July 2019 12:00","https://sullygnome.com/channel/darax_live/stream/35061109664","240","240","1","3","-1","0","11","2","Tom Clancy's The Division 2"
"10","Friday 26th July 2019 18:29","https://sullygnome.com/channel/darax_live/stream/35052574160","181","543","3","6","1","0","14","4","Tom Clancy's The Division 2"
"11","Friday 26th July 2019 16:30","https://sullygnome.com/channel/darax_live/stream/35051341936","105","210","2","4","0","0","9","4","Tom Clancy's The Division 2"
"12","Friday 26th July 2019 13:01","https://sullygnome.com/channel/darax_live/stream/35049620704","104","208","2","4","0","0","13","6","Tom Clancy's The Division 2"
"13","Thursday 25th July 2019 20:15","https://sullygnome.com/channel/darax_live/stream/35041565632","75","150","2","3","0","0","5","3","Tom Clancy's The Division 2"
"14","Thursday 25th July 2019 16:00","https://sullygnome.com/channel/darax_live/stream/35039004256","210","420","2","4","0","0","9","2","Tom Clancy's The Division 2"
"15","Wednesday 24th July 2019 18:30","https://sullygnome.com/channel/darax_live/stream/35028343472","120","240","2","5","0","0","11","4","Tom Clancy's The Division 2"
"16","Wednesday 24th July 2019 16:15","https://sullygnome.com/channel/darax_live/stream/35026896272","105","420","4","6","-1","0","21","10","Tom Clancy's The Division 2"
"17","Tuesday 23rd July 2019 16:00","https://sullygnome.com/channel/darax_live/stream/35014523408","195","780","4","9","0","0","43","12","Killsquad,Pagan: Absent Gods"
"18","Monday 22nd July 2019 16:00","https://sullygnome.com/channel/darax_live/stream/35002093968","330","2970","9","14","1","0","124","21","Killsquad"
"19","Sunday 21st July 2019 17:59","https://sullygnome.com/channel/darax_live/stream/34991578592","256","2816","11","32","4","0","170","37","Killsquad"
"20","Sunday 21st July 2019 11:58","https://sullygnome.com/channel/darax_live/stream/34988306080","227","908","4","7","-1","0","48","12","Killsquad"
"21","Saturday 20th July 2019 17:53","https://sullygnome.com/channel/darax_live/stream/34978952192","247","1976","8","13","1","0","60","14","Killsquad"
"22","Saturday 20th July 2019 12:00","https://sullygnome.com/channel/darax_live/stream/34974938096","240","720","3","10","1","0","34","8","Killsquad"
"23","Friday 19th July 2019 18:52","https://sullygnome.com/channel/darax_live/stream/34966130816","218","654","3","7","0","0","9","2","Killsquad"
"24","Thursday 18th July 2019 16:00","https://sullygnome.com/channel/darax_live/stream/34951737984","300","900","3","7","0","0","34","6","Killsquad"
"25","Wednesday 17th July 2019 16:00","https://sullygnome.com/channel/darax_live/stream/34939179728","330","1320","4","9","-1","0","57","9","Killsquad"
"26","Tuesday 16th July 2019 15:59","https://sullygnome.com/channel/darax_live/stream/34926543792","346","2076","6","10","4","0","92","15","Pagan: Absent Gods,Killsquad"
"27","Monday 15th July 2019 15:58","https://sullygnome.com/channel/darax_live/stream/34914080912","242","1452","6","10","2","0","44","11","Pagan: Absent Gods"
"28","Sunday 14th July 2019 18:11","https://sullygnome.com/channel/darax_live/stream/34903533472","184","1104","6","8","1","0","44","13","Pagan: Absent Gods"
"29","Sunday 14th July 2019 10:12","https://sullygnome.com/channel/darax_live/stream/34899360384","348","2088","6","10","0","0","49","8","Pagan: Absent Gods"
"30","Friday 12th July 2019 18:00","https://sullygnome.com/channel/darax_live/stream/34878219680","240","960","4","7","-1","0","26","6","Pagan: Absent Gods"
"31","Friday 12th July 2019 13:15","https://sullygnome.com/channel/darax_live/stream/34875431248","165","1485","9","14","0","0","42","14","Pagan: Absent Gods"
