"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 23:26","https://sullygnome.com/channel/datdirtytaco/stream/35104255952","244","3904","16","20","4","0","50","11","Dead by Daylight,Minecraft"
"2","Sunday 28th July 2019 22:54","https://sullygnome.com/channel/datdirtytaco/stream/35079187856","726","8712","12","23","7","0","117","9","Minecraft,Tom Clancy's Rainbow Six Siege,Just Chatting,Teamfight Tactics,Dead by Daylight"
"3","Saturday 27th July 2019 22:52","https://sullygnome.com/channel/datdirtytaco/stream/35067218624","293","3809","13","17","1","0","45","9","Minecraft"
"4","Friday 26th July 2019 01:49","https://sullygnome.com/channel/datdirtytaco/stream/35045303808","116","1392","12","16","4","2","30","15","Tom Clancy's Rainbow Six Siege,Portal"
"5","Thursday 25th July 2019 23:22","https://sullygnome.com/channel/datdirtytaco/stream/35043749408","113","1243","11","16","2","1","22","11","Minecraft"
"6","Wednesday 24th July 2019 23:21","https://sullygnome.com/channel/datdirtytaco/stream/35031664368","174","2262","13","23","4","1","27","9","Minecraft"
"7","Wednesday 24th July 2019 03:27","https://sullygnome.com/channel/datdirtytaco/stream/35021985792","123","2337","19","29","6","2","28","12","Minecraft"
"8","Monday 15th July 2019 01:41","https://sullygnome.com/channel/datdirtytaco/stream/34908349312","229","2519","11","19","2","0","29","8","Portal 2,League of Legends"
"9","Sunday 14th July 2019 22:54","https://sullygnome.com/channel/datdirtytaco/stream/34906716096","141","2256","16","26","1","0","32","12","Just Chatting,Portal"
"10","Saturday 13th July 2019 23:05","https://sullygnome.com/channel/datdirtytaco/stream/34894313200","295","4425","15","27","16","3","61","12","Just Chatting,Tom Clancy's Rainbow Six Siege,UNO"
"11","Thursday 11th July 2019 23:34","https://sullygnome.com/channel/datdirtytaco/stream/34869543600","221","2652","12","19","8","2","56","14","Katana ZERO,Tom Clancy's Rainbow Six Siege,Teamfight Tactics"
"12","Tuesday 9th July 2019 22:51","https://sullygnome.com/channel/datdirtytaco/stream/34844130256","129","2193","17","21","5","2","32","14","Katana ZERO"
"13","Sunday 7th July 2019 23:19","https://sullygnome.com/channel/datdirtytaco/stream/34819712304","251","3514","14","20","16","3","51","12","Katana ZERO,Teamfight Tactics"
"14","Sunday 7th July 2019 04:08","https://sullygnome.com/channel/datdirtytaco/stream/34809863040","127","1651","13","22","2","0","11","4","Tom Clancy's Rainbow Six Siege,Dead by Daylight"
"15","Thursday 4th July 2019 22:47","https://sullygnome.com/channel/datdirtytaco/stream/34782488784","178","1246","7","11","2","0","27","8","Just Chatting,Outlast,Dead by Daylight"
"16","Tuesday 2nd July 2019 23:22","https://sullygnome.com/channel/datdirtytaco/stream/34758084368","218","2398","11","25","6","1","54","14","Tom Clancy's Rainbow Six Siege,UNO"
