"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:41","https://sullygnome.com/channel/davedarko/stream/35113397328","124","1612","13","25","1","0","66","29","Tekken 7"
"2","Tuesday 30th July 2019 17:43","https://sullygnome.com/channel/davedarko/stream/35100234896","122","854","7","11","0","0","36","16","Silent Hill"
"3","Tuesday 30th July 2019 12:29","https://sullygnome.com/channel/davedarko/stream/35097331552","136","1088","8","19","0","0","50","20","Unlisted on Twitch,Tekken 7"
"4","Monday 29th July 2019 17:45","https://sullygnome.com/channel/davedarko/stream/35087553072","120","1200","10","17","1","0","29","12","Tekken 7"
"5","Monday 29th July 2019 12:30","https://sullygnome.com/channel/davedarko/stream/35084734208","120","960","8","14","5","2","52","23","Teppen,Marbles on Stream"
"6","Friday 26th July 2019 12:30","https://sullygnome.com/channel/davedarko/stream/35049400912","105","1050","10","14","0","0","32","16","Unlisted on Twitch,Tekken 7"
"7","Thursday 25th July 2019 17:41","https://sullygnome.com/channel/davedarko/stream/35040018384","169","1690","10","16","1","0","51","17","Tekken 7"
"8","Thursday 25th July 2019 12:30","https://sullygnome.com/channel/davedarko/stream/35037338288","135","540","4","7","-1","0","36","14","Kenshi"
"9","Wednesday 24th July 2019 18:27","https://sullygnome.com/channel/davedarko/stream/35027816064","78","936","12","16","1","0","33","16","Tekken 7"
"10","Tuesday 23rd July 2019 17:41","https://sullygnome.com/channel/davedarko/stream/35015582432","154","924","6","11","-1","0","32","11","Tekken 7"
"11","Tuesday 23rd July 2019 12:27","https://sullygnome.com/channel/davedarko/stream/35012812592","33","264","8","11","0","0","12","16","Tekken 7"
"12","Monday 22nd July 2019 17:40","https://sullygnome.com/channel/davedarko/stream/35003116672","125","1375","11","15","2","1","24","13","Tekken 7"
"13","Friday 19th July 2019 17:39","https://sullygnome.com/channel/davedarko/stream/34965251952","141","846","6","9","0","0","18","7","For Honor"
"14","Friday 19th July 2019 12:45","https://sullygnome.com/channel/davedarko/stream/34962530112","150","1200","8","14","0","0","51","18","Tekken 7"
"15","Thursday 18th July 2019 17:41","https://sullygnome.com/channel/davedarko/stream/34952796592","139","1390","10","16","0","0","27","10","Tekken 7"
"16","Thursday 18th July 2019 12:30","https://sullygnome.com/channel/davedarko/stream/34950005344","45","315","7","7","0","0","11","11","Just Chatting"
"17","Wednesday 17th July 2019 17:45","https://sullygnome.com/channel/davedarko/stream/34940281200","120","1080","9","20","2","0","60","26","Tekken 7"
"18","Tuesday 16th July 2019 17:42","https://sullygnome.com/channel/davedarko/stream/34927644576","123","3198","26","31","1","0","392","174","Visage"
"19","Tuesday 16th July 2019 12:38","https://sullygnome.com/channel/davedarko/stream/34924799376","112","3024","27","34","1","0","546","242","Tekken 7,Unlisted on Twitch"
"20","Monday 15th July 2019 17:40","https://sullygnome.com/channel/davedarko/stream/34915161552","140","4760","34","43","0","0","504","201","Tekken 7"
"21","Saturday 13th July 2019 08:55","https://sullygnome.com/channel/davedarko/stream/34886546960","725","23925","33","47","13","1","3202","261","Immortal Redneck,FINAL FANTASY XV,Portal 2,Marbles on Stream,Tekken 7,Visage"
"22","Friday 12th July 2019 12:30","https://sullygnome.com/channel/davedarko/stream/34875187184","120","4560","38","52","4","1","592","263","Tekken 7"
"23","Thursday 11th July 2019 17:40","https://sullygnome.com/channel/davedarko/stream/34865519232","140","5180","37","53","-1","0","565","251","Tekken 7"
"24","Wednesday 10th July 2019 17:55","https://sullygnome.com/channel/davedarko/stream/34853071392","110","3520","32","43","1","0","421","187","Tekken 7"
"25","Tuesday 9th July 2019 19:30","https://sullygnome.com/channel/davedarko/stream/34841852048","0","0","23","25","0","0","139","556","Visage"
"26","Tuesday 9th July 2019 18:08","https://sullygnome.com/channel/davedarko/stream/34840858848","52","1456","28","39","0","0","398","530","Visage"
"27","Tuesday 9th July 2019 18:00","https://sullygnome.com/channel/davedarko/stream/34840513168","0","0","31","39","0","0","163","652","Visage"
"28","Tuesday 9th July 2019 13:06","https://sullygnome.com/channel/davedarko/stream/34837934224","114","4218","37","43","1","0","391","195","Tekken 7"
"29","Tuesday 9th July 2019 12:45","https://sullygnome.com/channel/davedarko/stream/34837751184","0","0","15","15","0","0","0","0","Tekken 7"
"30","Monday 8th July 2019 17:41","https://sullygnome.com/channel/davedarko/stream/34828035408","139","2780","20","44","2","0","582","232","Tekken 7"
"31","Monday 8th July 2019 12:26","https://sullygnome.com/channel/davedarko/stream/34825190464","154","4004","26","35","0","0","630","229","FINAL FANTASY XIV ONLINE"
"32","Saturday 6th July 2019 13:25","https://sullygnome.com/channel/davedarko/stream/34800911584","125","4125","33","43","4","1","531","236","Tekken 7"
"33","Friday 5th July 2019 17:40","https://sullygnome.com/channel/davedarko/stream/34790614352","125","3625","29","38","0","0","550","244","Tekken 7"
"34","Thursday 4th July 2019 17:41","https://sullygnome.com/channel/davedarko/stream/34779195392","109","4251","39","46","0","0","517","258","Tekken 7"
"35","Wednesday 3rd July 2019 17:40","https://sullygnome.com/channel/davedarko/stream/34766726992","140","5040","36","42","2","0","603","268","Tekken 7"
"36","Tuesday 2nd July 2019 17:45","https://sullygnome.com/channel/davedarko/stream/34754056656","60","1860","31","37","1","0","278","222","FINAL FANTASY XV"
"37","Tuesday 2nd July 2019 12:26","https://sullygnome.com/channel/davedarko/stream/34751164128","154","6006","39","43","1","0","747","271","Tekken 7"
"38","Monday 1st July 2019 17:40","https://sullygnome.com/channel/davedarko/stream/34741750048","125","5000","40","49","1","0","644","286","Tekken 7"
