"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto: San Andreas","1170","11820","9","24","265","13.589743"
"2","Half-Life","180","1140","4","9","15","5"
"3","Team Fortress 2","180","1350","6","10","24","8"
"4","Resident Evil 4","165","1380","8","11","17","6.181818"
"5","Sea of Thieves","120","615","5","7","6","3"
"6","Marvel's Spider-Man","120","705","6","7","2","1"
"7","Super Mario Maker 2","75","495","6","9","7","5.6"
"8","Retro","45","120","2","3","5","6.666666"
"9","Just Chatting","30","285","9","10","4","8"
"10","TETRIS 99","30","195","6","7","3","6"
