"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 06:05","https://sullygnome.com/channel/depick/stream/35108283920","100","500","5","6","0","0","8","4","Minecraft,Sea of Thieves,Hunt: Showdown"
"2","Tuesday 30th July 2019 04:09","https://sullygnome.com/channel/depick/stream/35094452000","186","558","3","5","0","0","10","3","Minecraft,League of Legends"
"3","Monday 29th July 2019 04:28","https://sullygnome.com/channel/depick/stream/35082191712","227","454","2","5","0","0","17","4","League of Legends,Teamfight Tactics,Overwatch,Sea of Thieves"
"4","Saturday 27th July 2019 05:30","https://sullygnome.com/channel/depick/stream/35059005808","150","600","4","6","2","0","33","12","League of Legends,Sea of Thieves,Minecraft"
"5","Friday 26th July 2019 06:26","https://sullygnome.com/channel/depick/stream/35047480176","259","1813","7","13","3","0","30","6","League of Legends,Raft"
"6","Tuesday 23rd July 2019 06:45","https://sullygnome.com/channel/depick/stream/35010928816","30","60","2","3","0","0","10","13","League of Legends"
"7","Monday 22nd July 2019 05:50","https://sullygnome.com/channel/depick/stream/34998342256","145","1015","7","12","1","0","27","10","League of Legends"
"8","Sunday 21st July 2019 06:45","https://sullygnome.com/channel/depick/stream/34986577712","15","15","1","2","0","0","0","0","League of Legends"
"9","Saturday 20th July 2019 06:05","https://sullygnome.com/channel/depick/stream/34972915648","325","2925","9","13","5","0","23","4","League of Legends"
"10","Thursday 18th July 2019 06:45","https://sullygnome.com/channel/depick/stream/34948101584","0","0","2","2","0","0","0","0","League of Legends"
"11","Monday 15th July 2019 20:45","https://sullygnome.com/channel/depick/stream/34917286848","375","1875","5","8","3","0","25","3","League of Legends,Teamfight Tactics"
"12","Saturday 13th July 2019 01:56","https://sullygnome.com/channel/depick/stream/34883474240","439","2634","6","10","9","1","34","4","Apex Legends,League of Legends,Teamfight Tactics,Just Chatting"
"13","Friday 12th July 2019 07:11","https://sullygnome.com/channel/depick/stream/34873476688","184","1104","6","9","0","0","27","8","League of Legends,Human: Fall Flat,Hunt: Showdown,Just Chatting,Twitch Sings"
"14","Thursday 11th July 2019 06:15","https://sullygnome.com/channel/depick/stream/34860652128","90","360","4","8","1","0","9","5","League of Legends"
"15","Wednesday 10th July 2019 07:15","https://sullygnome.com/channel/depick/stream/34848466016","150","750","5","7","0","0","16","5","Raft"
"16","Tuesday 9th July 2019 04:23","https://sullygnome.com/channel/depick/stream/34834943120","307","921","3","7","2","0","29","6","League of Legends,Ultimate Epic Battle Simulator,Raft"
"17","Tuesday 9th July 2019 00:15","https://sullygnome.com/channel/depick/stream/34832293600","0","0","0","0","0","0","0","0","Team Fortress 2"
"18","Saturday 6th July 2019 07:15","https://sullygnome.com/channel/depick/stream/34798500208","210","1050","5","7","2","0","21","5","League of Legends,Team Fortress 2"
"19","Thursday 4th July 2019 05:16","https://sullygnome.com/channel/depick/stream/34773959840","314","1884","6","13","5","0","26","4","League of Legends"
