"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:29","https://sullygnome.com/channel/deabba/stream/35113994560","256","5888","23","48","11","2","218","48","Just Chatting,Dying Light"
"2","Monday 29th July 2019 18:31","https://sullygnome.com/channel/deabba/stream/35088179792","239","4302","18","26","8","1","110","25","Just Chatting,Dauntless,The Sims 4"
"3","Saturday 27th July 2019 18:30","https://sullygnome.com/channel/deabba/stream/35064520784","210","3360","16","21","8","2","114","30","Just Chatting,Grand Theft Auto V,The Sims 4"
"4","Friday 26th July 2019 18:31","https://sullygnome.com/channel/deabba/stream/35052591024","269","6725","25","33","9","2","135","30","Just Chatting,Alien: Isolation"
"5","Wednesday 24th July 2019 18:32","https://sullygnome.com/channel/deabba/stream/35028420000","253","6072","24","40","11","2","159","35","Just Chatting,Alien: Isolation"
"6","Monday 22nd July 2019 18:38","https://sullygnome.com/channel/deabba/stream/35003822176","247","7410","30","43","13","3","173","46","Alien: Isolation"
"7","Sunday 21st July 2019 17:01","https://sullygnome.com/channel/deabba/stream/34990927680","209","5016","24","32","6","1","136","38","Just Chatting"
"8","Saturday 20th July 2019 18:32","https://sullygnome.com/channel/deabba/stream/34979609088","358","7160","20","26","15","2","134","22","Just Chatting,The Sims 4"
"9","Friday 19th July 2019 18:30","https://sullygnome.com/channel/deabba/stream/34965855888","285","5985","21","37","11","2","155","32","Just Chatting,Alien: Isolation"
"10","Wednesday 17th July 2019 18:30","https://sullygnome.com/channel/deabba/stream/34940876528","225","5400","24","30","6","1","104","27","Just Chatting,Alien: Isolation"
"11","Monday 15th July 2019 18:31","https://sullygnome.com/channel/deabba/stream/34915786448","209","5016","24","31","7","2","102","29","Just Chatting,Alien: Isolation"
"12","Saturday 13th July 2019 18:30","https://sullygnome.com/channel/deabba/stream/34891286608","135","2295","17","22","2","0","62","27","Just Chatting,skribbl.io"
"13","Friday 12th July 2019 18:30","https://sullygnome.com/channel/deabba/stream/34878582272","225","4500","20","26","13","3","119","31","Just Chatting"
"14","Wednesday 10th July 2019 18:31","https://sullygnome.com/channel/deabba/stream/34853676560","194","2716","14","21","13","3","85","24","Just Chatting,Getting Over It with Bennett Foddy"
"15","Monday 8th July 2019 18:31","https://sullygnome.com/channel/deabba/stream/34828643744","224","3808","17","36","11","2","97","25","Just Chatting,Mass Effect"
"16","Tuesday 2nd July 2019 20:56","https://sullygnome.com/channel/deabba/stream/34756491664","79","6399","81","180","3","3","385","385","Just Chatting"
"17","Tuesday 2nd July 2019 19:05","https://sullygnome.com/channel/deabba/stream/34755158768","100","2300","23","30","4","2","69","39","Just Chatting"
