"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:49","https://sullygnome.com/channel/deadacebs/stream/35116378576","41","902","22","33","0","0","29","38","Street Fighter V"
"2","Wednesday 31st July 2019 20:47","https://sullygnome.com/channel/deadacebs/stream/35115688672","43","1075","25","28","1","2","0","0","Street Fighter V"
"3","Friday 26th July 2019 00:04","https://sullygnome.com/channel/deadacebs/stream/35044189600","371","13356","36","63","18","2","267","42","Street Fighter V"
"4","Thursday 25th July 2019 05:21","https://sullygnome.com/channel/deadacebs/stream/35035066160","69","1449","21","28","3","2","58","46","Street Fighter V"
"5","Wednesday 24th July 2019 05:26","https://sullygnome.com/channel/deadacebs/stream/35022870560","139","4587","33","49","9","3","101","40","Street Fighter V"
"6","Tuesday 23rd July 2019 21:19","https://sullygnome.com/channel/deadacebs/stream/35018159680","71","1207","17","27","0","0","34","27","Street Fighter V"
"7","Thursday 18th July 2019 22:38","https://sullygnome.com/channel/deadacebs/stream/34956215712","337","14491","43","68","15","2","302","52","Street Fighter V"
"8","Wednesday 17th July 2019 05:40","https://sullygnome.com/channel/deadacebs/stream/34935171936","95","2660","28","36","2","1","58","38","Street Fighter V"
"9","Tuesday 16th July 2019 05:35","https://sullygnome.com/channel/deadacebs/stream/34922520736","130","4550","35","43","7","3","95","42","Street Fighter V"
"10","Monday 15th July 2019 20:55","https://sullygnome.com/channel/deadacebs/stream/34917500592","95","3230","34","45","4","2","78","52","Street Fighter V"
"11","Saturday 13th July 2019 05:52","https://sullygnome.com/channel/deadacebs/stream/34885524608","53","636","12","14","1","1","23","23","SAMURAI SHODOWN"
"12","Friday 12th July 2019 05:57","https://sullygnome.com/channel/deadacebs/stream/34873078512","93","2232","24","35","0","0","60","34","Street Fighter V,SAMURAI SHODOWN"
"13","Thursday 11th July 2019 21:08","https://sullygnome.com/channel/deadacebs/stream/34868003392","82","1640","20","28","-1","0","54","43","Street Fighter V"
"14","Wednesday 10th July 2019 19:46","https://sullygnome.com/channel/deadacebs/stream/34854603520","164","3936","24","35","8","2","70","25","Street Fighter V"
"15","Wednesday 10th July 2019 04:33","https://sullygnome.com/channel/deadacebs/stream/34843951056","72","720","10","25","5","0","153","21","SAMURAI SHODOWN"
"16","Tuesday 9th July 2019 05:43","https://sullygnome.com/channel/deadacebs/stream/34835467328","107","1605","15","23","2","1","44","25","SAMURAI SHODOWN"
"17","Saturday 6th July 2019 06:38","https://sullygnome.com/channel/deadacebs/stream/34798359088","67","536","8","11","-3","-2","30","24","SAMURAI SHODOWN"
"18","Friday 5th July 2019 21:15","https://sullygnome.com/channel/deadacebs/stream/34792855664","90","2610","29","36","0","0","88","50","SAMURAI SHODOWN"
"19","Friday 5th July 2019 07:15","https://sullygnome.com/channel/deadacebs/stream/34786093472","0","0","17","17","0","0","0","0","SAMURAI SHODOWN"
"20","Friday 5th July 2019 06:00","https://sullygnome.com/channel/deadacebs/stream/34785740976","45","585","13","26","-1","-1","8","8","SAMURAI SHODOWN"
"21","Thursday 4th July 2019 00:10","https://sullygnome.com/channel/deadacebs/stream/34771121024","380","6460","17","24","6","0","176","28","SAMURAI SHODOWN,Street Fighter V"
"22","Wednesday 3rd July 2019 06:09","https://sullygnome.com/channel/deadacebs/stream/34761796144","81","972","12","17","1","0","30","20","SAMURAI SHODOWN"
"23","Tuesday 2nd July 2019 21:49","https://sullygnome.com/channel/deadacebs/stream/34757090512","56","1512","27","37","1","1","32","32","SAMURAI SHODOWN"
