"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 22:34","https://sullygnome.com/channel/deathwing_duck/stream/35116870800","281","2529","9","13","1","0","34","7","DOOM 64,DOOM II: Hell on Earth"
"2","Tuesday 30th July 2019 22:34","https://sullygnome.com/channel/deathwing_duck/stream/35103674480","311","2177","7","17","1","0","23","4","DOOM 64,Resident Evil Outbreak File #2"
"3","Monday 29th July 2019 22:37","https://sullygnome.com/channel/deathwing_duck/stream/35091049040","338","1690","5","13","1","0","24","4","AMID EVIL,Dead by Daylight"
"4","Tuesday 23rd July 2019 22:15","https://sullygnome.com/channel/deathwing_duck/stream/35018677152","195","975","5","10","1","0","15","4","Dead by Daylight"
"5","Monday 22nd July 2019 22:54","https://sullygnome.com/channel/deathwing_duck/stream/35006736784","141","564","4","7","0","0","8","3","AMID EVIL"
"6","Friday 19th July 2019 22:45","https://sullygnome.com/channel/deathwing_duck/stream/34968703536","165","825","5","9","0","0","11","3","AMID EVIL"
"7","Wednesday 17th July 2019 21:30","https://sullygnome.com/channel/deathwing_duck/stream/34943022784","240","1440","6","9","0","0","18","4","Dead by Daylight,Sunset Overdrive,AMID EVIL"
"8","Tuesday 16th July 2019 22:56","https://sullygnome.com/channel/deathwing_duck/stream/34931312496","259","1554","6","12","0","0","19","4","DOOM II: Hell on Earth"
"9","Monday 15th July 2019 22:49","https://sullygnome.com/channel/deathwing_duck/stream/34918719312","251","1757","7","14","0","0","23","5","DOOM II: Hell on Earth"
"10","Sunday 14th July 2019 22:35","https://sullygnome.com/channel/deathwing_duck/stream/34906539424","160","640","4","7","1","0","4","1","Dead by Daylight"
"11","Friday 12th July 2019 22:30","https://sullygnome.com/channel/deathwing_duck/stream/34881357232","180","720","4","7","0","0","9","3","DOOM II: Hell on Earth"
"12","Thursday 11th July 2019 22:36","https://sullygnome.com/channel/deathwing_duck/stream/34868930320","174","522","3","7","1","0","7","2","Hedon,DOOM II: Hell on Earth"
"13","Wednesday 10th July 2019 22:45","https://sullygnome.com/channel/deathwing_duck/stream/34856441152","165","825","5","10","0","0","14","4","Hedon"
"14","Tuesday 9th July 2019 23:15","https://sullygnome.com/channel/deathwing_duck/stream/34844326272","210","630","3","6","0","0","18","4","Dead by Daylight"
"15","Friday 5th July 2019 22:30","https://sullygnome.com/channel/deathwing_duck/stream/34793941264","75","75","1","2","0","0","4","2","Hedon"
"16","Thursday 4th July 2019 22:45","https://sullygnome.com/channel/deathwing_duck/stream/34782341520","105","210","2","3","0","0","2","1","Dead by Daylight"
"17","Wednesday 3rd July 2019 22:30","https://sullygnome.com/channel/deathwing_duck/stream/34770102272","270","1350","5","9","1","0","15","3","Hedon"
"18","Tuesday 2nd July 2019 22:30","https://sullygnome.com/channel/deathwing_duck/stream/34757521584","120","720","6","10","0","0","21","9","DOOM II: Hell on Earth"
"19","Monday 1st July 2019 22:56","https://sullygnome.com/channel/deathwing_duck/stream/34745315072","259","2590","10","16","1","0","20","4","DOOM II: Hell on Earth"
