"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 00:15","https://sullygnome.com/channel/derpn4awhile/stream/35079930320","135","405","3","5","1","0","13","5","Apex Legends"
"2","Thursday 25th July 2019 21:27","https://sullygnome.com/channel/derpn4awhile/stream/35042571568","228","912","4","8","6","1","36","9","Apex Legends,Tom Clancy's Rainbow Six Siege"
"3","Sunday 21st July 2019 23:34","https://sullygnome.com/channel/derpn4awhile/stream/34995205088","371","1113","3","7","1","0","35","5","Apex Legends,Tom Clancy's Rainbow Six Siege"
"4","Thursday 18th July 2019 20:26","https://sullygnome.com/channel/derpn4awhile/stream/34954795776","289","1734","6","12","3","0","38","8","Tom Clancy's Rainbow Six Siege"
"5","Monday 15th July 2019 19:30","https://sullygnome.com/channel/derpn4awhile/stream/34916265504","105","210","2","3","1","0","11","5","Apex Legends,Battlefield V"
"6","Saturday 13th July 2019 23:25","https://sullygnome.com/channel/derpn4awhile/stream/34894502528","500","3000","6","13","6","0","66","8","Battlefield V,Tom Clancy's Rainbow Six Siege"
"7","Friday 12th July 2019 22:28","https://sullygnome.com/channel/derpn4awhile/stream/34881334992","302","1510","5","9","1","0","30","6","Battlefield V,Tom Clancy's Rainbow Six Siege"
"8","Thursday 11th July 2019 21:13","https://sullygnome.com/channel/derpn4awhile/stream/34868060816","152","1216","8","17","3","1","43","15","Tom Clancy's Rainbow Six Siege"
"9","Thursday 11th July 2019 19:30","https://sullygnome.com/channel/derpn4awhile/stream/34866826656","15","45","3","5","1","2","0","0","Battlefield V"
"10","Monday 8th July 2019 18:25","https://sullygnome.com/channel/derpn4awhile/stream/34828573632","245","1225","5","8","0","0","29","7","Battlefield V,Tom Clancy's Rainbow Six Siege"
"11","Friday 5th July 2019 21:24","https://sullygnome.com/channel/derpn4awhile/stream/34793253584","126","252","2","4","1","0","16","8","Tom Clancy's Rainbow Six Siege,Rust"
"12","Wednesday 3rd July 2019 23:32","https://sullygnome.com/channel/derpn4awhile/stream/34770730896","238","952","4","9","2","0","32","7","Tom Clancy's Rainbow Six Siege,PUBG: BATTLEGROUNDS"
