"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 18:45","https://sullygnome.com/channel/devil2u/stream/35076398544","0","0","1","1","0","0","0","0","Quake Champions"
"2","Sunday 28th July 2019 04:00","https://sullygnome.com/channel/devil2u/stream/35069989280","30","0","0","0","0","0","0","0","Quake Champions"
"3","Saturday 27th July 2019 22:15","https://sullygnome.com/channel/devil2u/stream/35066906256","0","0","0","0","0","0","0","0","Quake Champions"
"4","Friday 26th July 2019 23:45","https://sullygnome.com/channel/devil2u/stream/35055719648","300","0","0","2","0","0","5","0","Quake Champions,Just Chatting"
"5","Friday 26th July 2019 01:45","https://sullygnome.com/channel/devil2u/stream/35045208544","0","0","1","3","0","0","0","0","Quake Champions"
"6","Friday 26th July 2019 00:45","https://sullygnome.com/channel/devil2u/stream/35044626032","30","30","1","3","0","0","8","10","Quake Champions"
"7","Sunday 14th July 2019 10:00","https://sullygnome.com/channel/devil2u/stream/34899206672","30","30","1","1","0","0","3","4","Quake Champions,PlanetSide 2"
"8","Sunday 14th July 2019 00:30","https://sullygnome.com/channel/devil2u/stream/34894937952","90","90","1","2","0","0","7","4","PlanetSide 2"
"9","Saturday 13th July 2019 08:00","https://sullygnome.com/channel/devil2u/stream/34886209104","255","255","1","4","0","0","25","5","Quake Champions,PlanetSide 2,Poker Night 2,Poker Night at the Inventory"
"10","Sunday 7th July 2019 00:00","https://sullygnome.com/channel/devil2u/stream/34807485056","195","390","2","8","0","0","4","1","PlanetSide 2"
"11","Friday 5th July 2019 05:28","https://sullygnome.com/channel/devil2u/stream/34785565200","272","816","3","5","1","0","27","5","PlanetSide 2,Quake Champions,Poker Night 2"
"12","Thursday 4th July 2019 06:45","https://sullygnome.com/channel/devil2u/stream/34774479920","270","270","1","3","1","0","15","3","Quake Champions,PlanetSide 2"
"13","Wednesday 3rd July 2019 07:30","https://sullygnome.com/channel/devil2u/stream/34762172304","120","120","1","4","0","0","11","4","PlanetSide 2"
