"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 14:45","https://sullygnome.com/channel/doormonstertv/stream/35098433296","195","780","4","9","2","0","31","8","Magic: The Gathering"
"2","Saturday 27th July 2019 20:15","https://sullygnome.com/channel/doormonstertv/stream/35065573760","30","150","5","6","0","0","6","8","Magic: The Gathering"
"3","Thursday 25th July 2019 15:15","https://sullygnome.com/channel/doormonstertv/stream/35038565824","120","240","2","4","1","0","10","4","Dota Underlords"
"4","Tuesday 23rd July 2019 15:01","https://sullygnome.com/channel/doormonstertv/stream/35014000272","164","984","6","9","0","0","21","7","Magic: The Gathering"
"5","Sunday 21st July 2019 16:20","https://sullygnome.com/channel/doormonstertv/stream/34990501712","130","390","3","6","0","0","28","12","Tower Unite"
"6","Sunday 14th July 2019 15:51","https://sullygnome.com/channel/doormonstertv/stream/34901997136","219","1095","5","11","1","0","37","9","Overcooked! 2,Human: Fall Flat"
"7","Saturday 13th July 2019 19:00","https://sullygnome.com/channel/doormonstertv/stream/34891682320","120","480","4","7","1","0","28","12","Magic: The Gathering"
"8","Thursday 11th July 2019 15:15","https://sullygnome.com/channel/doormonstertv/stream/34863965072","195","390","2","5","0","0","23","6","Dota Underlords,Dead by Daylight"
"9","Tuesday 9th July 2019 15:03","https://sullygnome.com/channel/doormonstertv/stream/34838906720","177","885","5","8","0","0","20","6","Magic: The Gathering"
"10","Sunday 7th July 2019 16:52","https://sullygnome.com/channel/doormonstertv/stream/34815353088","113","565","5","7","1","0","19","9","Magic: The Gathering"
"11","Thursday 4th July 2019 15:15","https://sullygnome.com/channel/doormonstertv/stream/34777599488","150","750","5","8","0","0","26","9","Teamfight Tactics"
"12","Tuesday 2nd July 2019 15:15","https://sullygnome.com/channel/doormonstertv/stream/34752530128","150","450","3","5","0","0","29","10","Dota Underlords"
