"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Minecraft","2340","14190","5","12","245","6.282051"
"2","Unlisted on Twitch","1560","4215","2","7","91","3.5"
"3","Beat Saber","1185","5925","4","19","205","10.379746"
"4","Far Cry 5","1050","2910","2","8","122","6.971428"
"5","Undead Development","900","3510","3","7","90","6"
"6","Just Chatting","480","2730","5","9","77","9.625"
"7","Ultimate Chicken Horse","435","1695","3","7","54","7.448275"
"8","Unturned","375","1725","4","10","84","13.44"
"9","Stronghold Legends","360","1230","3","5","37","6.166666"
"10","Astroneer","345","840","2","4","38","6.608695"
"11","Life is Feudal: Forest Village","315","840","2","5","30","5.714285"
"12","Euro Truck Simulator","300","675","1","6","21","4.2"
"13","Keep Talking and Nobody Explodes","300","1095","3","6","52","10.4"
"14","Postal 2","300","1500","4","7","15","3"
"15","Far Cry 4","255","780","2","5","14","3.294117"
"16","Team Fortress 2","225","825","4","7","28","7.466666"
"17","Euro Truck Simulator 2","195","600","3","5","6","1.846153"
"18","Fallout 4","150","975","6","28","19","7.6"
"19","Sid Meier's Civilization V: Gods & Kings","150","555","3","6","20","8"
"20","Tropico 5","150","315","1","4","15","6"
"21","Super Meat Boy","105","300","2","4","48","27.428571"
"22","Overwatch","90","270","2","4","8","5.333333"
"23","The Binding of Isaac: Repentance","90","330","3","5","5","3.333333"
"24","Slime Rancher","75","360","4","7","3","2.4"
"25","The Forest","75","285","3","6","6","4.8"
"26","Youtubers Life","45","60","1","2","5","6.666666"
"27","Bad North","45","105","2","3","6","8"
"28","Don't Starve Together","45","105","2","3","2","2.666666"
"29","LEGO The Hobbit","45","255","5","6","12","16"
"30","Tabletop Simulator","15","45","3","3","1","4"
"31","Party Hard","15","60","4","4","3","12"
"32","Totally Accurate Battle Simulator","15","75","5","5","3","12"
"33","The Binding of Isaac: Rebirth","15","30","2","2","0","0"
