"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 23:26","https://sullygnome.com/channel/effetw/stream/35091578352","109","1308","12","21","4","2","34","19","Fortnite"
"2","Saturday 27th July 2019 22:07","https://sullygnome.com/channel/effetw/stream/35066785488","68","272","4","6","0","0","2","2","Minecraft"
"3","Friday 26th July 2019 16:15","https://sullygnome.com/channel/effetw/stream/35050946384","120","600","5","9","2","0","21","9","Minecraft"
"4","Saturday 20th July 2019 20:34","https://sullygnome.com/channel/effetw/stream/34981064928","191","3056","16","21","6","1","134","41","Fortnite"
"5","Friday 19th July 2019 00:15","https://sullygnome.com/channel/effetw/stream/34956680224","60","420","7","11","1","0","22","17","Fortnite"
"6","Saturday 13th July 2019 18:45","https://sullygnome.com/channel/effetw/stream/34891018272","195","195","1","3","2","0","17","4","Fortnite"
"7","Thursday 11th July 2019 23:23","https://sullygnome.com/channel/effetw/stream/34869422304","112","896","8","15","3","1","26","13","Fortnite,Rocket League"
"8","Wednesday 10th July 2019 23:33","https://sullygnome.com/channel/effetw/stream/34857116064","117","468","4","8","4","1","31","13","Fortnite"
"9","Tuesday 9th July 2019 16:15","https://sullygnome.com/channel/effetw/stream/34839462432","45","315","7","9","2","2","5","5","Fortnite"
"10","Monday 8th July 2019 19:30","https://sullygnome.com/channel/effetw/stream/34829243808","30","120","4","5","0","0","2","2","Fortnite"
"11","Monday 8th July 2019 18:30","https://sullygnome.com/channel/effetw/stream/34828567008","15","105","7","8","0","0","0","0","Fortnite"
"12","Thursday 4th July 2019 23:30","https://sullygnome.com/channel/effetw/stream/34782854944","60","300","5","11","-2","-1","23","18","Fortnite"
"13","Wednesday 3rd July 2019 23:24","https://sullygnome.com/channel/effetw/stream/34770655152","126","1386","11","16","8","3","41","18","Fortnite"
