"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","3555","395940","112","240","16748","282.666666"
"2","Just Chatting","1665","157215","77","491","17508","630.918918"
"3","Resident Evil 2","675","26535","41","60","1572","139.733333"
"4","League of Legends","255","8190","32","49","382","89.882352"
"5","Fortnite","210","20715","89","117","1231","351.714285"
"6","Minecraft","150","5790","38","46","357","142.8"
"7","The Evil Within 2","135","8925","68","88","674","299.555555"
"8","Apex Legends","105","3435","35","60","278","158.857142"
"9","Rocket League","60","4275","65","90","259","259"
"10","The Crew 2","45","2685","59","68","337","449.333333"
"11","Unlisted on Twitch","15","600","40","40","51","204"
"12","Grand Theft Auto","15","1050","70","70","0","0"
