"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 20:45","https://sullygnome.com/channel/elfrikiamv/stream/35089631888","120","720","6","9","2","0","14","6","Just Chatting,Minecraft"
"2","Sunday 28th July 2019 23:20","https://sullygnome.com/channel/elfrikiamv/stream/35079449824","160","480","3","5","1","0","11","4","League of Legends,Minecraft"
"3","Sunday 28th July 2019 01:27","https://sullygnome.com/channel/elfrikiamv/stream/35068670944","123","492","4","8","0","0","3","1","League of Legends,Minecraft"
"4","Tuesday 23rd July 2019 21:01","https://sullygnome.com/channel/elfrikiamv/stream/35017960016","164","656","4","8","1","0","7","2","League of Legends,Wolfenstein II: The New Colossus,Minecraft"
"5","Saturday 20th July 2019 21:30","https://sullygnome.com/channel/elfrikiamv/stream/34981749600","225","1800","8","13","2","0","30","8","Just Chatting,League of Legends,Minecraft"
"6","Friday 19th July 2019 23:29","https://sullygnome.com/channel/elfrikiamv/stream/34969218880","91","546","6","9","0","0","14","11","Just Chatting"
"7","Tuesday 16th July 2019 21:30","https://sullygnome.com/channel/elfrikiamv/stream/34930389264","120","600","5","9","0","0","18","8","Just Chatting,League of Legends"
"8","Saturday 13th July 2019 21:15","https://sullygnome.com/channel/elfrikiamv/stream/34893107664","105","525","5","8","0","0","8","4","Just Chatting,League of Legends,Minecraft"
"9","Friday 12th July 2019 20:30","https://sullygnome.com/channel/elfrikiamv/stream/34879817520","540","3780","7","28","37","4","164","17","League of Legends,Wolfenstein II: The New Colossus,Just Chatting"
"10","Wednesday 10th July 2019 21:54","https://sullygnome.com/channel/elfrikiamv/stream/34856019008","111","555","5","8","0","0","11","5","Just Chatting,League of Legends"
"11","Tuesday 9th July 2019 22:15","https://sullygnome.com/channel/elfrikiamv/stream/34843651872","150","900","6","11","-1","0","13","4","League of Legends,Minecraft"
"12","Sunday 7th July 2019 21:13","https://sullygnome.com/channel/elfrikiamv/stream/34818423312","242","1694","7","9","3","0","20","5","Just Chatting,Minecraft"
"13","Wednesday 3rd July 2019 20:15","https://sullygnome.com/channel/elfrikiamv/stream/34768616768","285","1140","4","10","2","0","21","4","Just Chatting,Minecraft"
"14","Tuesday 2nd July 2019 20:50","https://sullygnome.com/channel/elfrikiamv/stream/34756431088","265","1590","6","11","3","0","24","5","Just Chatting,Minecraft"
