"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 09:19","https://sullygnome.com/channel/elojoninja/stream/35083675136","266","128744","484","650","92","20","3008","668","Teamfight Tactics"
"2","Saturday 27th July 2019 10:17","https://sullygnome.com/channel/elojoninja/stream/35060521376","328","329968","1006","1523","352","61","8470","1473","League of Legends"
"3","Friday 26th July 2019 08:43","https://sullygnome.com/channel/elojoninja/stream/35048148528","167","99699","597","798","93","31","3078","1026","League of Legends"
"4","Thursday 25th July 2019 07:30","https://sullygnome.com/channel/elojoninja/stream/35035765632","345","309120","896","1179","279","46","8367","1394","Teamfight Tactics,League of Legends"
"5","Tuesday 23rd July 2019 09:01","https://sullygnome.com/channel/elojoninja/stream/35011601408","239","142444","596","860","116","27","3625","852","League of Legends"
"6","Saturday 20th July 2019 08:42","https://sullygnome.com/channel/elojoninja/stream/34973790256","333","260073","781","1481","148","25","6470","1125","Teamfight Tactics"
"7","Friday 19th July 2019 09:08","https://sullygnome.com/channel/elojoninja/stream/34961286144","307","176218","574","803","131","24","4178","795","Teamfight Tactics"
"8","Thursday 18th July 2019 08:12","https://sullygnome.com/channel/elojoninja/stream/34948598624","243","167427","689","817","76","19","3459","864","Teamfight Tactics"
"9","Wednesday 17th July 2019 07:20","https://sullygnome.com/channel/elojoninja/stream/34935700240","400","460800","1152","1461","329","48","8171","1210","Teamfight Tactics"
"10","Monday 15th July 2019 08:33","https://sullygnome.com/channel/elojoninja/stream/34911076096","207","109503","529","684","56","16","2474","706","Teamfight Tactics"
"11","Sunday 14th July 2019 08:30","https://sullygnome.com/channel/elojoninja/stream/34898797472","315","251685","799","1037","205","37","8164","1484","League of Legends"
"12","Saturday 13th July 2019 08:45","https://sullygnome.com/channel/elojoninja/stream/34886429632","180","80280","446","551","56","17","2146","660","Teamfight Tactics"
"13","Thursday 11th July 2019 07:40","https://sullygnome.com/channel/elojoninja/stream/34861134624","260","175760","676","885","126","28","4652","1033","League of Legends,Teamfight Tactics"
"14","Wednesday 10th July 2019 06:45","https://sullygnome.com/channel/elojoninja/stream/34848379760","255","156060","612","808","140","31","4569","1015","League of Legends,Teamfight Tactics"
"15","Tuesday 9th July 2019 09:01","https://sullygnome.com/channel/elojoninja/stream/34836450752","254","119380","470","626","56","13","4672","1099","Teamfight Tactics"
"16","Sunday 7th July 2019 10:28","https://sullygnome.com/channel/elojoninja/stream/34812190096","167","109218","654","779","45","18","2478","991","Teamfight Tactics"
"17","Saturday 6th July 2019 10:30","https://sullygnome.com/channel/elojoninja/stream/34799572368","210","207480","988","1219","144","38","4276","1140","Teamfight Tactics"
"18","Friday 5th July 2019 08:27","https://sullygnome.com/channel/elojoninja/stream/34786503600","228","142728","626","851","96","24","5673","1418","League of Legends,Teamfight Tactics"
"19","Thursday 4th July 2019 15:59","https://sullygnome.com/channel/elojoninja/stream/34778136256","241","90616","376","613","84","19","3270","769","Teamfight Tactics"
"20","Wednesday 3rd July 2019 06:00","https://sullygnome.com/channel/elojoninja/stream/34761748432","345","227010","658","761","130","22","5860","1019","League of Legends,Teamfight Tactics"
"21","Tuesday 2nd July 2019 08:45","https://sullygnome.com/channel/elojoninja/stream/34749795040","195","110955","569","713","44","12","2643","755","Teamfight Tactics,League of Legends"
"22","Monday 1st July 2019 19:30","https://sullygnome.com/channel/elojoninja/stream/34743059760","150","88050","587","842","89","32","3922","1426","Teamfight Tactics"
