"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 20:32","https://sullygnome.com/channel/eleni_nyx/stream/35115519584","133","798","6","9","-2","0","33","14","Teamfight Tactics"
"2","Sunday 28th July 2019 19:45","https://sullygnome.com/channel/eleni_nyx/stream/35077100176","180","1080","6","10","2","0","47","14","Teamfight Tactics"
"3","Tuesday 23rd July 2019 21:10","https://sullygnome.com/channel/eleni_nyx/stream/35018062240","155","1085","7","11","1","0","19","8","Unlisted on Twitch,Overcooked!,Teamfight Tactics"
"4","Monday 22nd July 2019 20:15","https://sullygnome.com/channel/eleni_nyx/stream/35005042224","60","120","2","5","0","0","9","7","Teamfight Tactics"
"5","Sunday 21st July 2019 19:57","https://sullygnome.com/channel/eleni_nyx/stream/34992977632","303","2121","7","12","6","1","93","19","Teamfight Tactics"
"6","Friday 19th July 2019 21:15","https://sullygnome.com/channel/eleni_nyx/stream/34967757808","120","600","5","8","0","0","21","9","Teamfight Tactics"
"7","Wednesday 17th July 2019 19:23","https://sullygnome.com/channel/eleni_nyx/stream/34941554672","187","748","4","8","0","0","37","12","Teamfight Tactics"
"8","Friday 12th July 2019 20:15","https://sullygnome.com/channel/eleni_nyx/stream/34879874112","135","675","5","8","-1","0","51","20","Unlisted on Twitch"
"9","Saturday 6th July 2019 21:15","https://sullygnome.com/channel/eleni_nyx/stream/34805645008","180","1260","7","11","1","0","60","18","Teamfight Tactics"
"10","Wednesday 3rd July 2019 21:00","https://sullygnome.com/channel/eleni_nyx/stream/34769021744","180","720","4","9","3","0","36","11","Teamfight Tactics"
"11","Tuesday 2nd July 2019 22:27","https://sullygnome.com/channel/eleni_nyx/stream/34757492688","123","738","6","11","1","0","41","20","Teamfight Tactics"
"12","Tuesday 2nd July 2019 22:00","https://sullygnome.com/channel/eleni_nyx/stream/34757122624","0","0","3","3","0","0","17","68","Teamfight Tactics"
"13","Monday 1st July 2019 21:15","https://sullygnome.com/channel/eleni_nyx/stream/34744228496","135","675","5","11","3","1","38","15","Teamfight Tactics"
