"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 08:55","https://sullygnome.com/channel/elfejan/stream/35071801840","290","15660","54","88","10","2","551","110","Rust"
"2","Saturday 27th July 2019 13:23","https://sullygnome.com/channel/elfejan/stream/35061710832","502","21084","42","59","5","0","928","109","Rust"
"3","Thursday 25th July 2019 14:52","https://sullygnome.com/channel/elfejan/stream/35038418304","383","16086","42","58","4","0","723","115","Rust"
"4","Sunday 14th July 2019 14:06","https://sullygnome.com/channel/elfejan/stream/34901054976","444","33744","76","109","16","2","934","124","Rust"
"5","Saturday 13th July 2019 13:07","https://sullygnome.com/channel/elfejan/stream/34888133568","548","38908","71","96","13","1","935","103","Rust"
"6","Friday 12th July 2019 08:56","https://sullygnome.com/channel/elfejan/stream/34873982576","769","36912","48","75","45","3","1266","97","Rust"
"7","Thursday 11th July 2019 15:01","https://sullygnome.com/channel/elfejan/stream/34863916960","479","24429","51","77","8","1","920","115","Rust"
"8","Sunday 7th July 2019 14:14","https://sullygnome.com/channel/elfejan/stream/34813878288","346","22490","65","85","5","0","888","148","Rust"
"9","Saturday 6th July 2019 14:13","https://sullygnome.com/channel/elfejan/stream/34801318800","557","30078","54","118","15","1","1015","106","Rust"
"10","Friday 5th July 2019 13:52","https://sullygnome.com/channel/elfejan/stream/34788489920","593","30243","51","71","6","0","1027","102","Rust"
"11","Thursday 4th July 2019 20:30","https://sullygnome.com/channel/elfejan/stream/34781177968","300","14400","48","69","8","1","406","77","Rust"
