"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 12:00","https://sullygnome.com/channel/eligorko/stream/35110344400","225","73350","326","363","10","2","2111","603","Apex Legends"
"2","Tuesday 30th July 2019 12:00","https://sullygnome.com/channel/eligorko/stream/35097129312","270","78300","290","335","-7","-1","3182","707","Just Chatting,Games + Demos,Apex Legends"
"3","Sunday 28th July 2019 11:59","https://sullygnome.com/channel/eligorko/stream/35072908352","256","100608","393","459","13","3","2317","545","Apex Legends"
"4","Thursday 25th July 2019 12:00","https://sullygnome.com/channel/eligorko/stream/35037172160","315","121275","385","448","26","4","2802","533","Apex Legends"
"5","Wednesday 24th July 2019 12:00","https://sullygnome.com/channel/eligorko/stream/35024916832","240","99600","415","541","14","3","2470","617","Apex Legends"
"6","Tuesday 23rd July 2019 12:16","https://sullygnome.com/channel/eligorko/stream/35012747552","239","92254","386","453","17","4","2362","590","Apex Legends"
"7","Sunday 21st July 2019 12:00","https://sullygnome.com/channel/eligorko/stream/34988322208","285","114855","403","495","25","5","2982","627","Apex Legends"
"8","Saturday 20th July 2019 12:01","https://sullygnome.com/channel/eligorko/stream/34974973584","284","97412","343","404","1","0","3278","690","Teamfight Tactics,Jump King"
"9","Thursday 18th July 2019 12:00","https://sullygnome.com/channel/eligorko/stream/34949838128","270","100440","372","434","19","4","2310","543","Apex Legends"
"10","Wednesday 17th July 2019 12:01","https://sullygnome.com/channel/eligorko/stream/34937230000","269","86887","323","427","14","2","2430","511","Apex Legends"
"11","Tuesday 16th July 2019 12:15","https://sullygnome.com/channel/eligorko/stream/34924574224","240","89760","374","444","26","6","2853","671","Apex Legends"
"12","Sunday 14th July 2019 12:00","https://sullygnome.com/channel/eligorko/stream/34900053792","225","96525","429","507","23","6","2255","601","Apex Legends"
"13","Saturday 13th July 2019 13:01","https://sullygnome.com/channel/eligorko/stream/34888083920","194","79928","412","494","18","5","2385","733","Apex Legends"
"14","Thursday 11th July 2019 12:02","https://sullygnome.com/channel/eligorko/stream/34862545088","238","94010","395","489","28","7","2466","616","Apex Legends"
"15","Wednesday 10th July 2019 12:01","https://sullygnome.com/channel/eligorko/stream/34850050880","254","100330","395","487","30","7","2546","599","Apex Legends"
"16","Tuesday 9th July 2019 11:59","https://sullygnome.com/channel/eligorko/stream/34837442992","241","97846","406","498","28","7","2722","680","Apex Legends"
"17","Sunday 7th July 2019 12:00","https://sullygnome.com/channel/eligorko/stream/34812802432","240","102000","425","572","16","4","2770","692","Apex Legends"
"18","Saturday 6th July 2019 12:00","https://sullygnome.com/channel/eligorko/stream/34800267264","285","133950","470","521","27","5","3292","693","Apex Legends"
"19","Thursday 4th July 2019 12:00","https://sullygnome.com/channel/eligorko/stream/34776214512","225","95625","425","526","27","7","3175","846","Apex Legends,Jump King"
"20","Wednesday 3rd July 2019 12:00","https://sullygnome.com/channel/eligorko/stream/34763653760","255","119595","469","634","42","9","3556","790","Apex Legends"
"21","Tuesday 2nd July 2019 13:15","https://sullygnome.com/channel/eligorko/stream/34751405600","330","171270","519","820","52","9","5923","1030","Jump King,Apex Legends"
