"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:01","https://sullygnome.com/channel/elitebearded/stream/35115859008","314","11304","36","54","3","0","303","57","Fortnite"
"2","Wednesday 31st July 2019 15:32","https://sullygnome.com/channel/elitebearded/stream/35112050048","193","5211","27","43","-1","0","129","36","Fortnite"
"3","Tuesday 30th July 2019 15:37","https://sullygnome.com/channel/elitebearded/stream/35098897936","188","4136","22","29","1","0","99","30","Fortnite"
"4","Tuesday 30th July 2019 09:20","https://sullygnome.com/channel/elitebearded/stream/35096193824","265","9010","34","57","3","0","255","56","Fortnite"
"5","Monday 29th July 2019 15:40","https://sullygnome.com/channel/elitebearded/stream/35086311280","530","16960","32","52","7","0","335","37","Fortnite"
"6","Monday 29th July 2019 10:20","https://sullygnome.com/channel/elitebearded/stream/35083978144","220","1980","9","16","3","0","108","28","Fortnite"
"7","Saturday 27th July 2019 14:09","https://sullygnome.com/channel/elitebearded/stream/35062078784","186","3162","17","31","6","1","120","36","Fortnite"
"8","Friday 26th July 2019 22:46","https://sullygnome.com/channel/elitebearded/stream/35055316912","239","4780","20","33","3","0","190","47","Fortnite"
"9","Thursday 25th July 2019 19:07","https://sullygnome.com/channel/elitebearded/stream/35041022816","158","4424","28","41","2","0","127","46","Fortnite"
"10","Wednesday 24th July 2019 18:36","https://sullygnome.com/channel/elitebearded/stream/35028472464","189","5292","28","43","-2","0","140","43","Fortnite"
"11","Wednesday 24th July 2019 15:49","https://sullygnome.com/channel/elitebearded/stream/35026697776","41","410","10","13","0","0","57","76","Fortnite"
"12","Wednesday 24th July 2019 14:56","https://sullygnome.com/channel/elitebearded/stream/35026231584","34","374","11","15","-1","-1","14","18","Fortnite"
"13","Tuesday 23rd July 2019 15:48","https://sullygnome.com/channel/elitebearded/stream/35014415664","327","13407","41","59","7","1","441","76","Fortnite"
"14","Monday 22nd July 2019 11:13","https://sullygnome.com/channel/elitebearded/stream/34999925696","332","13612","41","84","11","1","463","80","Fortnite"
"15","Sunday 21st July 2019 20:54","https://sullygnome.com/channel/elitebearded/stream/34993625568","276","9936","36","55","2","0","266","56","Fortnite"
"16","Saturday 20th July 2019 21:14","https://sullygnome.com/channel/elitebearded/stream/34981573888","256","8448","33","43","5","1","172","40","Fortnite"
"17","Friday 19th July 2019 15:55","https://sullygnome.com/channel/elitebearded/stream/34964151216","305","11285","37","53","2","0","232","44","Fortnite"
"18","Thursday 18th July 2019 15:33","https://sullygnome.com/channel/elitebearded/stream/34951505056","417","19599","47","70","14","1","369","50","Fortnite"
"19","Wednesday 17th July 2019 15:14","https://sullygnome.com/channel/elitebearded/stream/34938757648","361","14801","41","53","14","2","233","38","Fortnite"
"20","Tuesday 16th July 2019 15:42","https://sullygnome.com/channel/elitebearded/stream/34926378656","453","19479","43","95","14","1","410","56","Fortnite"
"21","Tuesday 16th July 2019 00:15","https://sullygnome.com/channel/elitebearded/stream/34919641920","210","3570","17","26","-2","0","129","36","Fortnite"
"22","Monday 15th July 2019 15:17","https://sullygnome.com/channel/elitebearded/stream/34913700080","463","15742","34","55","13","1","391","50","Fortnite"
"23","Monday 15th July 2019 00:29","https://sullygnome.com/channel/elitebearded/stream/34907641952","181","3982","22","35","-1","0","143","47","Fortnite"
"24","Sunday 14th July 2019 03:53","https://sullygnome.com/channel/elitebearded/stream/34897032688","187","2618","14","35","7","2","188","57","Fortnite"
"25","Saturday 13th July 2019 23:34","https://sullygnome.com/channel/elitebearded/stream/34894582256","176","3696","21","40","1","0","136","41","Fortnite"
"26","Friday 12th July 2019 17:09","https://sullygnome.com/channel/elitebearded/stream/34877678656","306","11934","39","56","17","3","215","43","Fortnite"
"27","Thursday 11th July 2019 15:44","https://sullygnome.com/channel/elitebearded/stream/34864301216","421","17261","41","57","6","0","291","41","Fortnite"
"28","Wednesday 10th July 2019 15:32","https://sullygnome.com/channel/elitebearded/stream/34851723568","613","30650","50","66","29","2","505","49","Fortnite"
"29","Wednesday 10th July 2019 00:18","https://sullygnome.com/channel/elitebearded/stream/34845066592","162","5022","31","44","11","3","184","61","Fortnite"
"30","Monday 8th July 2019 23:53","https://sullygnome.com/channel/elitebearded/stream/34832275104","172","3440","20","43","0","0","109","36","Fortnite"
"31","Monday 8th July 2019 00:45","https://sullygnome.com/channel/elitebearded/stream/34820493904","0","0","6","6","0","0","0","0","Fortnite"
"32","Sunday 7th July 2019 02:30","https://sullygnome.com/channel/elitebearded/stream/34808964368","0","0","3","3","0","0","0","0","Fortnite"
"33","Saturday 6th July 2019 01:25","https://sullygnome.com/channel/elitebearded/stream/34795748864","215","4730","22","32","6","1","171","52","Fortnite"
"34","Friday 5th July 2019 01:45","https://sullygnome.com/channel/elitebearded/stream/34783909616","60","840","14","26","4","3","31","24","Fortnite"
"35","Wednesday 3rd July 2019 19:08","https://sullygnome.com/channel/elitebearded/stream/34767816896","262","12314","47","72","24","5","270","60","Fortnite"
"36","Wednesday 3rd July 2019 00:54","https://sullygnome.com/channel/elitebearded/stream/34759078672","141","4794","34","47","18","7","144","57","Fortnite"
"37","Tuesday 2nd July 2019 18:08","https://sullygnome.com/channel/elitebearded/stream/34754425840","187","6919","37","54","-2","0","155","51","Fortnite"
"38","Monday 1st July 2019 14:46","https://sullygnome.com/channel/elitebearded/stream/34740013664","209","3762","18","36","-5","-1","107","28","Fortnite"
