"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 22:29","https://sullygnome.com/channel/esfandtv/stream/35116816000","496","942896","1901","2585","324","39","21701","2630","World of Warcraft,Warcraft III"
"2","Tuesday 30th July 2019 20:45","https://sullygnome.com/channel/esfandtv/stream/35102285968","585","1112085","1901","2968","308","30","28774","2877","World of Warcraft,Warcraft III"
"3","Monday 29th July 2019 20:03","https://sullygnome.com/channel/esfandtv/stream/35089323744","492","1107984","2252","2620","231","28","30600","3709","World of Warcraft,Warcraft III,Just Chatting"
"4","Sunday 28th July 2019 17:34","https://sullygnome.com/channel/esfandtv/stream/35075787504","551","1468966","2666","3723","383","41","45137","4879","World of Warcraft,Outlast"
"5","Sunday 28th July 2019 03:46","https://sullygnome.com/channel/esfandtv/stream/35069935552","194","257244","1326","1717","75","23","6437","1980","Outlast"
"6","Saturday 27th July 2019 14:23","https://sullygnome.com/channel/esfandtv/stream/35062189424","127","295529","2327","4007","114","50","11160","4960","World of Warcraft"
"7","Saturday 27th July 2019 00:24","https://sullygnome.com/channel/esfandtv/stream/35056243312","336","554736","1651","4072","169","29","15052","2617","Outlast"
"8","Friday 26th July 2019 17:06","https://sullygnome.com/channel/esfandtv/stream/35051710240","189","196749","1041","1511","68","20","9428","2900","World of Warcraft,Madden NFL 20"
"9","Thursday 25th July 2019 22:57","https://sullygnome.com/channel/esfandtv/stream/35043491520","438","681090","1555","2141","127","17","18125","2500","World of Warcraft"
"10","Thursday 25th July 2019 15:03","https://sullygnome.com/channel/esfandtv/stream/35038520096","207","269514","1302","1660","75","20","9907","2641","Just Chatting,Madden NFL 20"
"11","Thursday 25th July 2019 00:13","https://sullygnome.com/channel/esfandtv/stream/35032213024","287","319144","1112","1367","67","13","10816","2163","Just Chatting,Madden NFL 20,Dauntless"
"12","Wednesday 24th July 2019 15:36","https://sullygnome.com/channel/esfandtv/stream/35026586896","264","408936","1549","1832","97","21","13026","2894","Just Chatting,Madden NFL 20"
"13","Tuesday 23rd July 2019 23:51","https://sullygnome.com/channel/esfandtv/stream/35019735920","324","611388","1887","3407","169","30","15593","2835","World of Warcraft,Half-Life 2: Episode One,Just Chatting"
"14","Tuesday 23rd July 2019 14:28","https://sullygnome.com/channel/esfandtv/stream/35013722928","227","399974","1762","2211","89","22","12342","3085","Just Chatting,World of Warcraft"
"15","Sunday 21st July 2019 15:14","https://sullygnome.com/channel/esfandtv/stream/34989881968","316","812436","2571","3757","293","55","27134","5168","Just Chatting"
"16","Sunday 21st July 2019 00:15","https://sullygnome.com/channel/esfandtv/stream/34983312080","120","214440","1787","2173","99","44","9402","4178","Just Chatting"
"17","Saturday 20th July 2019 18:40","https://sullygnome.com/channel/esfandtv/stream/34979704912","245","301595","1231","1497","37","8","13744","3233","Just Chatting"
"18","Friday 19th July 2019 20:26","https://sullygnome.com/channel/esfandtv/stream/34967271184","94","155194","1651","2675","51","29","5856","3346","Just Chatting"
"19","Thursday 18th July 2019 15:03","https://sullygnome.com/channel/esfandtv/stream/34951244064","207","318987","1541","2012","95","27","15009","4288","Just Chatting,World of Warcraft"
"20","Monday 15th July 2019 23:51","https://sullygnome.com/channel/esfandtv/stream/34919361776","414","1578996","3814","5104","406","58","30365","4337","World of Warcraft,Just Chatting"
"21","Monday 15th July 2019 15:17","https://sullygnome.com/channel/esfandtv/stream/34913704544","118","253818","2151","2594","96","48","10390","5195","Just Chatting,Half-Life 2"
"22","Sunday 14th July 2019 21:08","https://sullygnome.com/channel/esfandtv/stream/34905650416","517","1078979","2087","4036","214","24","29179","3334","World of Warcraft,Just Chatting,Half-Life 2"
"23","Saturday 13th July 2019 21:29","https://sullygnome.com/channel/esfandtv/stream/34893365296","586","1133910","1935","3121","267","27","31133","3193","Just Chatting,Half-Life 2"
"24","Friday 12th July 2019 19:54","https://sullygnome.com/channel/esfandtv/stream/34879640704","276","1300788","4713","7654","539","119","35225","7827","World of Warcraft"
"25","Thursday 11th July 2019 23:30","https://sullygnome.com/channel/esfandtv/stream/34869221296","315","748755","2377","3513","133","24","21126","3841","Just Chatting,World of Warcraft,Amnesia: The Dark Descent,PUBG: BATTLEGROUNDS"
"26","Tuesday 9th July 2019 23:55","https://sullygnome.com/channel/esfandtv/stream/34844808256","440","983400","2235","3470","234","31","23796","3172","Just Chatting,World of Warcraft,Amnesia: The Dark Descent"
"27","Tuesday 9th July 2019 16:04","https://sullygnome.com/channel/esfandtv/stream/34839474128","296","790024","2669","6453","558","111","27618","5523","World of Warcraft"
"28","Monday 8th July 2019 22:14","https://sullygnome.com/channel/esfandtv/stream/34831245792","196","501760","2560","4599","231","66","17912","5117","Just Chatting,World of Warcraft"
