"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 02:19","https://sullygnome.com/channel/ethynwithay/stream/35105304272","176","1056","6","13","3","0","48","10","Realm Royale Reforged"
"2","Sunday 28th July 2019 21:25","https://sullygnome.com/channel/ethynwithay/stream/35078292352","290","1450","5","10","1","0","14","2","Realm Royale Reforged"
"3","Saturday 27th July 2019 20:56","https://sullygnome.com/channel/ethynwithay/stream/35066055760","214","856","4","6","0","0","14","3","Realm Royale Reforged"
"4","Friday 26th July 2019 01:00","https://sullygnome.com/channel/ethynwithay/stream/35044776528","300","1500","5","8","4","0","18","3","Realm Royale Reforged"
"5","Wednesday 24th July 2019 02:18","https://sullygnome.com/channel/ethynwithay/stream/35020626656","267","1602","6","13","1","0","19","3","Realm Royale Reforged"
"6","Sunday 21st July 2019 01:15","https://sullygnome.com/channel/ethynwithay/stream/34983926544","15","45","3","3","0","0","0","0","Realm Royale Reforged"
"7","Saturday 20th July 2019 22:06","https://sullygnome.com/channel/ethynwithay/stream/34982136272","129","645","5","7","1","0","3","1","Realm Royale Reforged"
"8","Friday 19th July 2019 01:10","https://sullygnome.com/channel/ethynwithay/stream/34957842928","185","925","5","7","3","0","20","6","Realm Royale Reforged"
"9","Wednesday 17th July 2019 01:04","https://sullygnome.com/channel/ethynwithay/stream/34932728272","251","1757","7","16","6","1","38","8","Realm Royale Reforged"
"10","Sunday 14th July 2019 21:06","https://sullygnome.com/channel/ethynwithay/stream/34905633888","279","1116","4","7","2","0","23","4","Realm Royale Reforged"
"11","Saturday 13th July 2019 23:03","https://sullygnome.com/channel/ethynwithay/stream/34894296048","327","1635","5","12","3","0","21","3","Realm Royale Reforged"
"12","Friday 12th July 2019 00:15","https://sullygnome.com/channel/ethynwithay/stream/34869780640","180","360","2","3","1","0","7","2","Realm Royale Reforged"
"13","Wednesday 10th July 2019 01:00","https://sullygnome.com/channel/ethynwithay/stream/34845542544","210","1470","7","10","1","0","25","6","Realm Royale Reforged"
"14","Saturday 6th July 2019 22:15","https://sullygnome.com/channel/ethynwithay/stream/34806394624","270","1620","6","9","0","0","17","3","Realm Royale Reforged"
"15","Friday 5th July 2019 00:00","https://sullygnome.com/channel/ethynwithay/stream/34783127072","195","975","5","8","3","0","12","3","Realm Royale Reforged"
"16","Wednesday 3rd July 2019 01:04","https://sullygnome.com/channel/ethynwithay/stream/34759204768","236","944","4","10","0","0","12","3","Realm Royale Reforged"
"17","Tuesday 2nd July 2019 02:00","https://sullygnome.com/channel/ethynwithay/stream/34747245696","285","1995","7","12","0","0","18","3","Realm Royale Reforged"
