"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 15:59","https://sullygnome.com/channel/euiik/stream/35086489056","151","2114","14","20","-3","-1","72","26","Don't Starve Together"
"2","Friday 26th July 2019 18:36","https://sullygnome.com/channel/euiik/stream/35052648512","204","2652","13","17","-1","0","87","24","Don't Starve Together"
"3","Friday 26th July 2019 18:15","https://sullygnome.com/channel/euiik/stream/35052469648","0","0","3","7","0","0","0","0","Don't Starve Together"
"4","Thursday 25th July 2019 17:24","https://sullygnome.com/channel/euiik/stream/35039837424","126","2772","22","27","-1","0","49","24","Astroneer"
"5","Tuesday 23rd July 2019 21:00","https://sullygnome.com/channel/euiik/stream/35017695520","0","0","18","18","0","0","0","0","Don't Starve Together"
"6","Tuesday 23rd July 2019 16:36","https://sullygnome.com/channel/euiik/stream/35014878112","234","5382","23","49","0","0","124","31","Just Chatting,Starbound,Don't Starve Together"
"7","Monday 22nd July 2019 17:31","https://sullygnome.com/channel/euiik/stream/35003018592","179","4296","24","28","6","2","130","43","Terraria"
"8","Monday 15th July 2019 18:34","https://sullygnome.com/channel/euiik/stream/34915826864","131","2620","20","29","2","0","86","38","Just Chatting,Subnautica,Human: Fall Flat"
"9","Monday 15th July 2019 15:45","https://sullygnome.com/channel/euiik/stream/34913820624","0","0","21","21","0","0","0","0","Just Chatting"
"10","Saturday 13th July 2019 01:43","https://sullygnome.com/channel/euiik/stream/34883333952","122","1586","13","21","0","0","85","37","Just Chatting,Grand Theft Auto V"
"11","Thursday 11th July 2019 17:50","https://sullygnome.com/channel/euiik/stream/34865638144","160","4160","26","35","4","1","108","39","Just Chatting,FIVE NIGHTS AT FREDDY'S: HELP WANTED,VRChat"
"12","Wednesday 10th July 2019 18:29","https://sullygnome.com/channel/euiik/stream/34853651440","61","1037","17","18","0","0","0","0","Beat Saber"
"13","Tuesday 9th July 2019 17:38","https://sullygnome.com/channel/euiik/stream/34840485200","142","2272","16","20","0","0","73","29","DayZ,Grand Theft Auto V"
"14","Wednesday 3rd July 2019 16:15","https://sullygnome.com/channel/euiik/stream/34765809824","75","900","12","21","0","0","31","20","Doki Doki Literature Club!"
"15","Tuesday 2nd July 2019 16:29","https://sullygnome.com/channel/euiik/stream/34753235760","391","12121","31","50","12","1","230","35","Doki Doki Literature Club!"
"16","Monday 1st July 2019 18:43","https://sullygnome.com/channel/euiik/stream/34742520896","257","12336","48","62","10","2","302","75","DayZ"
