"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 09:10","https://sullygnome.com/channel/farbenfuchs/stream/35096143968","140","33180","237","265","-1","0","1515","673","Just Chatting,League of Legends"
"2","Wednesday 24th July 2019 20:20","https://sullygnome.com/channel/farbenfuchs/stream/35029707552","235","79430","338","403","29","7","3298","879","Makers &amp; Crafting"
"3","Tuesday 23rd July 2019 20:08","https://sullygnome.com/channel/farbenfuchs/stream/35017359808","307","73373","239","281","18","3","3296","627","Just Chatting,Makers &amp; Crafting"
"4","Monday 22nd July 2019 18:15","https://sullygnome.com/channel/farbenfuchs/stream/35003551520","255","79305","311","422","14","3","3769","942","Just Chatting,League of Legends"
"5","Thursday 18th July 2019 17:21","https://sullygnome.com/channel/farbenfuchs/stream/34952583760","219","36792","168","199","-3","0","1830","488","Borderlands 2,Just Chatting"
"6","Wednesday 17th July 2019 15:35","https://sullygnome.com/channel/farbenfuchs/stream/34938954544","190","49970","263","327","8","2","2518","774","Makers &amp; Crafting,Just Chatting"
"7","Sunday 14th July 2019 15:36","https://sullygnome.com/channel/farbenfuchs/stream/34901850960","204","55896","274","323","22","6","2965","847","Just Chatting,League of Legends"
"8","Thursday 11th July 2019 18:37","https://sullygnome.com/channel/farbenfuchs/stream/34866218080","173","63318","366","456","47","15","3756","1252","Just Chatting"
"9","Tuesday 9th July 2019 16:17","https://sullygnome.com/channel/farbenfuchs/stream/34839610400","268","68876","257","467","-2","0","3608","801","Just Chatting,Borderlands 2"
"10","Saturday 6th July 2019 12:20","https://sullygnome.com/channel/farbenfuchs/stream/34800411536","235","98230","418","460","12","3","4227","1056","Just Chatting,Makers &amp; Crafting"
"11","Thursday 4th July 2019 16:02","https://sullygnome.com/channel/farbenfuchs/stream/34778174192","343","81977","239","322","16","2","4215","733","Just Chatting,Borderlands 2"
"12","Wednesday 3rd July 2019 14:37","https://sullygnome.com/channel/farbenfuchs/stream/34764875152","263","82582","314","393","4","0","3514","780","Just Chatting,Makers &amp; Crafting"
"13","Tuesday 2nd July 2019 17:15","https://sullygnome.com/channel/farbenfuchs/stream/34753579408","315","87255","277","445","3","0","4069","739","Just Chatting,Borderlands 2"
