"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:30","https://sullygnome.com/channel/fatalerr0rttv/stream/35115944208","15","60","4","7","0","0","14","28","Grand Theft Auto V"
"2","Wednesday 31st July 2019 13:45","https://sullygnome.com/channel/fatalerr0rttv/stream/35111137872","165","825","5","12","0","0","23","8","Grand Theft Auto V"
"3","Tuesday 30th July 2019 19:00","https://sullygnome.com/channel/fatalerr0rttv/stream/35101081248","120","480","4","7","1","0","22","9","Grand Theft Auto V"
"4","Monday 29th July 2019 21:45","https://sullygnome.com/channel/fatalerr0rttv/stream/35090420736","0","0","2","2","0","0","0","0","Grand Theft Auto V"
"5","Monday 29th July 2019 17:45","https://sullygnome.com/channel/fatalerr0rttv/stream/35087652832","150","1050","7","12","4","1","17","6","Grand Theft Auto V"
"6","Sunday 28th July 2019 15:21","https://sullygnome.com/channel/fatalerr0rttv/stream/35074474592","234","1404","6","9","2","0","35","8","Grand Theft Auto V"
"7","Saturday 27th July 2019 22:15","https://sullygnome.com/channel/fatalerr0rttv/stream/35066731040","90","360","4","9","2","1","10","5","Grand Theft Auto V"
"8","Saturday 27th July 2019 11:57","https://sullygnome.com/channel/fatalerr0rttv/stream/35061100800","303","909","3","7","1","0","22","4","Grand Theft Auto V"
"9","Saturday 27th July 2019 01:00","https://sullygnome.com/channel/fatalerr0rttv/stream/35056559488","30","60","2","3","0","0","0","0","Grand Theft Auto V"
"10","Friday 26th July 2019 23:15","https://sullygnome.com/channel/fatalerr0rttv/stream/35055573904","15","0","0","1","0","0","0","0","Grand Theft Auto V"
"11","Friday 26th July 2019 21:09","https://sullygnome.com/channel/fatalerr0rttv/stream/35054362336","81","162","2","4","0","0","9","6","Grand Theft Auto V"
"12","Friday 26th July 2019 15:57","https://sullygnome.com/channel/fatalerr0rttv/stream/35051039056","78","312","4","7","0","0","8","5","Grand Theft Auto V"
"13","Thursday 25th July 2019 22:43","https://sullygnome.com/channel/fatalerr0rttv/stream/35043345104","182","728","4","11","1","0","24","8","Grand Theft Auto V"
"14","Thursday 25th July 2019 13:02","https://sullygnome.com/channel/fatalerr0rttv/stream/35037590256","178","1068","6","12","0","0","47","15","Grand Theft Auto V"
"15","Thursday 25th July 2019 00:15","https://sullygnome.com/channel/fatalerr0rttv/stream/35032039248","75","75","1","3","0","0","2","1","Grand Theft Auto V"
"16","Wednesday 24th July 2019 20:15","https://sullygnome.com/channel/fatalerr0rttv/stream/35029320752","75","300","4","9","0","0","32","21","Grand Theft Auto V"
"17","Tuesday 23rd July 2019 00:15","https://sullygnome.com/channel/fatalerr0rttv/stream/35007524112","120","240","2","4","0","0","8","3","Grand Theft Auto V"
"18","Sunday 21st July 2019 16:15","https://sullygnome.com/channel/fatalerr0rttv/stream/34990477344","120","960","8","19","3","1","32","14","Grand Theft Auto V"
"19","Saturday 20th July 2019 15:00","https://sullygnome.com/channel/fatalerr0rttv/stream/34976458016","135","135","1","4","0","0","12","4","Grand Theft Auto V"
"20","Saturday 20th July 2019 01:30","https://sullygnome.com/channel/fatalerr0rttv/stream/34970277488","180","720","4","7","0","0","29","8","Grand Theft Auto V"
"21","Wednesday 10th July 2019 15:26","https://sullygnome.com/channel/fatalerr0rttv/stream/34851671040","124","744","6","10","2","1","21","10","Grand Theft Auto V"
"22","Wednesday 10th July 2019 02:15","https://sullygnome.com/channel/fatalerr0rttv/stream/34846112608","90","360","4","6","0","0","24","13","Grand Theft Auto V"
