"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 14:29","https://sullygnome.com/channel/firedragon/stream/35111495792","601","540299","899","2677","96","9","92313","9231","Luigi's Mansion,Super Monkey Ball 2,Apex Legends"
"2","Saturday 20th July 2019 16:52","https://sullygnome.com/channel/firedragon/stream/34977687328","68","12036","177","233","1","0","455","364","Luigi's Mansion"
"3","Friday 19th July 2019 15:08","https://sullygnome.com/channel/firedragon/stream/34963733136","82","27880","340","438","9","6","1664","1109","Super Mario Sunshine"
"4","Thursday 18th July 2019 16:31","https://sullygnome.com/channel/firedragon/stream/34952060192","659","156183","237","410","17","1","6329","575","Luigi's Mansion,Super Monkey Ball 2,Apex Legends,Rocket League"
"5","Thursday 18th July 2019 00:41","https://sullygnome.com/channel/firedragon/stream/34945094560","334","54442","163","202","13","2","3299","573","Apex Legends,Rocket League"
"6","Wednesday 17th July 2019 17:45","https://sullygnome.com/channel/firedragon/stream/34940188944","285","133095","467","600","13","2","5625","1125","Luigi's Mansion"
"7","Tuesday 16th July 2019 16:19","https://sullygnome.com/channel/firedragon/stream/34926744288","356","103240","290","388","4","0","4205","700","Super Mario Maker 2,Luigi's Mansion,Apex Legends"
"8","Tuesday 16th July 2019 01:22","https://sullygnome.com/channel/firedragon/stream/34920363232","383","137114","358","569","22","3","8751","1400","Luigi's Mansion,Apex Legends,Rocket League"
"9","Monday 15th July 2019 16:35","https://sullygnome.com/channel/firedragon/stream/34914456960","205","77695","379","490","11","3","2849","814","Luigi's Mansion,Super Mario Sunshine,Super Monkey Ball 2"
"10","Monday 15th July 2019 01:03","https://sullygnome.com/channel/firedragon/stream/34907985136","267","110004","412","743","22","4","5292","1114","Luigi's Mansion,Apex Legends"
"11","Sunday 14th July 2019 17:08","https://sullygnome.com/channel/firedragon/stream/34902815488","247","121524","492","762","17","4","2521","593","Luigi's Mansion"
"12","Sunday 14th July 2019 01:11","https://sullygnome.com/channel/firedragon/stream/34895519424","274","38086","139","179","12","2","1491","313","Apex Legends,Rocket League"
"13","Saturday 13th July 2019 16:46","https://sullygnome.com/channel/firedragon/stream/34890028480","179","61934","346","415","14","4","2242","689","Luigi's Mansion,Super Monkey Ball 2,Super Mario Sunshine"
"14","Saturday 13th July 2019 01:29","https://sullygnome.com/channel/firedragon/stream/34883196048","271","46883","173","261","17","3","2066","459","Luigi's Mansion,Apex Legends,Rocket League"
"15","Friday 12th July 2019 16:18","https://sullygnome.com/channel/firedragon/stream/34877144752","387","139707","361","575","3","0","7864","1258","Luigi's Mansion,Apex Legends"
"16","Friday 12th July 2019 16:00","https://sullygnome.com/channel/firedragon/stream/34876857952","15","3705","247","348","2","4","1523","3046","Super Mario Sunshine"
"17","Thursday 11th July 2019 16:31","https://sullygnome.com/channel/firedragon/stream/34864779120","344","148952","433","593","12","2","7921","1377","Super Mario Sunshine,Luigi's Mansion,Super Mario Maker 2"
"18","Tuesday 9th July 2019 15:14","https://sullygnome.com/channel/firedragon/stream/34839002288","316","109652","347","468","16","3","4943","941","Super Mario Maker 2"
"19","Monday 8th July 2019 17:54","https://sullygnome.com/channel/firedragon/stream/34828179104","321","166278","518","1229","56","10","12959","2356","Super Mario Maker 2"
"20","Sunday 7th July 2019 16:43","https://sullygnome.com/channel/firedragon/stream/34815263392","302","126840","420","619","14","2","3010","573","Super Mario Maker 2"
"21","Saturday 6th July 2019 00:15","https://sullygnome.com/channel/firedragon/stream/34795050736","390","99840","256","411","21","3","7309","1124","Luigi's Mansion,Apex Legends"
"22","Friday 5th July 2019 00:36","https://sullygnome.com/channel/firedragon/stream/34783387680","369","89298","242","301","18","3","6740","1123","Apex Legends,Luigi's Mansion"
"23","Thursday 4th July 2019 01:45","https://sullygnome.com/channel/firedragon/stream/34772100128","300","89400","298","441","13","2","5321","1064","Luigi's Mansion,Apex Legends"
"24","Wednesday 3rd July 2019 16:29","https://sullygnome.com/channel/firedragon/stream/34765940544","226","57178","253","382","3","0","4059","1082","Apex Legends,Luigi's Mansion,Super Mario Sunshine"
"25","Wednesday 3rd July 2019 00:46","https://sullygnome.com/channel/firedragon/stream/34759000352","254","47752","188","249","26","6","3525","829","Apex Legends"
"26","Tuesday 2nd July 2019 17:15","https://sullygnome.com/channel/firedragon/stream/34753659776","330","82830","251","348","17","2","7766","1350","Apex Legends"
"27","Monday 1st July 2019 14:58","https://sullygnome.com/channel/firedragon/stream/34740118704","587","211320","360","528","67","6","15311","1531","Apex Legends"
