"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 25th July 2019 21:15","https://sullygnome.com/channel/firstsabinite/stream/35042296896","30","30","1","2","0","0","1","1","Unlisted on Twitch"
"2","Tuesday 16th July 2019 05:00","https://sullygnome.com/channel/firstsabinite/stream/34922272032","45","90","2","3","0","0","3","3","NBA 2K19"
"3","Sunday 14th July 2019 05:00","https://sullygnome.com/channel/firstsabinite/stream/34897497136","90","360","4","6","0","0","5","2","NBA 2K19"
"4","Friday 12th July 2019 06:15","https://sullygnome.com/channel/firstsabinite/stream/34873026960","15","15","1","2","0","0","0","0","NBA 2K19"
"5","Friday 12th July 2019 03:30","https://sullygnome.com/channel/firstsabinite/stream/34872038000","105","105","1","3","0","0","0","0","NBA 2K19"
"6","Wednesday 10th July 2019 03:30","https://sullygnome.com/channel/firstsabinite/stream/34847101872","165","330","2","4","0","0","3","1","NBA 2K19"
"7","Tuesday 9th July 2019 05:15","https://sullygnome.com/channel/firstsabinite/stream/34835180656","0","0","3","3","0","0","0","0","Rocket League"
"8","Tuesday 9th July 2019 03:40","https://sullygnome.com/channel/firstsabinite/stream/34834600416","65","195","3","5","0","0","1","0","NBA 2K19"
"9","Monday 8th July 2019 04:30","https://sullygnome.com/channel/firstsabinite/stream/34822530560","180","540","3","5","0","0","4","1","NBA 2K19"
"10","Monday 8th July 2019 03:00","https://sullygnome.com/channel/firstsabinite/stream/34821658816","60","180","3","6","1","0","6","4","NBA 2K19"
"11","Monday 1st July 2019 01:43","https://sullygnome.com/channel/firstsabinite/stream/34735047056","92","368","4","7","0","0","4","2","NBA 2K19"
